 time                   v(gate_core)           v(xreceiver.sense)     v(padres)              v(gate)               
 3.928000000000001e-08  4.550692823128866e-08  3.299999909145057e+00  3.910135422044436e-09  5.162893977285921e-08 
 4.028000000000001e-08  4.550693004475232e-08  3.299999909145139e+00  3.910395288825308e-09  5.163363841882053e-08 
 4.128000000000002e-08  4.550692849020969e-08  3.299999909145077e+00  3.910197042891750e-09  5.163004958201377e-08 
 4.228000000000002e-08  4.550692976173490e-08  3.299999909145097e+00  3.910244421659326e-09  5.163092185716570e-08 
 4.328000000000002e-08  4.550692907344270e-08  3.299999909145097e+00  3.910225615522123e-09  5.163057867904375e-08 
 4.428000000000002e-08  4.550692954581603e-08  3.299999909145120e+00  3.910282807620402e-09  5.163160620157625e-08 
 4.528000000000003e-08  4.550692881025262e-08  3.299999909145083e+00  3.910160388184702e-09  5.162940540302534e-08 
 4.628000000000003e-08  4.550692989295046e-08  3.299999909145162e+00  3.910434653170425e-09  5.163434430072308e-08 
 4.728000000000003e-08  4.550692813334455e-08  3.299999909145059e+00  3.910132896287055e-09  5.162889636174258e-08 
 4.828000000000003e-08  4.550693010739210e-08  3.299999909145137e+00  3.910395949754952e-09  5.163364919100864e-08 
 4.928000000000003e-08  4.550692858136399e-08  3.299999909145075e+00  3.910198533019216e-09  5.163007525750452e-08 
 5.028000000000004e-08  4.550692904652738e-08  3.299999909145091e+00  3.910244381760686e-09  5.163092335119059e-08 
 5.128000000000004e-08  4.550692944776350e-08  3.299999909145080e+00  3.910226257369809e-09  5.163058788751056e-08 
 5.228000000000004e-08  4.550692934132195e-08  3.299999909145094e+00  3.910283926517044e-09  5.163162611164460e-08 
 5.328000000000004e-08  4.550692870509856e-08  3.299999909145051e+00  3.910161317996486e-09  5.162942015706225e-08 
 5.428000000000005e-08  4.550692979199769e-08  3.299999909145132e+00  3.910435593390549e-09  5.163435880294715e-08 
 5.528000000000005e-08  4.550692862619575e-08  3.299999909145041e+00  3.910133977019781e-09  5.162891275552794e-08 
 5.628000000000005e-08  4.550692960394282e-08  3.299999909145130e+00  3.910396770279156e-09  5.163366549645660e-08 
 5.728000000000005e-08  4.550692872405855e-08  3.299999909145064e+00  3.910199336196185e-09  5.163008984161613e-08 
 5.828000000000006e-08  4.550692940207793e-08  3.299999909145083e+00  3.910245219632125e-09  5.163093816760608e-08 
 5.928000000000006e-08  4.550692949756904e-08  3.299999909145082e+00  3.910227017178691e-09  5.163060380539447e-08 
 6.028000000000006e-08  4.550692904258359e-08  3.299999909145105e+00  3.910284596120306e-09  5.163163855879655e-08 
 6.128000000000006e-08  4.550692924400125e-08  3.299999909145078e+00  3.910162103826220e-09  5.162943242526733e-08 
 6.228000000000005e-08  4.550692965941332e-08  3.299999909145159e+00  3.910436511059268e-09  5.163437254138338e-08 
 6.328000000000005e-08  4.550692869230498e-08  3.299999909145054e+00  3.910134400292309e-09  5.162892591833345e-08 
 6.428000000000004e-08  4.550692971500578e-08  3.299999909145141e+00  3.910397439882418e-09  5.163367708056880e-08 
 6.528000000000004e-08  4.550692879241750e-08  3.299999909145075e+00  3.910199993656382e-09  5.163010379362597e-08 
 6.628000000000003e-08  4.550692946263062e-08  3.299999909145090e+00  3.910245858010364e-09  5.163094887551508e-08 
 6.728000000000003e-08  4.550692860841483e-08  3.299999909145078e+00  3.910227624331908e-09  5.163061456727122e-08 
 6.828000000000003e-08  4.550692965956239e-08  3.299999909145092e+00  3.910285059291474e-09  5.163165053568579e-08 
 6.928000000000002e-08  4.550692871267443e-08  3.299999909145058e+00  3.910162775164205e-09  5.162944365531470e-08 
 7.028000000000002e-08  4.550693022933774e-08  3.299999909145146e+00  3.910436986373500e-09  5.163438276517430e-08 
 7.128000000000001e-08  4.550692861276520e-08  3.299999909145057e+00  3.910135193060937e-09  5.162893480355702e-08 
 7.228000000000001e-08  4.550692985332287e-08  3.299999909145144e+00  3.910397970707802e-09  5.163368716655603e-08 
 7.328000000000001e-08  4.550692856019494e-08  3.299999909145085e+00  3.910200330192737e-09  5.163011055635848e-08 
 7.428000000000000e-08  4.550692927865506e-08  3.299999909145099e+00  3.910246286487062e-09  5.163095793458158e-08 
 7.528000000000000e-08  4.550692904247517e-08  3.299999909145089e+00  3.910228092707246e-09  5.163062242296615e-08 
 7.627999999999999e-08  4.550692980513009e-08  3.299999909145108e+00  3.910285747976694e-09  5.163165791197966e-08 
 7.727999999999999e-08  4.550692878978831e-08  3.299999909145078e+00  3.910163054454685e-09  5.162945041745885e-08 
 7.827999999999998e-08  4.550693005310068e-08  3.299999909145163e+00  3.910437470361350e-09  5.163439041334308e-08 
 7.927999999999998e-08  4.550692810558897e-08  3.299999909145060e+00  3.910135437656947e-09  5.162894188051982e-08 
 8.027999999999998e-08  4.550693006335994e-08  3.299999909145139e+00  3.910398333265008e-09  5.163369303310003e-08 
 8.127999999999997e-08  4.550692871885438e-08  3.299999909145077e+00  3.910200722240242e-09  5.163011489685232e-08 
 8.227999999999997e-08  4.550692913250461e-08  3.299999909145089e+00  3.910246631697034e-09  5.163096425421859e-08 
 8.327999999999996e-08  4.550692940065491e-08  3.299999909145076e+00  3.910228250567083e-09  5.163062642156152e-08 
 8.427999999999996e-08  4.550692938856606e-08  3.299999909145091e+00  3.910285706343331e-09  5.163166168278145e-08 
 8.527999999999995e-08  4.550692860875365e-08  3.299999909145079e+00  3.910262351761173e-09  5.163123544011061e-08 
 8.627999999999995e-08  4.550692915669587e-08  3.299999909145047e+00  3.910135396023584e-09  5.162895750689081e-08 
 8.727999999999995e-08  4.550693048260737e-08  3.299999909145141e+00  3.910449332400479e-09  5.163460687752861e-08 
 8.827999999999994e-08  4.550692803260861e-08  3.299999909145046e+00  3.910137753512788e-09  5.162898149682043e-08 
 8.927999999999994e-08  4.550693033301457e-08  3.299999909145124e+00  3.910389465358599e-09  5.163353216100695e-08 
 9.027999999999993e-08  4.550692862633128e-08  3.299999909145064e+00  3.910201348475417e-09  5.163013067420519e-08 
 9.127999999999993e-08  4.550692920791087e-08  3.299999909145086e+00  3.910249487051876e-09  5.163101447854143e-08 
 9.227999999999992e-08  4.550692925474841e-08  3.299999909145074e+00  3.910226802072980e-09  5.163059935971461e-08 
 9.327999999999992e-08  4.550692955176559e-08  3.299999909145090e+00  3.910285664709967e-09  5.163165835664986e-08 
 9.427999999999992e-08  4.550692932424577e-08  3.299999909145078e+00  3.910263899134514e-09  5.163126036276661e-08 
 9.527999999999991e-08  4.550692877546328e-08  3.299999909145038e+00  3.910135699600192e-09  5.162896447839933e-08 
 9.627999999999991e-08  4.550693006631439e-08  3.299999909145145e+00  3.910449767816071e-09  5.163461198233485e-08 
 9.727999999999990e-08  4.550692837281770e-08  3.299999909145045e+00  3.910138730162105e-09  5.162899893500052e-08 
 9.827999999999990e-08  4.550692997551246e-08  3.299999909145122e+00  3.910389864344999e-09  5.163353987134944e-08 
 9.927999999999989e-08  4.550692864327193e-08  3.299999909145062e+00  3.910202115223194e-09  5.163014107013191e-08 
 1.002799999999999e-07  4.550692922674889e-08  3.299999909145081e+00  3.910250401251147e-09  5.163102824969248e-08 
 1.012799999999999e-07  4.550692935793735e-08  3.299999909145071e+00  3.910227249631637e-09  5.163060865157621e-08 
 1.022799999999999e-07  4.550692931978698e-08  3.299999909145101e+00  3.910286237168714e-09  5.163166709030826e-08 
 1.032799999999999e-07  4.550692906357646e-08  3.299999909145095e+00  3.910264567003052e-09  5.163127309671361e-08 
 1.042799999999999e-07  4.550692904965801e-08  3.299999909145056e+00  3.910136225221406e-09  5.162897258419826e-08 
 1.052799999999999e-07  4.550692969802447e-08  3.299999909145154e+00  3.910450230987239e-09  5.163462231342051e-08 
 1.062799999999999e-07  4.550692824385185e-08  3.299999909145054e+00  3.910138967819221e-09  5.162900536994767e-08 
 1.072799999999999e-07  4.550693016977438e-08  3.299999909145143e+00  3.910390412517617e-09  5.163355179475216e-08 
 1.082799999999999e-07  4.550692884607195e-08  3.299999909145086e+00  3.910202564516574e-09  5.163015019082383e-08 
 1.092799999999999e-07  4.550692908768640e-08  3.299999909145097e+00  3.910250569519325e-09  5.163103436850188e-08 
 1.102799999999998e-07  4.550692953543480e-08  3.299999909145085e+00  3.910227809947320e-09  5.163061605837565e-08 
 1.112799999999998e-07  4.550692925686260e-08  3.299999909145097e+00  3.910286438396637e-09  5.163167552451527e-08 
 1.122799999999998e-07  4.550692893199497e-08  3.299999909145086e+00  3.910264823742127e-09  5.163128093492890e-08 
 1.132799999999998e-07  4.550692882759986e-08  3.299999909145045e+00  3.910136563492483e-09  5.162897791163091e-08 
 1.142799999999998e-07  4.550692986518134e-08  3.299999909145145e+00  3.910450923141906e-09  5.163463207511035e-08 
 1.152799999999998e-07  4.550692839973302e-08  3.299999909145052e+00  3.910139436194560e-09  5.162901196730143e-08 
 1.162799999999998e-07  4.550693036095988e-08  3.299999909145143e+00  3.910390788952611e-09  5.163355734235436e-08 
 1.172799999999998e-07  4.550692833472155e-08  3.299999909145087e+00  3.910202975646038e-09  5.163015793785461e-08 
 1.182799999999998e-07  4.550692964355686e-08  3.299999909145098e+00  3.910250933811255e-09  5.163104079483361e-08 
 1.192799999999998e-07  4.550692929932267e-08  3.299999909145086e+00  3.910228221076784e-09  5.163062405572568e-08 
 1.202799999999998e-07  4.550692938618082e-08  3.299999909145107e+00  3.910286891159465e-09  5.163167963318412e-08 
 1.212799999999998e-07  4.550692878603426e-08  3.299999909145094e+00  3.910265191503504e-09  5.163128691805677e-08 
 1.222799999999998e-07  4.550692920929323e-08  3.299999909145081e+00  3.910236070700512e-09  5.163076583912003e-08 
 1.232799999999998e-07  4.550692938989421e-08  3.299999909145052e+00  3.910148651045664e-09  5.162919678164623e-08 
 1.242799999999998e-07  4.550692968345550e-08  3.299999909145143e+00  3.910453617167464e-09  5.163468231126760e-08 
 1.252799999999998e-07  4.550692817522186e-08  3.299999909145038e+00  3.910130391346356e-09  5.162884860309479e-08 
 1.262799999999998e-07  4.550693017046556e-08  3.299999909145118e+00  3.910391448147532e-09  5.163357029041047e-08 
 1.272799999999998e-07  4.550692826183606e-08  3.299999909145047e+00  3.910205924675947e-09  5.163021035047895e-08 
 1.282799999999998e-07  4.550693012216436e-08  3.299999909145062e+00  3.910249469704641e-09  5.163101478807786e-08 
 1.292799999999998e-07  4.550692865968404e-08  3.299999909145060e+00  3.910227719741699e-09  5.163061569527845e-08 
 1.302799999999998e-07  4.550692985821534e-08  3.299999909145083e+00  3.910288363939696e-09  5.163170803385054e-08 
 1.312799999999998e-07  4.550692891765640e-08  3.299999909145081e+00  3.910265656409395e-09  5.163129352149580e-08 
 1.322799999999998e-07  4.550692923704881e-08  3.299999909145071e+00  3.910236358664609e-09  5.163077009822888e-08 
 1.332799999999997e-07  4.550692934700046e-08  3.299999909145051e+00  3.910149298097521e-09  5.162920974992066e-08 
 1.342799999999997e-07  4.550692974423858e-08  3.299999909145146e+00  3.910454458508350e-09  5.163469678856165e-08 
 1.352799999999997e-07  4.550692798041783e-08  3.299999909145041e+00  3.910130906559228e-09  5.162885715306635e-08 
 1.362799999999997e-07  4.550693045548876e-08  3.299999909145128e+00  3.910391899175636e-09  5.163357963861511e-08 
 1.372799999999997e-07  4.550692839454240e-08  3.299999909145074e+00  3.910206739995981e-09  5.163022327398673e-08 
 1.382799999999997e-07  4.550692921471424e-08  3.299999909145096e+00  3.910250123695391e-09  5.163102294802822e-08 
 1.392799999999997e-07  4.550692922294063e-08  3.299999909145087e+00  3.910228361589385e-09  5.163062691544447e-08 
 1.402799999999997e-07  4.550692982978213e-08  3.299999909145103e+00  3.910288952010954e-09  5.163171810633147e-08 
 1.412799999999997e-07  4.550692891117829e-08  3.299999909145093e+00  3.910266190704226e-09  5.163130353449379e-08 
 1.422799999999997e-07  4.550692888248759e-08  3.299999909145081e+00  3.910236762855179e-09  5.163077835879246e-08 
 1.432799999999997e-07  4.550692926878883e-08  3.299999909145050e+00  3.910150000660528e-09  5.162921951941457e-08 
 1.442799999999997e-07  4.550693007292802e-08  3.299999909145139e+00  3.910455015354586e-09  5.163470514003961e-08 
 1.452799999999997e-07  4.550692796335520e-08  3.299999909145042e+00  3.910131048806553e-09  5.162886340416348e-08 
 1.462799999999997e-07  4.550693023233285e-08  3.299999909145122e+00  3.910392362346804e-09  5.163358944201304e-08 
 1.472799999999997e-07  4.550692834861289e-08  3.299999909145054e+00  3.910206993265608e-09  5.163023087696728e-08 
 1.482799999999997e-07  4.550692968448549e-08  3.299999909145070e+00  3.910250300637186e-09  5.163102861498546e-08 
 1.492799999999997e-07  4.550692910800164e-08  3.299999909145067e+00  3.910228727616039e-09  5.163063337422348e-08 
 1.502799999999997e-07  4.550692940743118e-08  3.299999909145097e+00  3.910289494979402e-09  5.163172440394533e-08 
 1.512799999999997e-07  4.550692934408667e-08  3.299999909145098e+00  3.910266508158622e-09  5.163130993842583e-08 
 1.522799999999997e-07  4.550692909074928e-08  3.299999909145086e+00  3.910237108065151e-09  5.163078613298837e-08 
 1.532799999999997e-07  4.550692930307672e-08  3.299999909145068e+00  3.910150359748288e-09  5.162922625948666e-08 
 1.542799999999997e-07  4.550692967310137e-08  3.299999909145163e+00  3.910455292910342e-09  5.163471412599696e-08 
 1.552799999999997e-07  4.550692812299042e-08  3.299999909145054e+00  3.910131612591683e-09  5.162886943910239e-08 
 1.562799999999996e-07  4.550692991422793e-08  3.299999909145134e+00  3.910392636433113e-09  5.163359468348112e-08 
 1.572799999999996e-07  4.550692857385589e-08  3.299999909145080e+00  3.910207236126895e-09  5.163023662426798e-08 
 1.582799999999996e-07  4.550692948287810e-08  3.299999909145098e+00  3.910250576458218e-09  5.163103290567186e-08 
 1.592799999999996e-07  4.550692955924659e-08  3.299999909145091e+00  3.910229072826010e-09  5.163063872439493e-08 
 1.602799999999996e-07  4.550692874368261e-08  3.299999909145105e+00  3.910289501918296e-09  5.163172962166139e-08 
 1.612799999999996e-07  4.550692946952886e-08  3.299999909145096e+00  3.910266690304587e-09  5.163131337710634e-08 
 1.622799999999996e-07  4.550692933087295e-08  3.299999909145091e+00  3.910237576440490e-09  5.163079082238119e-08 
 1.632799999999996e-07  4.550692890392769e-08  3.299999909145063e+00  3.910150689345748e-09  5.162923178662649e-08 
 1.642799999999996e-07  4.550693002443708e-08  3.299999909145154e+00  3.910455409136815e-09  5.163471393230724e-08 
 1.652799999999996e-07  4.550692785543643e-08  3.299999909145041e+00  3.910131825962671e-09  5.162887497161304e-08 
 1.662799999999996e-07  4.550693025348834e-08  3.299999909145126e+00  3.910393047562577e-09  5.163359813886633e-08 
 1.672799999999996e-07  4.550692836989036e-08  3.299999909145068e+00  3.910207640317465e-09  5.163024053218433e-08 
 1.682799999999996e-07  4.550692925331184e-08  3.299999909145095e+00  3.910250961566830e-09  5.163103920905274e-08 
 1.692799999999996e-07  4.550692953824017e-08  3.299999909145118e+00  3.910328455133949e-09  5.163242415940323e-08 
 1.702799999999996e-07  4.550692960807634e-08  3.299999909145101e+00  3.910285142558201e-09  5.163164019102256e-08 
 1.712799999999996e-07  4.550692893101919e-08  3.299999909145103e+00  3.910269259430055e-09  5.163136021087570e-08 
 1.722799999999996e-07  4.550692921003862e-08  3.299999909145112e+00  3.910295087727889e-09  5.163182488369610e-08 
 1.732799999999996e-07  4.550692941031787e-08  3.299999909145105e+00  3.910292202882748e-09  5.163177325642079e-08 
 1.742799999999996e-07  4.550692883097444e-08  3.299999909145099e+00  3.910282198732462e-09  5.163159157332446e-08 
 1.752799999999996e-07  4.550692969849880e-08  3.299999909145098e+00  3.910286738503799e-09  5.163167633861802e-08 
 1.762799999999996e-07  4.550692896690628e-08  3.299999909145096e+00  3.910288839253928e-09  5.163171168488061e-08 
 1.772799999999996e-07  4.550692919136324e-08  3.299999909145097e+00  3.910285433991745e-09  5.163164852130222e-08 
 1.782799999999996e-07  4.550692952171964e-08  3.299999909145094e+00  3.910284686325927e-09  5.163163905920534e-08 
 1.792799999999996e-07  4.550692905572955e-08  3.299999909145090e+00  3.910285492972343e-09  5.163165242399619e-08 
 1.802799999999995e-07  4.550692937978402e-08  3.299999909145084e+00  3.910284474689663e-09  5.163163422145676e-08 
 1.812799999999995e-07  4.550692903904638e-08  3.299999909145078e+00  3.910283430386130e-09  5.163161576998112e-08 
 1.822799999999995e-07  4.550692928213806e-08  3.299999909145082e+00  3.910283166708162e-09  5.163161109331560e-08 
 1.832799999999995e-07  4.550692894465303e-08  3.299999909145078e+00  3.910282856192659e-09  5.163160380156011e-08 
 1.842799999999995e-07  4.550692935555210e-08  3.299999909145080e+00  3.910282011382327e-09  5.163158993877322e-08 
 1.852799999999995e-07  4.550692891707364e-08  3.299999909145078e+00  3.910281447597197e-09  5.163157762898215e-08 
 1.862799999999995e-07  4.550692948721491e-08  3.299999909145085e+00  3.910281062488585e-09  5.163157281808665e-08 
 1.872799999999995e-07  4.550692886885375e-08  3.299999909145083e+00  3.910280510846520e-09  5.163156324738324e-08 
 1.882799999999995e-07  4.550692955608885e-08  3.299999909145078e+00  3.910279950530837e-09  5.163155241472639e-08 
 1.892799999999995e-07  4.550692882347989e-08  3.299999909145044e+00  3.910180172705946e-09  5.162976280718705e-08 
 1.902799999999995e-07  4.550692967730265e-08  3.299999909145075e+00  3.910283846719764e-09  5.163163238531213e-08 
 1.912799999999995e-07  4.550692913661103e-08  3.299999909145048e+00  3.910177357249744e-09  5.162970472347673e-08 
 1.922799999999995e-07  4.550692976478421e-08  3.299999909145130e+00  3.910424000233559e-09  5.163414638807941e-08 
 1.932799999999995e-07  4.550692862237394e-08  3.299999909145043e+00  3.910124704922802e-09  5.162874962136719e-08 
 1.942799999999995e-07  4.550692962516608e-08  3.299999909145100e+00  3.910298477377561e-09  5.163190142233730e-08 
 1.952799999999995e-07  4.550692886301261e-08  3.299999909145067e+00  3.910199374360102e-09  5.163009948339686e-08 
 1.962799999999995e-07  4.550692974696264e-08  3.299999909145113e+00  3.910335151166566e-09  5.163255106187764e-08 
 1.972799999999995e-07  4.550692886869112e-08  3.299999909145062e+00  3.910161189626948e-09  5.162941123437286e-08 
 1.982799999999995e-07  4.550693002810982e-08  3.299999909145155e+00  3.910438672524719e-09  5.163441320507276e-08 
 1.991399999999997e-07  4.550692888344982e-08  3.299999909145092e+00  3.910254599281959e-09  5.163108119462572e-08 
 2.000000000000000e-07  4.550692923450093e-08  3.299999909145122e+00  3.910392206221691e-09  5.163357545755532e-08 
 2.001000000000000e-07  8.435869842619045e-05  3.300004104590372e+00  7.421135614360530e-08  5.581839567525737e-08 
 2.003000000000000e-07  1.096046460162014e-04  3.300003666035926e+00 -2.759953858511022e-08  4.943372554741436e-08 
 2.007000000000000e-07  1.060555701818264e-04  3.300003496152841e+00 -5.169861934384290e-09  5.288379928217742e-08 
 2.013500000000000e-07 -1.790737238059948e-04  3.299990511837756e+00 -6.695520245528219e-08  3.342165787446552e-08 
 2.020000000000000e-07  2.514237995073249e-04  3.299997492744484e+00  1.015697878754829e-08 -3.161870689875120e-08 
 2.021000000000000e-07  3.697830626427014e-05  3.299981998335104e+00 -3.004697342462448e-07 -8.064713843845633e-08 
 2.023000000000000e-07 -2.373249841456141e-05  3.299974272789103e+00 -9.799483891709260e-08 -1.134960315576831e-07 
 2.027000000000000e-07 -9.192195712838160e-03  3.299490024346531e+00 -4.482466273901531e-06 -1.672217400001767e-06 
 2.031891728969493e-07  7.400498567312443e-01  3.254507500536898e+00 -2.769733978571672e-04 -6.681061189133960e-06 
 2.036937670334628e-07  1.129112884044641e+00  2.497208138397368e+00 -3.441016947482195e-03 -8.916753154755805e-05 
 2.043684574142109e-07  1.195828975687759e+00  1.415475639999740e+00  3.278050046749983e-01  8.354133985228593e-03 
 2.050589356287212e-07  1.177757242013236e+00  6.343229203844981e-01  2.757240553286201e+00  6.751959918529418e-02 
 2.055691469700084e-07  1.166366295819404e+00  1.383073916861170e-01  2.904603210409224e+00  5.933036697880398e-02 
 2.060591799258942e-07  1.172211547655749e+00  1.656402021795467e-02  2.932075257877088e+00  6.396195906609370e-02 
 2.065004769090620e-07  1.177179156673951e+00 -1.115306392909244e-03  2.937140495254522e+00  6.685610800477186e-02 
 2.070716676724863e-07  1.178162509992178e+00  9.475908608901387e-04  2.937001292515621e+00  6.988116551610839e-02 
 2.076802550961520e-07  1.177583307002965e+00  5.320595488754939e-03  2.936214856848336e+00  7.300075619406485e-02 
 2.086802550961520e-07  1.177137864179148e+00  7.602493550136549e-03  2.936268033022158e+00  7.825621971892985e-02 
 2.096802550961520e-07  1.177102011283109e+00  7.661568120689580e-03  2.936910428369117e+00  8.349955878725729e-02 
 2.106802550961520e-07  1.177130488922506e+00  7.489709501265603e-03  2.937605761053920e+00  8.871149147508579e-02 
 2.116802550961520e-07  1.177142588221022e+00  7.428176434150210e-03  2.938268342205851e+00  9.390430662424958e-02 
 2.126802550961520e-07  1.177144005057581e+00  7.421996969857464e-03  2.938913543769472e+00  9.907716742502648e-02 
 2.136802550961520e-07  1.177143448994247e+00  7.424989459062963e-03  2.939553518855907e+00  1.042289723143888e-01 
 2.146802550961520e-07  1.177143154202354e+00  7.426437439427976e-03  2.940191148280527e+00  1.093603343775447e-01 
 2.156802550961520e-07  1.177143104840539e+00  7.426611606776387e-03  2.940826366726991e+00  1.144714215781270e-01 
 2.166802550961520e-07  1.177143113065106e+00  7.426491310283296e-03  2.941458924123547e+00  1.195623546336319e-01 
 2.176802550961520e-07  1.177143119841806e+00  7.426379722638314e-03  2.942088763020284e+00  1.246333363741172e-01 
 2.186802550961519e-07  1.177143121392406e+00  7.426296214376985e-03  2.942715904746057e+00  1.296845836776480e-01 
 2.196802550961519e-07  1.177143121330644e+00  7.426222160264784e-03  2.943340383514677e+00  1.347163276703742e-01 
 2.206802550961519e-07  1.177143121154594e+00  7.426149877521516e-03  2.943962233719140e+00  1.397288196854857e-01 
 2.216802550961519e-07  1.177143121061603e+00  7.426078436430591e-03  2.944581490541669e+00  1.447223293136982e-01 
 2.226802550961519e-07  1.177143120995360e+00  7.426008240145813e-03  2.945198191164119e+00  1.496971434665796e-01 
 2.236802550961519e-07  1.177143120923690e+00  7.425939573557179e-03  2.945812375034878e+00  1.546535657853703e-01 
 2.246802550961519e-07  1.177143120842294e+00  7.425872566335102e-03  2.946424083716391e+00  1.595919155996594e-01 
 2.256802550961519e-07  1.177143120754162e+00  7.425807300385162e-03  2.947033360675008e+00  1.645125267358129e-01 
