 time                   v(gate_core)           v(xreceiver.sense)     v(padres)              v(gate)               
 0.000000000000000e+00  4.550692926908711e-08  3.299999909145129e+00  3.910263613121000e-09  5.163126048836336e-08 
 1.000000000000000e-11  4.550694980998832e-08  3.299999909145176e+00  3.910389151373650e-09  5.163393711366325e-08 
 2.000000000000000e-11  4.550691095435086e-08  3.299999909145177e+00  3.910406332074956e-09  5.163392990845822e-08 
 4.000000000000000e-11  4.550684761395890e-08  3.299999909145259e+00  3.910653939565023e-09  5.163892822637654e-08 
 8.000000000000001e-11  4.550682234510939e-08  3.299999909145179e+00  3.910428675313327e-09  5.163362010296082e-08 
 1.600000000000000e-10  4.550694494896788e-08  3.299999909145107e+00  3.910221993419505e-09  5.163045602660041e-08 
 3.200000000000000e-10  4.550698832009054e-08  3.299999909145216e+00  3.910538171059130e-09  5.163636822264023e-08 
 6.400000000000001e-10  4.550692557796134e-08  3.299999909145083e+00  3.910204271484474e-09  5.163008516266317e-08 
 1.280000000000000e-09  4.550692149398860e-08  3.299999909145060e+00  3.910156587405567e-09  5.162936382495220e-08 
 2.280000000000000e-09  4.550692977084219e-08  3.299999909145118e+00  3.910320367853104e-09  5.163228705621318e-08 
 3.280000000000000e-09  4.550692928173149e-08  3.299999909145102e+00  3.910295356610027e-09  5.163182360177492e-08 
 4.280000000000000e-09  4.550692937966205e-08  3.299999909145091e+00  3.910265352832787e-09  5.163129012444850e-08 
 5.280000000000000e-09  4.550692907336138e-08  3.299999909145094e+00  3.910290456016208e-09  5.163174019255254e-08 
 6.280000000000000e-09  4.550692911403252e-08  3.299999909145091e+00  3.910291652975406e-09  5.163176006977292e-08 
 7.280000000000000e-09  4.550692931732042e-08  3.299999909145081e+00  3.910278205399020e-09  5.163151905987438e-08 
 8.280000000000000e-09  4.550692890665175e-08  3.299999909145078e+00  3.910281681784866e-09  5.163158178377122e-08 
 9.280000000000001e-09  4.550692965644531e-08  3.299999909145078e+00  3.910285142558201e-09  5.163164583999602e-08 
 1.028000000000000e-08  4.550692922978465e-08  3.299999909145082e+00  3.910281371269364e-09  5.163157695529164e-08 
 1.128000000000000e-08  4.550692937914705e-08  3.299999909145080e+00  3.910280306149150e-09  5.163155772643618e-08 
 1.228000000000000e-08  4.550692917068208e-08  3.299999909145076e+00  3.910281520455583e-09  5.163158071225395e-08 
 1.328000000000000e-08  4.550692897011823e-08  3.299999909145061e+00  3.910181326297058e-09  5.162977939986481e-08 
 1.428000000000000e-08  4.550692937239790e-08  3.299999909145100e+00  3.910284235297823e-09  5.163163672770722e-08 
 1.528000000000001e-08  4.550692922235787e-08  3.299999909145067e+00  3.910178075425264e-09  5.162972177357515e-08 
 1.628000000000000e-08  4.550692969815999e-08  3.299999909145146e+00  3.910424716674354e-09  5.163416098880505e-08 
 1.728000000000000e-08  4.550692853308989e-08  3.299999909145051e+00  3.910125308606571e-09  5.162875876184919e-08 
 1.828000000000000e-08  4.550692955272782e-08  3.299999909145105e+00  3.910299547701945e-09  5.163191697414889e-08 
 1.928000000000000e-08  4.550692899037926e-08  3.299999909145073e+00  3.910199865286845e-09  5.163011065484379e-08 
 2.028000000000000e-08  4.550692953837570e-08  3.299999909145114e+00  3.910335553622413e-09  5.163256039742303e-08 
 2.128000000000000e-08  4.550692894871879e-08  3.299999909145062e+00  3.910161775963483e-09  5.162942160113236e-08 
 2.228000000000000e-08  4.550693001356796e-08  3.299999909145158e+00  3.910439317841852e-09  5.163442478916079e-08 
 2.328000000000000e-08  4.550692852643560e-08  3.299999909145077e+00  3.910175757834700e-09  5.162966510985699e-08 
 2.428000000000000e-08  4.550692906273620e-08  3.299999909145098e+00  3.910236450604954e-09  5.163078412056730e-08 
 2.528000000000000e-08  4.550692958719190e-08  3.299999909145103e+00  3.910239132487447e-09  5.163082024251547e-08 
 2.627999999999999e-08  4.550692937275026e-08  3.299999909145115e+00  3.910280954935730e-09  5.163157153109890e-08 
 2.727999999999999e-08  4.550692873652687e-08  3.299999909145067e+00  3.910154190017723e-09  5.162929549027089e-08 
 2.827999999999999e-08  4.550693009707863e-08  3.299999909145153e+00  3.910436844126175e-09  5.163437953694024e-08 
 2.927999999999999e-08  4.550692792563852e-08  3.299999909145047e+00  3.910133048942721e-09  5.162889953160368e-08 
 3.027999999999999e-08  4.550693027044255e-08  3.299999909145124e+00  3.910393125625133e-09  5.163359917921457e-08 
 3.127999999999999e-08  4.550692844270808e-08  3.299999909145026e+00  3.910097861811734e-09  5.162827103095865e-08 
 3.228000000000000e-08  4.550693004215023e-08  3.299999909145137e+00  3.910447108484982e-09  5.163457364648640e-08 
 3.328000000000000e-08  4.550692847967938e-08  3.299999909145058e+00  3.910213113370031e-09  5.163033521608819e-08 
 3.428000000000000e-08  4.550693003477766e-08  3.299999909145076e+00  3.910229352116490e-09  5.163065103387677e-08 
 3.528000000000000e-08  4.550692916459700e-08  3.299999909145097e+00  3.910232658499435e-09  5.163070543064920e-08 
 3.628000000000000e-08  4.550692925091304e-08  3.299999909145122e+00  3.910291672057364e-09  5.163176484584590e-08 
 3.728000000000001e-08  4.550692881698823e-08  3.299999909145076e+00  3.910157059250352e-09  5.162934171474508e-08 
 3.828000000000001e-08  4.550693021085209e-08  3.299999909145155e+00  3.910434141426999e-09  5.163433060811463e-08 
