 time                   v(vdd)                 v(vdda)                i(vcored)              i(vcorea)              i(vpadd)               i(vpada)              
 0.000000000000000e+00  1.199999999415032e+00  3.299999999392881e+00  8.259916708941439e-10  9.564815044215478e-11  3.439440329766619e-10  1.118590337092503e-09 
 1.000000000000000e-11  1.199999999415032e+00  3.299999999392881e+00  8.259891303916134e-10  9.568854291829715e-11  3.439621166015372e-10  1.118600570786284e-09 
 2.000000000000000e-11  1.199999999415032e+00  3.299999999392880e+00  8.259887942889399e-10  9.570879337542429e-11  3.439624527042107e-10  1.118637163748017e-09 
 4.000000000000000e-11  1.199999999415032e+00  3.299999999392879e+00  8.259894415576369e-10  9.573485651144867e-11  3.439618054355137e-10  1.118497413774271e-09 
 8.000000000000001e-11  1.199999999415032e+00  3.299999999392882e+00  8.259913352251513e-10  9.576291116423358e-11  3.439741226227144e-10  1.118327250574334e-09 
 1.600000000000000e-10  1.199999999415031e+00  3.299999999392879e+00  8.259921420884081e-10  9.578672815522909e-11  3.439413413363485e-10  1.118587650677643e-09 
 3.200000000000000e-10  1.199999999415032e+00  3.299999999392863e+00  8.259909043632080e-10  9.579875048687275e-11  3.439425790615486e-10  1.118618260910145e-09 
 6.400000000000001e-10  1.199999999415033e+00  3.299999999392836e+00  8.259909665964127e-10  9.579915354326554e-11  3.439442931851833e-10  1.118610752426394e-09 
 1.280000000000000e-09  1.199999999415033e+00  3.299999999392815e+00  8.259906376494736e-10  9.579650677198141e-11  3.439428457752830e-10  1.118574319347212e-09 
 2.280000000000000e-09  1.199999999415033e+00  3.299999999392808e+00  8.259917955773938e-10  9.579555396240674e-11  3.439434642042022e-10  1.118580601227305e-09 
 3.280000000000000e-09  1.199999999415033e+00  3.299999999392808e+00  8.259920447270530e-10  9.579534837141681e-11  3.439414386977035e-10  1.118586135888813e-09 
 4.280000000000000e-09  1.199999999415033e+00  3.299999999392810e+00  8.259917875542977e-10  9.579526147748313e-11  3.439416958704589e-10  1.118582670069068e-09 
 5.280000000000000e-09  1.199999999415033e+00  3.299999999392811e+00  8.259919005281641e-10  9.579527204231332e-11  3.439415828965925e-10  1.118580883147398e-09 
 6.280000000000000e-09  1.199999999415033e+00  3.299999999392811e+00  8.259921067434173e-10  9.579527954300182e-11  3.439413766813393e-10  1.118582652003549e-09 
 7.280000000000000e-09  1.199999999415033e+00  3.299999999392811e+00  8.259918547748324e-10  9.579529646227319e-11  3.439416286499242e-10  1.118582635084278e-09 
 8.280000000000000e-09  1.199999999415033e+00  3.299999999392811e+00  8.259921078276194e-10  9.579517582678205e-11  3.439413755971371e-10  1.118580979362929e-09 
 9.280000000000001e-09  1.199999999415033e+00  3.299999999392811e+00  8.259918378612785e-10  9.579523264659918e-11  3.439416455634781e-10  1.118580922543112e-09 
 1.028000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259920668447773e-10  9.579529094067716e-11  3.439414165799792e-10  1.118582640605874e-09 
 1.128000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259918090215007e-10  9.579522317634732e-11  3.439416744032558e-10  1.118580932013364e-09 
 1.228000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259920230430096e-10  9.579528417415446e-11  3.439414603817470e-10  1.118582647372396e-09 
 1.328000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259922218856880e-10  9.579514786156578e-11  3.439412615390686e-10  1.118582783684985e-09 
 1.428000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259920985034808e-10  9.579527296960264e-11  3.439413849212758e-10  1.118582658576948e-09 
 1.528000000000001e-08  1.199999999415033e+00  3.299999999392811e+00  8.259917947100320e-10  9.579530821951401e-11  3.439416887147245e-10  1.118582623327037e-09 
 1.628000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259920033105300e-10  9.579532212779501e-11  3.439414801142265e-10  1.118582609418756e-09 
 1.728000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259917801817229e-10  9.579525609120061e-11  3.439417032430336e-10  1.118582675455350e-09 
 1.828000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259919558224749e-10  9.579510971946041e-11  3.439415276022817e-10  1.118581045470251e-09 
 1.928000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259917008181239e-10  9.579533579763623e-11  3.439417826066327e-10  1.118582595748915e-09 
 2.028000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259918636652902e-10  9.579530154828252e-11  3.439416197594664e-10  1.118582629998268e-09 
 2.128000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259919519193470e-10  9.579521381536270e-11  3.439415315054095e-10  1.118582717731188e-09 
 2.228000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259921752649946e-10  9.579527019154633e-11  3.439413081597620e-10  1.118580884998165e-09 
 2.328000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259920180556796e-10  9.579519359605097e-11  3.439414653690770e-10  1.118582737950500e-09 
 2.428000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259918855661741e-10  9.579515406565860e-11  3.439415978585825e-10  1.118581001124053e-09 
 2.528000000000000e-08  1.199999999415033e+00  3.299999999392811e+00  8.259920460280956e-10  9.579523978179297e-11  3.439414373966609e-10  1.118580915407918e-09 
 2.627999999999999e-08  1.199999999415033e+00  3.299999999392811e+00  8.259917806154038e-10  9.579523531305890e-11  3.439417028093528e-10  1.118580919876653e-09 
 2.727999999999999e-08  1.199999999415033e+00  3.299999999392811e+00  8.259920063462961e-10  9.579519865791987e-11  3.439414770784605e-10  1.118582732888631e-09 
 2.827999999999999e-08  1.199999999415033e+00  3.299999999392811e+00  8.259918153098733e-10  9.579538873677191e-11  3.439416681148832e-10  1.118582542809779e-09 
 2.927999999999999e-08  1.199999999415033e+00  3.299999999392810e+00  8.259919191764414e-10  9.579531416949695e-11  3.439415642483151e-10  1.118587946447572e-09 
 3.027999999999999e-08  1.199999999415033e+00  3.299999999392811e+00  8.259922043216128e-10  9.579516053233164e-11  3.439412791031438e-10  1.118579218300540e-09 
