 time                   v(fout)                v(vref)                i(vdd)                 i(vdd12)               v(xt2f.cap1)           v(xt2f.cap2)           v(xt2f.ca1)            v(xt2f.tail1)          v(xt2f.cb1)            v(xt2f.ca2)            v(xt2f.tail2)          v(xt2f.cb2)           
 0.000000000000000e+00  7.738029692500426e-09  1.038527211255694e+00 -4.309656079462740e-05 -4.151171480127822e-11  3.366765030667796e-11  3.366760532902124e-11  1.121042184150034e+00  2.450502841124565e-01  1.251884172609955e+00  1.121042184150084e+00  2.450502841124583e-01  1.251884172610048e+00 
 5.000000000000000e-11  7.738029601939231e-09  1.038527211255687e+00 -4.309656079352741e-05 -4.151170806190393e-11  3.366747440732010e-11  3.366753989816057e-11  1.121042184150001e+00  2.450502841124365e-01  1.251884172609900e+00  1.121042184150020e+00  2.450502841124313e-01  1.251884172609941e+00 
 1.000000000000000e-10  7.738029404197100e-09  1.038527211255656e+00 -4.309656079352609e-05 -4.151170283019882e-11  3.366742670242451e-11  3.366740654510501e-11  1.121042184149979e+00  2.450502841124048e-01  1.251884172609840e+00  1.121042184149961e+00  2.450502841123955e-01  1.251884172609890e+00 
 2.000000000000000e-10  7.738029460779804e-09  1.038527211255641e+00 -4.309656079379916e-05 -4.151171518753118e-11  3.366735839768764e-11  3.366687740854624e-11  1.121042184149928e+00  2.450502841123475e-01  1.251884172609696e+00  1.121042184149886e+00  2.450502841123465e-01  1.251884172609733e+00 
 4.000000000000000e-10  7.738029969233968e-09  1.038527211255464e+00 -4.309656079399480e-05 -4.151168970514931e-11  3.366675536443930e-11  3.366664189455573e-11  1.121042184149808e+00  2.450502841122226e-01  1.251884172609338e+00  1.121042184149801e+00  2.450502841122194e-01  1.251884172609362e+00 
 8.000000000000000e-10  7.738029617388500e-09  1.038527211255488e+00 -4.309656079399647e-05 -4.151172358513295e-11  3.366686118257134e-11  3.366662784534963e-11  1.121042184149912e+00  2.450502841122393e-01  1.251884172608916e+00  1.121042184149974e+00  2.450502841122394e-01  1.251884172608898e+00 
 1.600000000000000e-09  7.738029567933947e-09  1.038527211255269e+00 -4.309656079502500e-05 -4.151175244950841e-11  3.366732413689899e-11  3.366654561459702e-11  1.121042184150230e+00  2.450502841120616e-01  1.251884172608609e+00  1.121042184150292e+00  2.450502841120666e-01  1.251884172608626e+00 
 3.200000000000000e-09  7.738030148421198e-09  1.038527211254559e+00 -4.309656079465445e-05 -4.151162147893614e-11  3.366678995048861e-11  3.366675691011561e-11  1.121042184150140e+00  2.450502841114055e-01  1.251884172608217e+00  1.121042184150093e+00  2.450502841113938e-01  1.251884172608284e+00 
 6.400000000000000e-09  7.738029168504303e-09  1.038527211254339e+00 -4.309656079463687e-05 -4.151182902201782e-11  3.366735541613167e-11  3.366791121201682e-11  1.121042184148493e+00  2.450502841111486e-01  1.251884172606041e+00  1.121042184148461e+00  2.450502841111558e-01  1.251884172606589e+00 
 1.140000000000000e-08  7.738029887729025e-09  1.038527211253094e+00 -4.309656079451538e-05 -4.151172707746655e-11  3.366721788508609e-11  3.366687307766843e-11  1.121042184144520e+00  2.450502841100029e-01  1.251884172603063e+00  1.121042184144574e+00  2.450502841100015e-01  1.251884172603150e+00 
