campaign,name,seed,hbt,mos,res,vdd,status,tc_status,vref25,tc_ppm_C,hbt_vce_max,wall_seconds
mc,mc_42001,42001,typ,tt,typ,3.3,passed,passed,1.060909402346216,47.79316465372994,0.8088283026874367,0.524085601005936
mc,mc_42002,42002,typ,tt,typ,3.3,passed,failed,1.016237408939153,118.90562187271868,0.7924327185878894,0.5261851869872771
mc,mc_42003,42003,typ,tt,typ,3.3,passed,passed,1.033062075843227,41.596015790251805,0.8007659621462961,0.5254500590090174
mc,mc_42004,42004,typ,tt,typ,3.3,passed,failed,1.065577000502536,60.59650303694304,0.8129758631554577,0.5262926590221468
mc,mc_42005,42005,typ,tt,typ,3.3,passed,failed,1.066957708293155,62.86808177683658,0.8024332500158953,0.5232036449888255
mc,mc_42006,42006,typ,tt,typ,3.3,passed,failed,1.026193846960836,63.94090976044683,0.7976071175965938,0.522017240000423
mc,mc_42007,42007,typ,tt,typ,3.3,passed,passed,1.052113159553568,19.643142525560148,0.8044414320590332,0.5238823140098248
mc,mc_42008,42008,typ,tt,typ,3.3,passed,failed,1.031840880416882,51.07132098323995,0.7960294444957524,0.5205802810087334
mc,mc_42009,42009,typ,tt,typ,3.3,passed,passed,1.039933241298931,24.358789482633984,0.8027614622422165,0.5268114399805199
mc,mc_42010,42010,typ,tt,typ,3.3,passed,failed,1.019234511240747,84.01177513184734,0.7957869618055543,0.5236212269810494
mc,mc_42011,42011,typ,tt,typ,3.3,passed,failed,1.061619679401526,58.89579452237259,0.8055145449603567,0.42067693098215386
mc,mc_42012,42012,typ,tt,typ,3.3,passed,passed,1.045087627308653,16.7291319979522,0.80688231997075,0.4238232159987092
mc,mc_42013,42013,typ,tt,typ,3.3,passed,failed,1.028261524746496,59.336813242165746,0.7975713714304637,0.576564763992792
mc,mc_42014,42014,typ,tt,typ,3.3,passed,failed,1.071785222336662,95.30828901009072,0.8092326154796048,0.5307351319934241
mc,mc_42015,42015,typ,tt,typ,3.3,passed,passed,1.045812247787362,8.563734925423066,0.8034951035500955,0.5208141450129915
mc,mc_42016,42016,typ,tt,typ,3.3,passed,passed,1.06129333817079,44.99179206225421,0.80918084831079,0.5710524689930025
mc,mc_42017,42017,typ,tt,typ,3.3,passed,passed,1.037668616362987,36.27807966932044,0.8032102578508745,0.5244988450140227
mc,mc_42018,42018,typ,tt,typ,3.3,passed,failed,1.00198428166211,158.68697300831332,0.799158698302512,0.5241908259922639
mc,mc_42019,42019,typ,tt,typ,3.3,passed,passed,1.03373638563974,26.469919060715043,0.7984528669720261,0.5713549850042909
mc,mc_42020,42020,typ,tt,typ,3.3,passed,passed,1.038739431457262,14.369885547825318,0.8024664778564727,0.5230747520108707
mc,mc_42021,42021,typ,tt,typ,3.3,passed,failed,1.063522428869503,59.44797569190498,0.8041917450705339,0.5218836439889856
mc,mc_42022,42022,typ,tt,typ,3.3,passed,passed,1.049799460484301,13.287716075695087,0.8067040354554692,0.5796440200065263
mc,mc_42023,42023,typ,tt,typ,3.3,passed,passed,1.06004078046726,44.57554056328403,0.8088601174291646,0.5768553070083726
mc,mc_42024,42024,typ,tt,typ,3.3,passed,passed,1.05750146657192,40.20622919608049,0.8026680100896741,0.5237653719959781
mc,mc_42025,42025,typ,tt,typ,3.3,passed,passed,1.032135454292228,34.179349636543726,0.8019428164791617,0.5270973870065063
mc,mc_42026,42026,typ,tt,typ,3.3,passed,failed,1.014714419085881,112.16331693983005,0.7957649601752972,0.5734252799884416
mc,mc_42027,42027,typ,tt,typ,3.3,passed,passed,1.033279796119605,34.05052956602921,0.7979685475458737,0.5253162870067172
mc,mc_42028,42028,typ,tt,typ,3.3,passed,passed,1.052454110994132,30.474106634193504,0.8002284108722971,0.5245829890191089
mc,mc_42029,42029,typ,tt,typ,3.3,passed,passed,1.032612905985292,38.35229890585777,0.7986839823924086,0.5235089409979992
mc,mc_42030,42030,typ,tt,typ,3.3,passed,failed,1.017800526604794,78.90436498035622,0.7983677063403718,0.6238664099946618
mc,mc_42031,42031,typ,tt,typ,3.3,passed,failed,1.000781540037175,165.06109796070888,0.7996602250216615,0.5239698980003595
mc,mc_42032,42032,typ,tt,typ,3.3,passed,failed,1.009881518285252,124.27836804802645,0.7932082657735189,0.5734051849867683
mc,mc_42033,42033,typ,tt,typ,3.3,passed,passed,1.052749008764059,26.929036167633306,0.8065264113994375,0.5271534599887673
mc,mc_42034,42034,typ,tt,typ,3.3,passed,failed,1.026928818419758,53.73321482088116,0.7966579920498139,0.5219489310111385
mc,mc_42035,42035,typ,tt,typ,3.3,passed,passed,1.037463257102256,24.308571632558493,0.8033901190145785,0.521138852025615
mc,mc_42036,42036,typ,tt,typ,3.3,passed,passed,1.03125743213065,46.09441171158986,0.8003204668336573,0.52705630499986
mc,mc_42037,42037,typ,tt,typ,3.3,passed,failed,1.052810278511273,51.11352125683799,0.8059082035896633,0.5720645809778944
mc,mc_42038,42038,typ,tt,typ,3.3,passed,failed,1.021842040806011,71.39414050296358,0.8004608998731926,0.4745272030122578
mc,mc_42039,42039,typ,tt,typ,3.3,passed,passed,1.043328818757474,21.634906369580637,0.8031619088169127,0.5791489580005873
mc,mc_42040,42040,typ,tt,typ,3.3,passed,failed,1.072804416781906,115.99528071942382,0.8065124504315543,0.4758254489861429
mc,mc_42041,42041,typ,tt,typ,3.3,passed,passed,1.0571553550758,38.51818853595651,0.8089307015132344,0.5217701960064005
mc,mc_42042,42042,typ,tt,typ,3.3,passed,failed,1.065208284792138,61.00525347032641,0.8074281107263098,0.526961419993313
mc,mc_42043,42043,typ,tt,typ,3.3,passed,passed,1.057136561552027,26.528815236667356,0.8087663738651623,0.47614092502044514
mc,mc_42044,42044,typ,tt,typ,3.3,passed,passed,1.033139188646572,33.05517001489588,0.8009310602946734,0.5745294009975623
mc,mc_42045,42045,typ,tt,typ,3.3,passed,passed,1.043340600379435,17.776050684230068,0.8035761072853309,0.5289144249982201
mc,mc_42046,42046,typ,tt,typ,3.3,passed,failed,1.021743363961985,74.46381396937545,0.7977950433852626,0.5696460120088886
mc,mc_42047,42047,typ,tt,typ,3.3,passed,passed,1.040657586658537,21.548716516771783,0.8029767955491028,0.5225664280005731
mc,mc_42048,42048,typ,tt,typ,3.3,passed,passed,1.041169502893084,17.26100867907441,0.8014914743942558,0.5290203289769124
mc,mc_42049,42049,typ,tt,typ,3.3,passed,passed,1.044436947490349,16.205723133921456,0.8041631313695764,0.5262025730044115
mc,mc_42050,42050,typ,tt,typ,3.3,passed,passed,1.048952364629914,27.207729126155026,0.8053630191184439,0.5754621409869287
mc,mc_42051,42051,typ,tt,typ,3.3,passed,passed,1.037921848146564,37.65474584626273,0.8019183132632105,0.5784977250150405
mc,mc_42052,42052,typ,tt,typ,3.3,passed,failed,1.083586564240151,118.82476013575052,0.8168163799844314,0.4791661190101877
