seed,tc_ppm_C,signed_25_to_100_slope_ppm_C,vref25_V,iptat25_A,NMOS_cascode_XM34_delvto_V,R1_XR16_nsmm_rsh,Q1_XQ56_area_factor,tc_status
42001,47.79316465372994,38.266679900980094,1.060909402346216,4.35919170340077e-06,-0.00262605208309305,0.5179948103270041,0.9178450124135615,passed
42002,118.90562187271868,-129.98847549432776,1.016237408939153,3.755646578391109e-06,0.001183567895328488,1.056321362597814,1.18139993678235,failed
42003,41.596015790251805,-51.74542783805099,1.033062075843227,3.955565673988064e-06,0.00190406080280544,1.816551047649326,1.105847084072534,passed
42004,60.59650303694304,51.14637638472826,1.065577000502536,4.449020662373191e-06,0.0007569497260700754,-1.17367895911217,0.8763224621209276,failed
42005,62.86808177683658,53.41059940490981,1.066957708293155,4.414333169223738e-06,0.001708653564682384,1.893306064334095,0.8653893910048128,failed
42006,63.94090976044683,-74.2570901441549,1.026193846960836,3.944727921028916e-06,-0.000138909583524891,0.2040285145993878,1.085765805781867,failed
42007,19.643142525560148,8.848381587475512,1.052113159553568,4.336317108705716e-06,0.003350195256242276,1.087316712760041,0.9500745313782791,passed
42008,51.07132098323995,-61.35457267378483,1.031840880416882,3.973016053413072e-06,-0.00239963716600045,-0.0159926183783672,1.038366800505598,failed
42009,24.358789482633984,-33.08810741065926,1.039933241298931,4.137394876960887e-06,-0.00197644447009407,3.006160919375675,0.9427200796536308,passed
42010,84.01177513184734,-94.40646429342911,1.019234511240747,3.937796419786185e-06,-0.000938283711744464,3.411204815368022,1.03477893363121,failed
42011,58.89579452237259,49.63356913134653,1.061619679401526,4.357436130588484e-06,-0.00213210420605468,0.9092406449148019,0.8377027486299387,failed
42012,16.7291319979522,-23.134911577519603,1.045087627308653,4.148084326557349e-06,-0.00152490843918084,0.6058216305303746,1.001423251330027,passed
42013,59.336813242165746,-69.64528104445775,1.028261524746496,3.955802086198741e-06,-0.000761879552051657,-0.29687190732465,1.042384194395038,failed
42014,95.30828901009072,86.41946712611019,1.071785222336662,4.48981816847415e-06,-0.00325710076680125,-0.160772815966896,0.7993183593742328,failed
42015,8.563734925423066,-9.64340748805507,1.045812247787362,4.175589027533678e-06,-0.00116490935454774,0.1562479368891821,0.9928014310420972,passed
42016,44.99179206225421,35.403849986532045,1.06129333817079,4.364734269818966e-06,0.00105759152748099,0.6232414424538613,0.8734451883307304,passed
42017,36.27807966932044,-46.55722806696794,1.037668616362987,4.113359945190725e-06,0.0009238720034126328,0.2515694169136295,1.064472815510191,passed
42018,158.68697300831332,-169.9054115422601,1.00198428166211,3.693560284773566e-06,0.002995497771781403,0.5627755332138958,1.184171389101206,failed
42019,26.469919060715043,-35.436727393223975,1.03373638563974,3.97944550079665e-06,-0.00149268118978577,-0.0733038375662158,0.98335242831695,passed
42020,14.369885547825318,-19.68396253643423,1.038739431457262,4.148205224365755e-06,0.0002574324733851156,1.35823397377348,0.9817919339452896,passed
