run	metric	value	unit
C03	raw_variables	82	count
C03	raw_points	10065	count
C03	time_start	0	s
C03	time_stop	1.9999999999999997e-08	s
C03	input_diff_crossings	10	count
C03	cm_p_min	0.62789967150830095	V
C03	cm_p_max	1.2195383537598787	V
C03	cm_p_p2p	0.59163868225157779	V
C03	cmos_out_p_min	1.1993721669976196	V
C03	cmos_out_p_max	1.2012632106828753	V
C03	cmos_out_p_p2p	0.0018910436852557222	V
C03	cmos_out_p_crossings_0p6	0	count
C03	cmos_out_n_min	-0.00037221090747963093	V
C03	cmos_out_n_max	0.11999959158067652	V
C03	cmos_out_n_p2p	0.12037180248815615	V
C03	cmos_out_n_crossings_0p6	0	count
C03	gbuf_p_minus_gp_max_abs	0	V
C03	gbuf_n_minus_gn_max_abs	0	V
C03	first_cycle_out_n_p2p	0.013615309314648688	V
C03	last_cycle_out_n_p2p	0.12028430054425088	V
C04	raw_variables	82	count
C04	raw_points	50305	count
C04	time_start	0	s
C04	time_stop	9.9999999999999982e-08	s
C04	input_diff_crossings	50	count
C04	cm_p_min	0.62437977392360267	V
C04	cm_p_max	1.2195383537598787	V
C04	cm_p_p2p	0.59515857983627607	V
C04	cmos_out_p_min	1.1992626863417386	V
C04	cmos_out_p_max	1.2014245339024205	V
C04	cmos_out_p_p2p	0.0021618475606819398	V
C04	cmos_out_p_crossings_0p6	0	count
C04	cmos_out_n_min	-0.00037221090747963093	V
C04	cmos_out_n_max	0.13470105885075501	V
C04	cmos_out_n_p2p	0.13507326975823464	V
C04	cmos_out_n_crossings_0p6	0	count
C04	gbuf_p_minus_gp_max_abs	0	V
C04	gbuf_n_minus_gn_max_abs	0	V
C04	first_cycle_out_n_p2p	0.013615309314648688	V
C04	last_cycle_out_n_p2p	0.13497881544364279	V
C05	raw_variables	82	count
C05	raw_points	1065	count
C05	time_start	0	s
C05	time_stop	2.0000000000000001e-09	s
C05	input_diff_crossings	10	count
C05	cm_p_min	0.94544555810109943	V
C05	cm_p_max	1.215234430491184	V
C05	cm_p_p2p	0.26978887239008453	V
C05	cmos_out_p_min	1.1998903204169891	V
C05	cmos_out_p_max	1.2000629612396678	V
C05	cmos_out_p_p2p	0.00017264082267876013	V
C05	cmos_out_p_crossings_0p6	0	count
C05	cmos_out_n_min	-0.001067288805577743	V
C05	cmos_out_n_max	0.00082513216989876792	V
C05	cmos_out_n_p2p	0.0018924209754765109	V
C05	cmos_out_n_crossings_0p6	0	count
C05	gbuf_p_minus_gp_max_abs	0	V
C05	gbuf_n_minus_gn_max_abs	0	V
C06	raw_variables	82	count
C06	raw_points	1065	count
C06	time_start	0	s
C06	time_stop	2.0000000000000001e-09	s
C06	input_diff_crossings	10	count
C06	cm_p_min	0.85887677662806217	V
C06	cm_p_max	1.2301702224757831	V
C06	cm_p_p2p	0.37129344584772095	V
C06	cmos_out_p_min	1.1998070167097854	V
C06	cmos_out_p_max	1.2001412909451756	V
C06	cmos_out_p_p2p	0.0003342742353902306	V
C06	cmos_out_p_crossings_0p6	0	count
C06	cmos_out_n_min	-0.0016035341207472631	V
C06	cmos_out_n_max	0.0016772401703716855	V
C06	cmos_out_n_p2p	0.0032807742911189486	V
C06	cmos_out_n_crossings_0p6	0	count
C06	gbuf_p_minus_gp_max_abs	0	V
C06	gbuf_n_minus_gn_max_abs	0	V
