# TMR copy separation: 199 stages (128 chain stages, 71 control-register bits), 597 flops, all placed
# min distance between two copies of one stage: min 27.4 um, median 42.0 um, max 44.9 um
# stages with a copy pair closer than  5 um: 0
# stages with a copy pair closer than 10 um: 0
# stages with a copy pair closer than 20 um: 0
# stages with a copy pair closer than 40 um: 24
# stage  min_pair_um  a(x,y)  b(x,y)  c(x,y)
chain.0       42.6   (106.1,151.2)  (145.9,166.3)  (185.8,181.4)
chain.1       41.9   (97.4,162.5)  (137.3,177.7)  (177.6,189.0)
chain.2       43.1   (10.1,158.8)  (50.4,173.9)  (90.2,192.8)
chain.3       42.6   (10.1,147.4)  (50.4,162.5)  (90.2,177.7)
chain.4       41.4   (10.1,90.7)  (50.4,102.1)  (90.2,113.4)
chain.5       35.2   (10.1,86.9)  (50.4,94.5)  (77.3,117.2)
chain.6       44.1   (107.5,11.3)  (150.7,26.5)  (190.6,45.4)
chain.7       41.4   (123.8,22.7)  (164.2,37.8)  (204.0,49.1)
chain.8       42.6   (120.5,11.3)  (165.6,26.5)  (205.4,41.6)
chain.9       39.5   (94.6,11.3)  (137.8,26.5)  (174.2,41.6)
chain.10      42.6   (106.6,49.1)  (146.4,64.3)  (186.7,79.4)
chain.11      42.6   (63.8,117.2)  (103.7,132.3)  (144.0,147.4)
chain.12      42.6   (82.6,105.8)  (122.9,121.0)  (162.7,136.1)
chain.13      42.6   (95.5,105.8)  (135.8,124.7)  (175.7,139.9)
chain.14      43.1   (107.5,121.0)  (147.4,139.9)  (187.7,155.0)
chain.15      42.6   (122.9,124.7)  (162.7,139.9)  (202.6,155.0)
chain.16      43.1   (122.9,83.2)  (163.2,98.3)  (205.0,113.4)
chain.17      40.4   (135.8,94.5)  (173.3,109.6)  (216.0,124.7)
chain.18      42.6   (25.0,128.5)  (65.3,143.6)  (105.1,158.8)
chain.19      41.4   (38.4,11.3)  (78.2,22.7)  (118.6,37.8)
chain.20      35.9   (63.4,15.1)  (103.2,26.5)  (137.3,37.8)
