2026-09-24T16:18:18+02:00 launched c_mid_tt_m40C_c1414m on cpu 0
2026-09-24T16:18:18+02:00 launched c_mid_tt_27C_c1414m on cpu 1
2026-09-24T16:18:19+02:00 launched c_mid_tt_85C_c1414m on cpu 2
2026-09-24T16:18:19+02:00 launched c_mid_tt_125C_c1414m on cpu 3
2026-09-24T16:18:19+02:00 launched c_mid_ss_m40C_c1414m on cpu 4
2026-09-24T16:18:20+02:00 launched c_mid_ss_27C_c1414m on cpu 5
2026-09-24T16:18:20+02:00 launched c_mid_ss_85C_c1414m on cpu 6
2026-09-24T16:18:20+02:00 launched c_mid_ss_125C_c1414m on cpu 7
2026-09-24T16:18:21+02:00 launched c_mid_ff_m40C_c1414m on cpu 8
2026-09-24T16:18:21+02:00 launched c_mid_ff_27C_c1414m on cpu 9
2026-09-24T16:18:21+02:00 launched c_mid_ff_85C_c1414m on cpu 10
2026-09-24T16:18:21+02:00 launched c_mid_ff_125C_c1414m on cpu 11
2026-09-24T16:18:22+02:00 launched c_tt_m40C_c1414m on cpu 12
2026-09-24T16:18:22+02:00 launched c_tt_27C_c1414m on cpu 13
2026-09-24T16:18:22+02:00 launched c_tt_85C_c1414m on cpu 14
2026-09-24T16:18:23+02:00 launched c_tt_125C_c1414m on cpu 15
2026-09-24T16:18:23+02:00 launched c_ss_m40C_c1414m on cpu 16
2026-09-24T16:18:23+02:00 launched c_ss_27C_c1414m on cpu 17
2026-09-24T16:39:35+02:00 N=18 (day target 18, cap 89, foreign 28.9) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:40:35+02:00 N=18 (day target 18, cap 89, foreign 28.9) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:41:36+02:00 N=18 (day target 18, cap 88, foreign 29.0) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:42:36+02:00 N=18 (day target 18, cap 89, foreign 29.0) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:43:37+02:00 N=18 (day target 18, cap 88, foreign 29.0) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:44:37+02:00 N=18 (day target 18, cap 88, foreign 29.1) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:45:38+02:00 N=18 (day target 18, cap 89, foreign 28.8) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:46:38+02:00 N=18 (day target 18, cap 89, foreign 28.9) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:47:39+02:00 N=18 (day target 18, cap 89, foreign 29.0) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:48:40+02:00 N=18 (day target 18, cap 89, foreign 28.7) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:49:40+02:00 N=18 (day target 18, cap 88, foreign 29.4) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:50:41+02:00 N=18 (day target 18, cap 47, foreign 70.3) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:51:41+02:00 N=18 (day target 18, cap 46, foreign 71.5) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:52:42+02:00 N=18 (day target 18, cap 88, foreign 29.7) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:53:42+02:00 N=18 (day target 18, cap 88, foreign 29.2) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:54:43+02:00 N=18 (day target 18, cap 45, foreign 72.9) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:55:44+02:00 N=18 (day target 18, cap 41, foreign 76.5) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:56:45+02:00 N=18 (day target 18, cap 48, foreign 69.5) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:57:45+02:00 N=18 (day target 18, cap 46, foreign 71.6) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:58:46+02:00 N=18 (day target 18, cap 40, foreign 77.1) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T16:59:47+02:00 N=18 (day target 18, cap 49, foreign 68.3) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:00:48+02:00 N=18 (day target 18, cap 47, foreign 70.8) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:01:48+02:00 N=18 (day target 18, cap 66, foreign 51.4) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:02:49+02:00 N=18 (day target 18, cap 42, foreign 75.4) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:03:50+02:00 N=18 (day target 18, cap 58, foreign 59.4) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:04:50+02:00 N=18 (day target 18, cap 42, foreign 75.7) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:05:52+02:00 N=18 (day target 18, cap 46, foreign 71.4) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:06:53+02:00 N=18 (day target 18, cap 39, foreign 78.6) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:07:53+02:00 N=18 (day target 18, cap 59, foreign 58.3) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:08:54+02:00 N=18 (day target 18, cap 40, foreign 77.7) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:09:55+02:00 N=18 (day target 18, cap 39, foreign 78.0) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:10:56+02:00 N=18 (day target 18, cap 56, foreign 61.5) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:11:57+02:00 N=18 (day target 18, cap 40, foreign 77.5) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:12:57+02:00 N=18 (day target 18, cap 52, foreign 65.8) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:13:58+02:00 N=18 (day target 18, cap 51, foreign 66.7) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:14:59+02:00 N=18 (day target 18, cap 34, foreign 83.5) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:16:00+02:00 N=18 (day target 18, cap 43, foreign 74.2) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:17:01+02:00 N=18 (day target 18, cap 42, foreign 75.2) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:18:02+02:00 N=18 (day target 18, cap 40, foreign 78.0) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:19:03+02:00 N=18 (day target 18, cap 40, foreign 77.9) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:20:03+02:00 N=18 (day target 18, cap 36, foreign 81.4) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:21:04+02:00 N=18 (day target 18, cap 36, foreign 81.1) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:22:05+02:00 N=18 (day target 18, cap 37, foreign 80.5) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:23:06+02:00 N=18 (day target 18, cap 38, foreign 79.8) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:24:06+02:00 N=18 (day target 18, cap 53, foreign 64.6) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:25:07+02:00 N=18 (day target 18, cap 35, foreign 82.1) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:26:08+02:00 N=18 (day target 18, cap 49, foreign 68.9) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:27:09+02:00 N=18 (day target 18, cap 43, foreign 74.4) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:28:10+02:00 N=18 (day target 18, cap 66, foreign 51.2) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:29:11+02:00 N=18 (day target 18, cap 38, foreign 79.2) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:30:12+02:00 N=18 (day target 18, cap 27, foreign 90.5) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:31:12+02:00 N=18 (day target 18, cap 42, foreign 75.9) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:32:13+02:00 N=18 (day target 18, cap 47, foreign 70.9) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:33:14+02:00 N=18 (day target 18, cap 40, foreign 77.3) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:34:15+02:00 N=18 (day target 18, cap 50, foreign 67.5) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:35:15+02:00 N=18 (day target 18, cap 40, foreign 77.4) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:36:16+02:00 N=18 (day target 18, cap 33, foreign 84.6) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:37:16+02:00 N=18 (day target 18, cap 41, foreign 76.8) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:38:17+02:00 N=18 (day target 18, cap 35, foreign 83.0) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:39:18+02:00 N=18 (day target 18, cap 32, foreign 85.3) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:40:19+02:00 N=18 (day target 18, cap 37, foreign 80.3) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:41:19+02:00 N=18 (day target 18, cap 32, foreign 85.0) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:42:20+02:00 N=18 (day target 18, cap 38, foreign 80.0) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:43:20+02:00 N=18 (day target 18, cap 62, foreign 55.6) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:44:21+02:00 N=18 (day target 18, cap 43, foreign 74.1) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:45:22+02:00 N=18 (day target 18, cap 41, foreign 76.3) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:46:22+02:00 N=18 (day target 18, cap 40, foreign 77.8) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:47:23+02:00 N=18 (day target 18, cap 40, foreign 77.6) running=18 queued=77 done=0 failed=0 skipped=0 blocked=0
2026-09-24T17:48:24+02:00 launched c_ss_85C_c1414m on cpu 12
2026-09-24T17:48:24+02:00 N=18 (day target 18, cap 69, foreign 48.9) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:49:25+02:00 N=18 (day target 18, cap 41, foreign 76.3) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:50:26+02:00 N=18 (day target 18, cap 37, foreign 80.8) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:51:27+02:00 N=18 (day target 18, cap 53, foreign 64.8) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:52:27+02:00 N=18 (day target 18, cap 45, foreign 72.9) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:53:28+02:00 N=18 (day target 18, cap 39, foreign 78.8) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:54:29+02:00 N=18 (day target 18, cap 37, foreign 81.0) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:55:29+02:00 N=18 (day target 18, cap 32, foreign 85.6) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:56:30+02:00 N=18 (day target 18, cap 42, foreign 75.1) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:57:30+02:00 N=18 (day target 18, cap 51, foreign 66.3) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:58:31+02:00 N=18 (day target 18, cap 34, foreign 83.9) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T17:59:32+02:00 N=18 (day target 18, cap 43, foreign 74.9) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T18:00:33+02:00 N=18 (day target 18, cap 39, foreign 78.1) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T18:01:33+02:00 N=18 (day target 18, cap 60, foreign 57.1) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T18:02:34+02:00 N=18 (day target 18, cap 52, foreign 65.8) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T18:03:35+02:00 N=18 (day target 18, cap 46, foreign 71.0) running=18 queued=76 done=1 failed=0 skipped=0 blocked=0
2026-09-24T18:04:35+02:00 launched c_ss_125C_c1414m on cpu 4
2026-09-24T18:04:35+02:00 launched c_ff_m40C_c1414m on cpu 9
2026-09-24T18:04:36+02:00 launched c_ff_27C_c1414m on cpu 11
2026-09-24T18:04:36+02:00 N=18 (day target 18, cap 51, foreign 66.1) running=18 queued=73 done=4 failed=0 skipped=0 blocked=0
2026-09-24T18:05:37+02:00 launched c_ff_85C_c1414m on cpu 8
2026-09-24T18:05:38+02:00 launched c_ff_125C_c1414m on cpu 16
2026-09-24T18:05:38+02:00 N=18 (day target 18, cap 29, foreign 89.0) running=18 queued=71 done=6 failed=0 skipped=0 blocked=0
2026-09-24T18:06:39+02:00 launched q_tt_m40C_c1414m on cpu 6
2026-09-24T18:06:40+02:00 N=18 (day target 18, cap 39, foreign 78.4) running=18 queued=70 done=7 failed=0 skipped=0 blocked=0
2026-09-24T18:07:41+02:00 launched q_tt_27C_c1414m on cpu 0
2026-09-24T18:07:42+02:00 N=18 (day target 18, cap 35, foreign 82.6) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:08:42+02:00 N=18 (day target 18, cap 47, foreign 70.8) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:09:43+02:00 N=18 (day target 18, cap 35, foreign 82.4) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:10:44+02:00 N=18 (day target 18, cap 69, foreign 48.6) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:11:44+02:00 N=18 (day target 18, cap 43, foreign 74.0) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:12:45+02:00 N=18 (day target 18, cap 36, foreign 81.8) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:13:46+02:00 N=18 (day target 18, cap 51, foreign 66.9) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:14:46+02:00 N=18 (day target 18, cap 55, foreign 62.2) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:15:47+02:00 N=18 (day target 18, cap 35, foreign 82.5) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:16:48+02:00 N=18 (day target 18, cap 34, foreign 83.0) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:17:48+02:00 N=18 (day target 18, cap 41, foreign 77.0) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:18:49+02:00 N=18 (day target 18, cap 58, foreign 59.5) running=18 queued=69 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:19:16+02:00 signal: state written, running jobs left detached
2026-09-24T18:19:22+02:00 N=18 (day target 18, cap 43, foreign 74.5) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:20:23+02:00 N=18 (day target 18, cap 27, foreign 90.7) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:21:24+02:00 N=18 (day target 18, cap 48, foreign 69.1) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
