id,status,invalid,ngspice_exit,wall_s,t_trip_d_us,t_gate_1V_us,cause,kinds,log
c_mid_tt_27C_vdd1p08_vdda3p6_r3_c1414m,completed,,0,6035,1.04654,1.36058,2,QUIET+TRIP,c_mid_pex_c1414_tl_tt_27C_vdd1p08_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_27C_vdd1p08_vdda3p6_r3_c1414m.log
c_mid_tt_27C_vdd1p32_vdda3p0_r3_c1414m,completed,,0,5824,1.04649,1.30646,2,QUIET+TRIP,c_mid_pex_c1414_tl_tt_27C_vdd1p32_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_27C_vdd1p32_vdda3p0_r3_c1414m.log
c_mid_ss_125C_vdd1p08_vdda3p0_r3_c1414m,completed,,0,8142,1.04654,1.30964,2,QUIET+TRIP,c_mid_pex_c1414_tl_ss_125C_vdd1p08_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_c_mid_ss_125C_vdd1p08_vdda3p0_r3_c1414m.log
c_mid_ff_m40C_vdd1p32_vdda3p6_r3_c1414m,completed,,0,9091,1.04655,1.35801,2,QUIET+TRIP,c_mid_pex_c1414_tl_ff_-40C_vdd1p32_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_c_mid_ff_m40C_vdd1p32_vdda3p6_r3_c1414m.log
q_tt_27C_vdd1p08_vdda3p0_r3_c1414m,completed,,0,7239,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_27C_vdd1p08_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_q_tt_27C_vdd1p08_vdda3p0_r3_c1414m.log
q_tt_27C_vdd1p32_vdda3p6_r3_c1414m,completed,,0,6147,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_27C_vdd1p32_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_q_tt_27C_vdd1p32_vdda3p6_r3_c1414m.log
q_tt_27C_vdd1p08_vdda3p6_r3_c1414m,completed,,0,5998,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_27C_vdd1p08_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_q_tt_27C_vdd1p08_vdda3p6_r3_c1414m.log
q_tt_27C_vdd1p32_vdda3p0_r3_c1414m,completed,,0,6112,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_27C_vdd1p32_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_q_tt_27C_vdd1p32_vdda3p0_r3_c1414m.log
q_ss_125C_vdd1p08_vdda3p0_r3_c1414m,completed,,0,8205,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_ss_125C_vdd1p08_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_q_ss_125C_vdd1p08_vdda3p0_r3_c1414m.log
q_ff_m40C_vdd1p32_vdda3p6_r3_c1414m,completed,,0,7159,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_ff_-40C_vdd1p32_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_q_ff_m40C_vdd1p32_vdda3p6_r3_c1414m.log
