id,status,invalid,ngspice_exit,wall_s,t_trip_d_us,t_gate_1V_us,cause,kinds,log
f_mid_tt_27C_c1414m,timeout,,-15,12300,,,,,f_mid_pex_c1414_tl_tt_27C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_tt_27C_c1414m.log
f_mid_tt_85C_c1414m,timeout,,-15,12300,,,,,f_mid_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_tt_85C_c1414m.log
f_mid_tt_125C_c1414m,completed,,0,9194,1.04651,1.33453,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_tt_125C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_tt_125C_c1414m.log
f_mid_ss_m40C_c1414m,completed,,0,6497,1.04647,1.33417,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_ss_-40C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ss_m40C_c1414m.log
f_mid_ss_27C_c1414m,completed,,0,9932,1.04647,1.33459,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_ss_27C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ss_27C_c1414m.log
f_mid_ss_85C_c1414m,failed (invalid),cosim mismatch,0,1995,,10.3949,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_ss_85C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ss_85C_c1414m.log
f_mid_ss_125C_c1414m,timeout,,-15,12300,,,,,f_mid_pex_c1414_tl_ss_125C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ss_125C_c1414m.log
f_mid_ff_m40C_c1414m,completed,,0,6760,1.04647,1.33335,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_ff_-40C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ff_m40C_c1414m.log
f_mid_ff_27C_c1414m,completed,,0,6279,1.04647,1.33363,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_ff_27C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ff_27C_c1414m.log
f_mid_ff_85C_c1414m,completed,,0,9011,1.04647,1.33387,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_ff_85C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ff_85C_c1414m.log
f_mid_ff_125C_c1414m,completed,,0,6499,1.04656,1.33413,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_ff_125C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ff_125C_c1414m.log
b_s_tt_m40C_c1414m,completed,,0,7262,27.6461,27.9333,1,QUIET+TRIP,b_s_pex_c1414_tl_tt_-40C_ovr-bgrsch_nodcn_clockfix_functional_b_s_tt_m40C_c1414m.log
b_s_tt_27C_c1414m,timeout,,-15,12300,,,,,b_s_pex_c1414_tl_tt_27C_ovr-bgrsch_nodcn_clockfix_functional_b_s_tt_27C_c1414m.log
b_s_tt_85C_c1414m,timeout,,-15,12300,,,,,b_s_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_b_s_tt_85C_c1414m.log
b_s_tt_125C_c1414m,timeout,,-15,12300,,,,,b_s_pex_c1414_tl_tt_125C_ovr-bgrsch_nodcn_clockfix_functional_b_s_tt_125C_c1414m.log
b_s_ss_m40C_c1414m,completed,,0,8372,27.6462,27.9339,1,QUIET+TRIP,b_s_pex_c1414_tl_ss_-40C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ss_m40C_c1414m.log
b_s_ss_27C_c1414m,timeout,,-15,12300,,,,,b_s_pex_c1414_tl_ss_27C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ss_27C_c1414m.log
b_s_ss_85C_c1414m,completed,,0,8275,27.6461,27.9346,1,QUIET+TRIP,b_s_pex_c1414_tl_ss_85C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ss_85C_c1414m.log
b_s_ss_125C_c1414m,timeout,,-15,12300,,,,,b_s_pex_c1414_tl_ss_125C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ss_125C_c1414m.log
b_s_ff_m40C_c1414m,completed,,0,7941,27.6461,27.933,1,QUIET+TRIP,b_s_pex_c1414_tl_ff_-40C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ff_m40C_c1414m.log
