kind	name	value	unit	status
plot	variable_count	221	count	verified
plot	point_count	1	count	verified
plot	finite_scalar_count	221	count	verified
node	v(div2_p)	1.5468244042221109	V	verified
node	v(div2_n)	1.5468244042221255	V	verified
node	v(clk_p)	1.2	V	verified
node	v(clk_n)	0.0	V	verified
node	v(vcc_hbt)	2.5	V	verified
node	v(vss)	0.0	V	verified
node	v(xdiv2.c_p_m)	2.2160044963679915	V	verified
node	v(xdiv2.c_n_m)	2.216004496368388	V	verified
node	v(xdiv2.c_p_s)	2.2160044952344125	V	verified
node	v(xdiv2.c_n_s)	2.2160044952349427	V	verified
node	v(xdiv2.sub!)	2.9916545225339743e-09	V	verified
branch	i(v_vcc_hbt)	-0.005350962919947392	A	verified
branch	i(v_vss)	0.005350970762916142	A	verified
warning	temperature_limiter_nan	1	count	material-engineering-unknown
