arm	kind	ordinal	interval_id	i	j	t_i	t_j	v_i	v_j	t_cross	in_from	in_to	nearest_in	delta_t	cm_in_cross	cm_out_cross	n_samples	n_out_cross	cm_in_min	cm_in_max	cm_in_p2p	cm_out_min	cm_out_max	cm_out_p2p
UNLOADED	INTERVAL	0	0	1038	1091	2.0001895523880594e-09	2.105680765834781e-09	NA	NA	NA	NA	1	NA	NA	NA	NA	54	0	1.3029820717284633	1.4831828100184774	0.18020073829001415	1.4026915176530492	1.4555902061228099	0.052898688469760646
UNLOADED	INTERVAL	1	1	1092	1194	2.107680765834781e-09	2.3057090533818684e-09	NA	NA	NA	1	2	NA	NA	NA	NA	103	0	1.3025653614346189	1.48365937578069	0.18109401434607109	1.160844835701238	1.5188212847541975	0.35797644905295956
UNLOADED	INTERVAL	2	2	1195	1297	2.3077090533818686e-09	2.5057161601652105e-09	NA	NA	NA	2	3	NA	NA	NA	NA	103	1	1.3024128497517697	1.4838033099964703	0.1813904602447005	1.1205228269689071	1.512279576138978	0.39175674917007086
UNLOADED	INTERVAL	3	3	1298	1401	2.5077161601652107e-09	2.7074766965793902e-09	NA	NA	NA	3	4	NA	NA	NA	NA	104	0	1.3055913584188903	1.4793073374714623	0.17371597905257197	1.161147531525169	1.5201331765886978	0.3589856450635289
UNLOADED	INTERVAL	4	4	1402	1503	2.7094766965793904e-09	2.9057885687574504e-09	NA	NA	NA	4	5	NA	NA	NA	NA	102	1	1.301355301506167	1.4851158263710844	0.18376052486491745	1.118480518783249	1.5107504702880015	0.3922699515047525
UNLOADED	INTERVAL	5	5	1504	1606	2.9077885687574506e-09	3.105756920165151e-09	NA	NA	NA	5	6	NA	NA	NA	NA	103	0	1.3017481630030885	1.4844843974994468	0.18273623449635834	1.1621713593725393	1.520766123874606	0.3585947645020666
UNLOADED	INTERVAL	6	6	1607	1710	3.107756920165151e-09	3.307490683018426e-09	NA	NA	NA	6	7	NA	NA	NA	NA	104	1	1.3052672864465695	1.4795409788017193	0.17427369235514978	1.120672539455842	1.5146792129118087	0.3940066734559666
UNLOADED	INTERVAL	7	7	1711	1812	3.3094906830184264e-09	3.5059386681140986e-09	NA	NA	NA	7	8	NA	NA	NA	NA	102	0	1.3019071489869458	1.4851237138622289	0.18321656487528304	1.1589040533996897	1.5177519478809525	0.35884789448126275
UNLOADED	INTERVAL	8	8	1813	1915	3.5079386681140988e-09	3.7064298180673624e-09	NA	NA	NA	8	9	NA	NA	NA	NA	103	1	1.305137194014161	1.4831388485097077	0.17800165449554672	1.1218992849628622	1.5085882867363019	0.3866890017734397
UNLOADED	INTERVAL	9	9	1916	2018	3.7084298180673626e-09	3.90581014856489e-09	NA	NA	NA	9	10	NA	NA	NA	NA	103	0	1.3009766199745694	1.4854205535931713	0.1844439336186019	1.163262449520232	1.5209301676099147	0.3576677180896828
UNLOADED	INTERVAL	10	10	2019	2068	3.90781014856489e-09	4e-09	NA	NA	NA	10	NA	NA	NA	NA	NA	50	1	1.3291471584174186	1.4774764443624575	0.1483292859450389	1.1209743013106581	1.5152003052395977	0.3942260039289396
UNLOADED	CROSS	1	2	1201	1202	2.318467170846757e-09	2.320467170846757e-09	-0.15771955814733185	0.0346146900345623	2.3201072277751328e-09	NA	NA	2	1.2473308956595326e-11	1.3487220947488385	1.190261245411531	NA	NA	NA	NA	NA	NA	NA	NA
UNLOADED	CROSS	2	4	1407	1408	2.7185372912090805e-09	2.7205372912090807e-09	0.1609765060173396	-0.033457061365046226	2.720193142183627e-09	NA	NA	4	1.2510627654570841e-11	1.349004203360743	1.1905391109607772	NA	NA	NA	NA	NA	NA	NA	NA
UNLOADED	CROSS	3	6	1613	1614	3.118507919423618e-09	3.1205079194236183e-09	-0.15253044755011036	0.039978942604248724	3.1200925740467282e-09	NA	NA	6	1.2459972805191397e-11	1.3484337475251766	1.1897973406089999	NA	NA	NA	NA	NA	NA	NA	NA
UNLOADED	CROSS	4	8	1819	1820	3.518831199049247e-09	3.5208311990492474e-09	0.12185500976856622	-0.07387798917975452	3.5200763136739992e-09	NA	NA	8	1.2414431646788436e-11	1.3479095735278925	1.1897198621604266	NA	NA	NA	NA	NA	NA	NA	NA
UNLOADED	CROSS	5	10	2025	2026	3.9185972066407946e-09	3.920597206640794e-09	-0.14316470804933523	0.05006693548982932	3.920079000258311e-09	NA	NA	10	1.2447393500204886e-11	1.3481041347809972	1.1894441063450771	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	INTERVAL	0	0	1008	1063	2.0011186111766764e-09	2.1111186111766874e-09	NA	NA	NA	NA	1	NA	NA	NA	NA	56	0	1.2935546071477728	1.5359150515655042	0.2423604444177314	1.3737998804566103	1.4040521293397972	0.030252248883186894
LOADED	INTERVAL	1	1	1064	1163	2.1131186111766876e-09	2.3111186111767074e-09	NA	NA	NA	1	2	NA	NA	NA	NA	100	3	1.2935599663422872	1.5477169651288043	0.2541569987865171	1.3288295123381486	1.4683243737017926	0.13949486136364397
LOADED	INTERVAL	2	2	1164	1263	2.3131186111767076e-09	2.5111186111767274e-09	NA	NA	NA	2	3	NA	NA	NA	NA	100	2	1.29351196540346	1.5476828083178895	0.2541708429144296	1.3363081319423045	1.4740843176505187	0.13777618570821426
LOADED	INTERVAL	3	3	1264	1363	2.5131186111767276e-09	2.7111186111767474e-09	NA	NA	NA	3	4	NA	NA	NA	NA	100	3	1.293545731949178	1.5477062506435446	0.2541605186943665	1.3284052501269645	1.47014374586446	0.14173849573749542
LOADED	INTERVAL	4	4	1364	1463	2.7131186111767476e-09	2.9111186111767674e-09	NA	NA	NA	4	5	NA	NA	NA	NA	100	2	1.293484706478509	1.547709921215486	0.2542252147369768	1.335002998039768	1.4759226727885788	0.14091967474881084
LOADED	INTERVAL	5	5	1464	1563	2.9131186111767676e-09	3.1111186111767874e-09	NA	NA	NA	5	6	NA	NA	NA	NA	100	4	1.292759606834775	1.5476708079504446	0.25491120111566956	1.32735399130429	1.473538593266859	0.146184601962569
LOADED	INTERVAL	6	6	1564	1663	3.1131186111767876e-09	3.3111186111768074e-09	NA	NA	NA	6	7	NA	NA	NA	NA	100	3	1.289110158073035	1.5476791509247698	0.25856899285173474	1.3335524796150509	1.477306463888152	0.14375398427310104
LOADED	INTERVAL	7	7	1664	1763	3.3131186111768076e-09	3.5111186111768274e-09	NA	NA	NA	7	8	NA	NA	NA	NA	100	4	1.291402529115267	1.5478116060202585	0.2564090769049914	1.3287755824113456	1.4772016545061146	0.148426072094769
LOADED	INTERVAL	8	8	1764	1863	3.5131186111768276e-09	3.7111186111768473e-09	NA	NA	NA	8	9	NA	NA	NA	NA	100	3	1.2880455356184015	1.5476773843911453	0.2596318487727438	1.3351443692006733	1.4768246897408388	0.14168032054016555
