 time                   v(d)                   v(g)                  
 0.000000000000000e+00  1.251999999999922e+01  1.317954429682246e-11 
 1.000000000000000e-11  1.251999999999922e+01  1.312938655465452e-11 
 2.000000000000000e-11  1.251999999999922e+01  1.314478740384070e-11 
 4.000000000000000e-11  1.251999999999923e+01  1.336863768011218e-11 
 8.000000000000001e-11  1.251999999999922e+01  1.310701983430708e-11 
 1.600000000000000e-10  1.251999999999921e+01  1.284727375176590e-11 
 3.200000000000000e-10  1.251999999999922e+01  1.310778279081699e-11 
 6.400000000000001e-10  1.251999999999922e+01  1.319411860074286e-11 
 1.280000000000000e-09  1.251999999999922e+01  1.335465364656527e-11 
 2.280000000000000e-09  1.251999999999922e+01  1.317395488744807e-11 
 3.280000000000000e-09  1.251999999999922e+01  1.312396151601622e-11 
 4.280000000000000e-09  1.251999999999922e+01  1.314123390057340e-11 
 5.280000000000000e-09  1.251999999999922e+01  1.320752732373242e-11 
 6.280000000000000e-09  1.251999999999922e+01  1.320737515405600e-11 
 7.280000000000000e-09  1.251999999999922e+01  1.317433924154545e-11 
 8.280000000000000e-09  1.251999999999922e+01  1.316379232270738e-11 
 9.280000000000001e-09  1.251999999999922e+01  1.317757095372630e-11 
 1.028000000000000e-08  1.251999999999922e+01  1.318464090765890e-11 
 1.128000000000000e-08  1.251999999999922e+01  1.318112334235168e-11 
 1.228000000000000e-08  1.251999999999922e+01  1.317723136865441e-11 
 1.328000000000000e-08  1.251999999999922e+01  1.317851059715474e-11 
 1.428000000000000e-08  1.251999999999922e+01  1.317986154373131e-11 
 1.528000000000001e-08  1.251999999999922e+01  1.317991814160153e-11 
 1.628000000000000e-08  1.251999999999922e+01  1.317998650916185e-11 
 1.728000000000000e-08  1.251999999999922e+01  1.317956063663299e-11 
 1.828000000000000e-08  1.251999999999922e+01  1.317919603489618e-11 
 1.928000000000000e-08  1.251999999999922e+01  1.317977002686518e-11 
 2.028000000000000e-08  1.251999999999922e+01  1.317983871519559e-11 
 2.128000000000000e-08  1.251999999999922e+01  1.317949811039175e-11 
 2.228000000000000e-08  1.251999999999922e+01  1.317947030629638e-11 
 2.328000000000000e-08  1.251999999999922e+01  1.317961313682658e-11 
 2.428000000000000e-08  1.251999999999922e+01  1.317944439425212e-11 
 2.528000000000000e-08  1.251999999999922e+01  1.317988847726672e-11 
 2.627999999999999e-08  1.251999999999922e+01  1.317975296945424e-11 
 2.727999999999999e-08  1.251999999999922e+01  1.317924243845691e-11 
 2.827999999999999e-08  1.251999999999922e+01  1.317986467891526e-11 
 2.927999999999999e-08  1.251999999999922e+01  1.317977387669254e-11 
 3.027999999999999e-08  1.251999999999922e+01  1.317921184739054e-11 
 3.127999999999999e-08  1.251999999999922e+01  1.317958427526235e-11 
 3.228000000000000e-08  1.251999999999922e+01  1.317974701657397e-11 
 3.328000000000000e-08  1.251999999999922e+01  1.317981965627827e-11 
 3.428000000000000e-08  1.251999999999922e+01  1.317962497973371e-11 
 3.528000000000000e-08  1.251999999999922e+01  1.317970555644851e-11 
 3.628000000000000e-08  1.251999999999922e+01  1.317947314381916e-11 
 3.728000000000001e-08  1.251999999999922e+01  1.317987132046168e-11 
 3.828000000000001e-08  1.251999999999922e+01  1.317980128500568e-11 
 3.928000000000001e-08  1.251999999999922e+01  1.317971655235464e-11 
 4.028000000000001e-08  1.251999999999922e+01  1.317967165776415e-11 
 4.128000000000002e-08  1.251999999999922e+01  1.317963560521420e-11 
 4.228000000000002e-08  1.251999999999922e+01  1.317963627122620e-11 
 4.328000000000002e-08  1.251999999999922e+01  1.317990071521021e-11 
 4.428000000000002e-08  1.251999999999922e+01  1.317975028752587e-11 
 4.528000000000003e-08  1.251999999999922e+01  1.317979011294259e-11 
 4.628000000000003e-08  1.251999999999922e+01  1.317965907557548e-11 
 4.728000000000003e-08  1.251999999999922e+01  1.317957380450814e-11 
 4.828000000000003e-08  1.251999999999922e+01  1.317921297013437e-11 
 4.928000000000003e-08  1.251999999999922e+01  1.317951927962852e-11 
 5.028000000000004e-08  1.251999999999922e+01  1.317971775531823e-11 
 5.128000000000004e-08  1.251999999999922e+01  1.317971179460449e-11 
 5.228000000000004e-08  1.251999999999922e+01  1.317972797999487e-11 
 5.328000000000004e-08  1.251999999999922e+01  1.317987916519758e-11 
 5.428000000000005e-08  1.251999999999922e+01  1.317968214874459e-11 
 5.528000000000005e-08  1.251999999999922e+01  1.317981483201816e-11 
 5.628000000000005e-08  1.251999999999922e+01  1.317993524149727e-11 
 5.728000000000005e-08  1.251999999999922e+01  1.317979789657590e-11 
