 time                   v(fout)                v(vref)                i(vdd)                 i(vdd12)               v(en_in)               v(en)                  v(mode_in)             v(mode)                v(r4_in)               v(r4)                  v(xt2f.ca1)            v(xt2f.tail1)          v(xt2f.cb1)            v(xt2f.ca2)            v(xt2f.tail2)          v(xt2f.cb2)            v(xt2f.vth)           
 0.000000000000000e+00  6.761165843260020e-08  1.037450488324415e+00 -5.547884118808617e-05 -3.343488377057380e-10  0.000000000000000e+00  6.998932278363482e-10  0.000000000000000e+00  6.998931831769295e-10  0.000000000000000e+00  6.998931021342050e-10  1.156456128605457e+00  3.171294045686981e-01  1.331199076227542e+00  1.156456128605486e+00  3.171294045686936e-01  1.331199076227039e+00  1.037438078547172e+00 
 5.000000000000000e-11  6.761165681795801e-08  1.037450488324391e+00 -5.547884118790710e-05 -3.343488793631569e-10  0.000000000000000e+00  6.999008404124393e-10  0.000000000000000e+00  6.998962430774092e-10  0.000000000000000e+00  6.999021540826135e-10  1.156456128605474e+00  3.171294045686371e-01  1.331199076227386e+00  1.156456128605478e+00  3.171294045686343e-01  1.331199076226916e+00  1.037438078547142e+00 
 1.000000000000000e-10  6.761165852961427e-08  1.037450488324383e+00 -5.547884118746625e-05 -3.343488595167085e-10  0.000000000000000e+00  6.999057092357472e-10  0.000000000000000e+00  6.998997851569277e-10  0.000000000000000e+00  6.999044547596235e-10  1.156456128605466e+00  3.171294045685847e-01  1.331199076227231e+00  1.156456128605439e+00  3.171294045685752e-01  1.331199076226810e+00  1.037438078547130e+00 
 2.000000000000000e-10  6.761165828328822e-08  1.037450488324418e+00 -5.547884118843912e-05 -3.343488590764316e-10  0.000000000000000e+00  6.999045167099192e-10  0.000000000000000e+00  6.998972353009395e-10  0.000000000000000e+00  6.998973767083708e-10  1.156456128605515e+00  3.171294045685498e-01  1.331199076227106e+00  1.156456128605465e+00  3.171294045685473e-01  1.331199076226771e+00  1.037438078547185e+00 
 4.000000000000000e-10  6.761165981208179e-08  1.037450488324427e+00 -5.547884118796987e-05 -3.343487752313855e-10  0.000000000000000e+00  6.999050639796005e-10  0.000000000000000e+00  6.998946381823850e-10  0.000000000000000e+00  6.998915074070151e-10  1.156456128605720e+00  3.171294045684200e-01  1.331199076227157e+00  1.156456128605683e+00  3.171294045684134e-01  1.331199076226892e+00  1.037438078547192e+00 
 8.000000000000000e-10  6.761165683246064e-08  1.037450488324410e+00 -5.547884118623041e-05 -3.343489805473514e-10  0.000000000000000e+00  6.999067483283330e-10  0.000000000000000e+00  6.998929665488835e-10  0.000000000000000e+00  6.998936107050196e-10  1.156456128605931e+00  3.171294045681019e-01  1.331199076227009e+00  1.156456128605909e+00  3.171294045680926e-01  1.331199076226936e+00  1.037438078547162e+00 
 1.600000000000000e-09  6.761165954274431e-08  1.037450488324257e+00 -5.547884118876539e-05 -3.343488307929404e-10  0.000000000000000e+00  6.999003442188448e-10  0.000000000000000e+00  6.998883718415313e-10  0.000000000000000e+00  6.998879331109368e-10  1.156456128605797e+00  3.171294045673803e-01  1.331199076226576e+00  1.156456128605865e+00  3.171294045673758e-01  1.331199076226563e+00  1.037438078547005e+00 
 3.200000000000000e-09  6.761165786991580e-08  1.037450488324237e+00 -5.547884118870646e-05 -3.343489246436991e-10  0.000000000000000e+00  6.999061805538899e-10  0.000000000000000e+00  6.998976692957822e-10  0.000000000000000e+00  6.998982450594432e-10  1.156456128606452e+00  3.171294045662079e-01  1.331199076226988e+00  1.156456128606432e+00  3.171294045662045e-01  1.331199076226956e+00  1.037438078546988e+00 
 6.400000000000000e-09  6.761165859982158e-08  1.037450488324706e+00 -5.547884118750005e-05 -3.343488739380776e-10  0.000000000000000e+00  6.999024980161066e-10  0.000000000000000e+00  6.998919695493963e-10  0.000000000000000e+00  6.998915780089053e-10  1.156456128607139e+00  3.171294045649167e-01  1.331199076227914e+00  1.156456128607118e+00  3.171294045648948e-01  1.331199076227650e+00  1.037438078547464e+00 
 1.140000000000000e-08  6.761165853708185e-08  1.037450488324415e+00 -5.547884118800852e-05 -3.343488189930780e-10  0.000000000000000e+00  6.999031596897105e-10  0.000000000000000e+00  6.998914206064441e-10  0.000000000000000e+00  6.998912711919725e-10  1.156456128604993e+00  3.171294045627648e-01  1.331199076225325e+00  1.156456128604890e+00  3.171294045627380e-01  1.331199076225043e+00  1.037438078547161e+00 
 1.640000000000000e-08  6.761165830644961e-08  1.037450488325445e+00 -5.547884118796538e-05 -3.343488783832297e-10  0.000000000000000e+00  6.999041388989728e-10  0.000000000000000e+00  6.998937277311496e-10  0.000000000000000e+00  6.998929963753163e-10  1.156456128604254e+00  3.171294045624966e-01  1.331199076224297e+00  1.156456128604226e+00  3.171294045625027e-01  1.331199076224394e+00  1.037438078548200e+00 
 2.140000000000000e-08  6.761165842843906e-08  1.037450488327039e+00 -5.547884118822884e-05 -3.343488782474313e-10  0.000000000000000e+00  6.999036798063743e-10  0.000000000000000e+00  6.998934684003994e-10  0.000000000000000e+00  6.998927941654702e-10  1.156456128604598e+00  3.171294045632377e-01  1.331199076224774e+00  1.156456128604602e+00  3.171294045632143e-01  1.331199076224638e+00  1.037438078549800e+00 
 2.640000000000000e-08  6.761165852984350e-08  1.037450488329130e+00 -5.547884118813454e-05 -3.343488996876845e-10  0.000000000000000e+00  6.999038394176630e-10  0.000000000000000e+00  6.998944220715420e-10  0.000000000000000e+00  6.998934887178756e-10  1.156456128606365e+00  3.171294045647108e-01  1.331199076226628e+00  1.156456128606424e+00  3.171294045647086e-01  1.331199076226727e+00  1.037438078551897e+00 
 3.140000000000000e-08  6.761165842117659e-08  1.037450488330640e+00 -5.547884118821141e-05 -3.343488872465112e-10  0.000000000000000e+00  6.999036894007165e-10  0.000000000000000e+00  6.998943471496457e-10  0.000000000000000e+00  6.998926282300218e-10  1.156456128609305e+00  3.171294045659347e-01  1.331199076229429e+00  1.156456128609358e+00  3.171294045659254e-01  1.331199076229172e+00  1.037438078553406e+00 
 3.640000000000000e-08  6.761165851517194e-08  1.037450488331740e+00 -5.547884118810443e-05 -3.343488867857386e-10  0.000000000000000e+00  6.999036644549080e-10  0.000000000000000e+00  6.998943745749914e-10  0.000000000000000e+00  6.998933572695854e-10  1.156456128611586e+00  3.171294045668355e-01  1.331199076232029e+00  1.156456128611589e+00  3.171294045668259e-01  1.331199076231314e+00  1.037438078554507e+00 
 4.139999999999999e-08  6.761165837176356e-08  1.037450488333094e+00 -5.547884118810933e-05 -3.343489407791022e-10  0.000000000000000e+00  6.999038238127220e-10  0.000000000000000e+00  6.998947285662301e-10  0.000000000000000e+00  6.998927722624687e-10  1.156456128613405e+00  3.171294045679863e-01  1.331199076233619e+00  1.156456128613460e+00  3.171294045679739e-01  1.331199076233219e+00  1.037438078555871e+00 
