artifact	source_sha256	source_bytes	publication
p1_noise_gen.sch	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	1994	exact
p1_noise_gen.raw-generated.sym	deb10be881398d7bc748dd60f02bc1334e2f4b888863142a67178dc9a7fe78ad	971	exact
p1_noise_gen.sym	425204566fbeee8f4b799af22364f9c0783f71ae3e6008a7fd92d109498c178b	971	exact
p1_noise_gen_hier.sch	7458431702b2576742bc84d64aa58fb1301803219ae8524cdfc537f3c8b75af0	542	exact
p1_noise_gen_hier.spice	8a6d2525417d12a3f61939337784dd68674db9317f9236e27cd47b316f8b10b3	1154	path_comments_sanitized
openada-netlist-result.json	eb951034393e28e8ce7bef89195488d735833fbd1f9022cdce9b05f9efaa5be7	2231	public_projection
xschemrc	d6d8fa5157ad2072e6d1ce63bda5f5d593ef4eb84631f23eed5e9ae3886f18b5	19794	reused_from_comparator_package
