Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0,CTX_L8_6;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;0.998;
C2;CTX_L10_0,CTX_L8_6;CTX_L8_0;0.033;
C3;CTX_L10_0,CTX_L8_6;CTX_L8_1;0.031;
C4;CTX_L10_0,CTX_L8_6;CTX_L8_2;0.033;
C5;CTX_L10_0,CTX_L8_6;CTX_L8_3;0.031;
C6;CTX_L10_0,CTX_L8_6;CTX_L8_4;0.033;
C7;CTX_L10_0,CTX_L8_6;CTX_L8_5;0.031;
C8;CTX_L10_0,CTX_L8_6;FILL_L10_0;0.001;
C9;CTX_L10_0,CTX_L8_6;FILL_L10_1;0.027;
C10;CTX_L10_0,CTX_L8_6;FILL_L10_2;0.0;
C11;CTX_L10_0,CTX_L8_6;FILL_L30_0;0.155;
C12;CTX_L10_0,CTX_L8_6;FILL_L30_1;0.071;
C13;CTX_L10_0,CTX_L8_6;FILL_L30_2;0.07;
C14;CTX_L10_0,CTX_L8_6;FILL_L30_3;0.035;
C15;CTX_L10_0,CTX_L8_6;FILL_L30_4;0.06;
C16;CTX_L10_0,CTX_L8_6;FILL_L30_5;0.13;
C17;CTX_L10_0,CTX_L8_6;FILL_L30_7;0.027;
C18;CTX_L10_0,CTX_L8_6;FILL_L30_8;0.001;
C19;CTX_L10_0,CTX_L8_6;FILL_L50_0;0.019;
C20;CTX_L10_0,CTX_L8_6;FILL_L50_1;0.025;
C21;CTX_L10_0,CTX_L8_6;FILL_L50_2;0.024;
C22;CTX_L10_0,CTX_L8_6;FILL_L50_3;0.022;
C23;CTX_L10_0,CTX_L8_6;FILL_L50_4;0.026;
C24;CTX_L10_0,CTX_L8_6;FILL_L50_8;0.002;
C25;CTX_L10_0,CTX_L8_6;FILL_L8_0;0.002;
C26;CTX_L10_0,CTX_L8_6;FILL_L8_1;0.032;
C27;CTX_L10_0,CTX_L8_6;N;0.051;
C28;CTX_L10_0,CTX_L8_6;P;0.064;
C29;CTX_L10_0,CTX_L8_6;VSUBS;2.916;
C30;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L10_2,CTX_L8_8;1.622;
C31;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L10_4,CTX_L8_10;0.96;
C32;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_0;0.0;
C33;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_1;0.002;
C34;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_11;0.002;
C35;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_12;0.003;
C36;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_13;0.003;
C37;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_14;0.003;
C38;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_15;0.002;
C39;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_16;0.003;
C40;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_2;0.002;
C41;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_3;0.003;
C42;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_4;0.002;
C43;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_5;0.002;
C44;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L10_0;0.005;
C45;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L10_1;0.007;
C46;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L10_2;0.013;
C47;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L10_3;0.014;
C48;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L10_4;0.002;
C49;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L10_5;0.012;
C50;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L10_6;0.017;
C51;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L10_7;0.002;
C52;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L10_8;0.006;
C53;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L134_0;1.478;
C54;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L134_1;0.43;
C55;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L134_2;0.714;
C56;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L134_3;0.215;
C57;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_0;0.061;
C58;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_1;0.038;
C59;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_10;0.433;
C60;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_11;0.16;
C61;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_12;0.206;
C62;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_13;0.061;
C63;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_14;0.049;
C64;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_15;0.2;
C65;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_16;0.031;
C66;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_17;0.142;
C67;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_2;0.024;
C68;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_3;0.057;
C69;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_4;0.062;
C70;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_5;0.634;
C71;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;FILL_L30_6;0.137;
