deck,cap1_max,fout_hi,fout_lo,freq,i12_avg,i33_avg,t_a,t_b,t_half_a,vref_avg,vth_avg
supply_ptat_vdd3.0_T27,1.08422,1.21505,-0.00860119,1546834.0,-2.49078e-07,-6.28321e-05,5.78379e-06,1.61275e-05,3.22881e-07,1.03603,1.03602
supply_ptat_vdd3.3_T27,1.08604,1.21514,-0.00833215,1541823.0,-2.47856e-07,-6.38126e-05,5.79873e-06,1.61761e-05,3.23933e-07,1.03603,1.03602
supply_ptat_vdd3.6_T27,1.088,1.21549,-0.00860703,1536768.0,-2.4667e-07,-6.50055e-05,5.81407e-06,1.62255e-05,3.24974e-07,1.03604,1.03603
supply_ref_vdd3.0_T27,1.08592,1.21505,-0.00859254,1544134.0,-2.48544e-07,-6.28303e-05,5.80627e-06,1.61681e-05,3.23513e-07,1.03786,1.03761
supply_ref_vdd3.3_T27,1.08772,1.21474,-0.00830217,1539145.0,-2.47725e-07,-6.38032e-05,5.82097e-06,1.62163e-05,3.24555e-07,1.03786,1.03762
supply_ref_vdd3.6_T27,1.0897,1.21549,-0.00859896,1534107.0,-2.46547e-07,-6.49937e-05,5.83625e-06,1.62658e-05,3.25593e-07,1.03786,1.03763
