deck,cap1_max,fout_hi,fout_lo,freq,i12_avg,i33_avg,t_a,t_b,t_half_a,vref_avg,vth_avg
ftemp_ptat_T-40,1.08177,1.2188,-0.0101383,1202031.0,-1.934e-07,-5.02376e-05,7.16773e-06,2.04785e-05,4.15538e-07,1.03734,1.03734
ftemp_ptat_T100,1.08795,1.2125,-0.00667713,1906400.0,-3.10594e-07,-7.86069e-05,4.87376e-06,1.32665e-05,2.61964e-07,1.03187,1.03184
ftemp_ptat_T125,1.08819,1.21146,-0.00615072,2029848.0,-3.34396e-07,-8.36619e-05,4.63632e-06,1.25187e-05,2.46014e-07,1.02999,1.02995
ftemp_ptat_T175,1.09259,1.20853,-0.00478899,2283072.0,-4.06324e-07,-9.44495e-05,4.23e-06,1.12381e-05,2.18726e-07,1.03,1.02994
ftemp_ptat_T25,1.08601,1.21561,-0.00860462,1531684.0,-2.46206e-07,-6.34065e-05,5.83066e-06,1.62767e-05,3.26053e-07,1.03611,1.0361
ftemp_ptat_T27,1.08604,1.21514,-0.00833215,1541823.0,-2.47856e-07,-6.38126e-05,5.79873e-06,1.61761e-05,3.23933e-07,1.03603,1.03602
ftemp_ref_T-40,0.852789,1.21886,-0.0104654,1518829.0,-2.44263e-07,-4.62717e-05,5.88085e-06,1.64153e-05,3.28907e-07,1.03811,0.799868
ftemp_ref_T125,1.45303,1.21148,-0.00599502,1525897.0,-2.53171e-07,-8.33375e-05,5.86604e-06,1.63517e-05,3.27394e-07,1.03399,1.39409
ftemp_ref_T175,1.6584,1.20937,-0.0048343,1511786.0,-2.78833e-07,-9.37868e-05,5.9139e-06,1.64974e-05,3.30531e-07,1.0353,1.59338
ftemp_ref_T27,1.08772,1.21474,-0.00830217,1539145.0,-2.47725e-07,-6.38032e-05,5.82097e-06,1.62163e-05,3.24555e-07,1.03786,1.03762
