artifact	original_sha256	original_bytes	public_sha256	public_bytes	substitution
evidence/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-SYNTAX-V1.log	f0b679e574353cabed1d082908c13e731fbdc0624ce300540e80789fdaff012d	8723	61d147688c63d5f23c2dad02a78c06634b5ece232e42b31aef459217ecd69ebf	8715	private syntax root -> $MATCHED_SYNTAX_ROOT
evidence/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-OBJECT-V1.log	01518c6c0c7ba28943653115f1418bc55108b91a481df06361ba028482a4e2b2	5174	98c2381af56c4266c9489741439d3dcd6db6af7b20ba70037e7a7e1554d724a1	5165	private build root -> $MATCHED_BUILD_ROOT
evidence/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-LINK-V2.log	1ad6e203a00c960a5cf03ea1aeba124173b1055689cef6875f9f233d60660c59	4623	4d822e705ebce217a33abacc360781f7fcf7e4364b1e2964a3c48712c3dacc38	4614	private build root -> $MATCHED_BUILD_ROOT
evidence/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-LINK-V4.log	a42f1cc5ff7ad5247c2d560f44df24f624ac3dbbb2b78d70c2560bcb841b4d70	6799	137c9ec48f1409acd0d0edc75b2ab93603bf8120f36c33a60db25486aea1adb7	6790	private build root -> $MATCHED_BUILD_ROOT
evidence/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-INVOKE-V1.log	5ab0f7b506b6c6d722379db0ee8dfeabe984d764f319bb553f75d4170158e324	3102	46a7fc507707f3af87823a7465ef1d40b2def8f92da22f0bf9a468977ab7f7bb	3093	private build root -> $MATCHED_BUILD_ROOT
evidence/deck/tb_p1_cml_div2_front_tran_v5.cir	46e7f223c140769ddbb1f503200caf463bccb395c6f117c39873a600170076fa	1648	1d1f14d6aa7be5e7ecd3a338e0e92cf9a3707485d6e588ba762fce61c69736ce	1552	private PDK root -> $PDK_ROOT
evidence/deck/include_manifest.txt	32cc8891585e8e14666f1acdc0a32c55c7b59b4620b6a766cdea8d532d1cb6cf	5296	1950e38807554c871eed1db7247130b26c25df90a0b105bb40390e113de36913	4686	private PDK root -> $PDK_ROOT; executed deck/netlist paths -> package-relative paths
evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-APPLY-SYNTAX-V1.log	92a7a6860f00b2365143b42a1cacbe3a2320a57fa4ecd90feb3ed11033a7ba39	3214	9e454154f405a06e44628fb0e08272b63cb98598989c73c88f0a10d2d68aa250	3193	private scratch roots -> <build-scratch>
evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-APPLY-SYNTAX-V2.log	d77b15efba2f8020a885f314fd584308fa3adcacf6037b5565020b5c887b6993	3008	05a9537d7eec528a436acd66e2f30a74930b38e6818014f9029251e18cca06eb	2987	private scratch roots -> <build-scratch>
evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-APPLY-SYNTAX-V3.log	33101cece14cfb7b8587d098b7adb868bdb4847ea8027c11bdafdbc10eddb4b1	3025	b267757c88c543c4e8548720ad5c4a274d0bc9c3b1b5d89e1d5b99aba8ed0f8f	3004	private scratch roots -> <build-scratch>
evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-LINK-V2.log	f687da7eaf05fa3fc14410244f91b855b1083062cb1753ac8ba6b89e1b0ae0bd	4787	eb5bf251761e9c78020a27044892c923fc40046a8bbec61002889ba17cb0a1a3	4775	private scratch root -> <build-scratch>
evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-INVOKE-V1.log	d4fe7ff547987f805354070c022d2a45a3edce18719592991df2c09e2aef5f8f	2829	dffb1b3dba341fbe769902fbcdd219c2c58169f4968539f9ac02252aaea53dac	2817	private scratch root -> <build-scratch>
evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-RUNTIME-V2-PRE-HASHES.txt	da215b8ee4773088114fb41cd0bd7222757c97907753fd9b76786025b66e528a	7092	e99cdca2fdcd1fa312f53aed6cd38a90c18b3aa196a74ab27a7f0403e2698bc7	7068	private scratch root -> <build-scratch>
