# Logfile created on 2026-09-23 03:40:23 +0200 by logger.rb/v1.5.3
2026-09-23 03:40:23 +0200: Memory Usage (407440K) : Starting running IHP-SG13G2 KLayout DRC runset on ${BULK}/west-supply-build-20260923-r2/candidate_core.gds
2026-09-23 03:40:23 +0200: Memory Usage (407440K) : Ruby Version for klayout: 3.2.3
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : Loading database to memory is complete.
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : IHP-SG13G2 KLayout DRC runset output at: ${BULK}/west-supply-core-drc-20260923-r2/reports/candidate_core_placed_core_NOT_CONNECTED_FULLCHIP_main.lyrdb
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : Evaluate switches.
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : tables selected: main
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : KLayout will use 1 thread(s) in tiling mode.
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : deep mode is enabled.
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : FEOL enabled: true
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : BEOL enabled: true
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : OFFGRID enabled: true
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : ANGLE enabled: true
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : PIN enabled: true
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : FORBIDDEN enabled: true
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : RECOMMENDED enabled: true
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : PreCheck DRC enabled: false
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : CONNECTIVITY_RULES enabled: true.
2026-09-23 03:40:23 +0200: Memory Usage (417048K) : Read in polygons from layers.
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : activ_drw has 72882 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : activ_pin has 0 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : activ_mask has 308 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : activ_filler has 859 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : activ_nofill has 18 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : activ_opc has 0 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : activ_iopc has 0 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : activ_noqrc has 0 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : biwind_drw has 0 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : biwind_opc has 0 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : pemwind_drw has 0 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : gatpoly_drw has 80107 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : gatpoly_pin has 1730 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : gatpoly_filler has 859 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421536K) : gatpoly_nofill has 18 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421700K) : gatpoly_opc has 0 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421700K) : gatpoly_iopc has 0 polygons
2026-09-23 03:40:23 +0200: Memory Usage (421700K) : gatpoly_noqrc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (423544K) : cont_drw has 597441 polygons
2026-09-23 03:40:24 +0200: Memory Usage (423544K) : cont_opc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (423544K) : nsd_drw has 60 polygons
2026-09-23 03:40:24 +0200: Memory Usage (423544K) : nsd_block has 308 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424112K) : metal1_drw has 145471 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424112K) : metal1_pin has 51114 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424112K) : metal1_mask has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424112K) : metal1_filler has 1828 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424112K) : metal1_nofill has 18 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424112K) : metal1_slit has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : metal1_text has 41749 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : metal1_opc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : metal1_noqrc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : metal1_res has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : metal1_iprobe has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : metal1_diffprb has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : passiv_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : passiv_pin has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : passiv_sbump has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : passiv_pillar has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (424376K) : passiv_pdl has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_drw has 80166 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_pin has 658 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_mask has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_filler has 1897 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_nofill has 19 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_slit has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_text has 64 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_opc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_noqrc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_res has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_iprobe has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : metal2_diffprb has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : baspoly_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : baspoly_pin has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : psd_drw has 32006 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : nldb_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425332K) : digibnd_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : via1_drw has 40678 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_pin has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_mask has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_filler has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_nofill has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_slit has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_text has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_opc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_noqrc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_res has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_iprobe has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backmetal1_diffprb has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : backpassiv_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : res_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : sram_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : trans_drw has 308 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : ind_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : ind_pin has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : ind_text has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (425596K) : salblock_drw has 2003 polygons
2026-09-23 03:40:24 +0200: Memory Usage (426388K) : via2_drw has 28537 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_drw has 41253 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_pin has 102 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_mask has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_filler has 1119 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_nofill has 27 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_slit has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_text has 138 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_opc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_noqrc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_res has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_iprobe has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal3_diffprb has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : nwell_drw has 13406 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : nwell_pin has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : nbulay_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : nbulay_pin has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : nbulay_block has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : emwind_drw has 308 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : emwind_opc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : deepco_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : deepco_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : mim_drw has 19 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : edgeseal_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : edgeseal_bound has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : substrate_drw has 461 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : substrate_text has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : dfpad_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : dfpad_pillar has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : dfpad_sbump has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : thickgateox_drw has 2021 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : pldb_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : pwell_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : pwell_pin has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : pwell_block has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : ic_drw has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : via3_drw has 8790 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_drw has 7584 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_pin has 13 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_mask has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_filler has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_nofill has 22 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_slit has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_text has 17 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_opc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_noqrc has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_res has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_iprobe has 0 polygons
2026-09-23 03:40:24 +0200: Memory Usage (427180K) : metal4_diffprb has 0 polygons
