 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 0.000000000000000e+00  6.076933391549481e-01  6.214994930869080e-01  9.900000001483071e-01  1.010000000116752e+00  0.000000000000000e+00 
 2.000000000000000e-12  6.076933391549506e-01  6.214994930869104e-01  9.900000001483025e-01  1.010000000116747e+00  0.000000000000000e+00 
 4.000000000000001e-12  6.076933391549546e-01  6.214994930869145e-01  9.900000001483016e-01  1.010000000116746e+00  0.000000000000000e+00 
 8.000000000000001e-12  6.076933391549647e-01  6.214994930869251e-01  9.900000001483076e-01  1.010000000116751e+00  0.000000000000000e+00 
 1.600000000000000e-11  6.076933391549876e-01  6.214994930869692e-01  9.900000001483574e-01  1.010000000116801e+00  0.000000000000000e+00 
 3.200000000000001e-11  6.076933391549825e-01  6.214994930870616e-01  9.900000001485499e-01  1.010000000116993e+00  0.000000000000000e+00 
 6.400000000000001e-11  6.076933391548942e-01  6.214994930871720e-01  9.900000001490773e-01  1.010000000117521e+00  0.000000000000000e+00 
 1.280000000000000e-10  6.076933391541942e-01  6.214994930877791e-01  9.900000001502025e-01  1.010000000118651e+00  0.000000000000000e+00 
 2.560000000000000e-10  6.076933391615212e-01  6.214994930800737e-01  9.900000001522680e-01  1.010000000120717e+00  0.000000000000000e+00 
 5.120000000000001e-10  6.076933391398948e-01  6.214994931021349e-01  9.900000001557046e-01  1.010000000124142e+00  0.000000000000000e+00 
 1.024000000000000e-09  6.076933391770716e-01  6.214994930643568e-01  9.900000001604906e-01  1.010000000128943e+00  0.000000000000000e+00 
 2.024000000000000e-09  6.076933391279756e-01  6.214994931144945e-01  9.900000001651583e-01  1.010000000133658e+00  0.000000000000000e+00 
 3.024000000000000e-09  6.076933391877849e-01  6.214994930534058e-01  9.900000001667376e-01  1.010000000135263e+00  0.000000000000000e+00 
 4.024000000000000e-09  6.076933391149562e-01  6.214994931278570e-01  9.900000001672892e-01  1.010000000135799e+00  0.000000000000000e+00 
 5.024000000000000e-09  6.076933392039199e-01  6.214994930371543e-01  9.900000001674696e-01  1.010000000135972e+00  0.000000000000000e+00 
