deck,cap1_max,fout_hi,fout_lo,freq,i12_avg,i33_avg,t_a,t_b,t_half_a,vref_avg,vth_avg
corners_ptat_hbt_bcs_mos_ff_res_bcs_cap_typ_T-40,1.06955,1.21715,-0.0101269,1427098.0,-1.55849e-07,-5.66826e-05,6.19726e-06,1.74088e-05,3.50232e-07,1.03565,1.03565
corners_ptat_hbt_bcs_mos_ff_res_bcs_cap_typ_T175,1.07796,1.20931,-0.00505027,2720396.0,-4.20978e-07,-0.000107459,3.71073e-06,9.59223e-06,1.83711e-07,1.02902,1.02899
corners_ptat_hbt_bcs_mos_ff_res_bcs_cap_typ_T27,1.07287,1.21603,-0.00947549,1833513.0,-2.01431e-07,-7.22835e-05,5.03616e-06,1.37626e-05,2.72591e-07,1.03448,1.03447
corners_ptat_hbt_bcs_mos_ff_res_wcs_cap_typ_T27,1.06526,1.21624,-0.00948296,1425186.0,-1.56709e-07,-5.56287e-05,6.19224e-06,1.74188e-05,3.50727e-07,1.02784,1.02784
corners_ptat_hbt_bcs_mos_ss_res_bcs_cap_typ_T27,1.07276,1.21838,-0.0134687,1835220.0,-1.96963e-07,-7.13588e-05,5.03581e-06,1.37541e-05,2.72296e-07,1.03441,1.0344
corners_ptat_hbt_bcs_mos_ss_res_wcs_cap_typ_T27,1.06506,1.2192,-0.0133214,1426785.0,-1.53347e-07,-5.47757e-05,6.19078e-06,1.74048e-05,3.50258e-07,1.02777,1.02777
corners_ptat_hbt_typ_mos_tt_res_typ_cap_bcs_T27,1.0768,1.21807,-0.0110087,1769607.0,-1.91073e-07,-6.27364e-05,5.17871e-06,1.42203e-05,2.8241e-07,1.03602,1.036
corners_ptat_hbt_typ_mos_tt_res_typ_cap_typ_T27,1.07417,1.21803,-0.0107912,1600285.0,-1.72797e-07,-6.24994e-05,5.62636e-06,1.56246e-05,3.12313e-07,1.03602,1.036
corners_ptat_hbt_typ_mos_tt_res_typ_cap_wcs_T27,1.07191,1.21807,-0.011023,1460654.0,-1.57775e-07,-6.23038e-05,6.07366e-06,1.70277e-05,3.42192e-07,1.03602,1.036
corners_ptat_hbt_wcs_mos_ff_res_bcs_cap_typ_T27,1.08467,1.21622,-0.00947107,1807771.0,-1.98462e-07,-7.20527e-05,5.09408e-06,1.39448e-05,2.76474e-07,1.04552,1.04549
corners_ptat_hbt_wcs_mos_ff_res_wcs_cap_typ_T27,1.07695,1.21618,-0.00948522,1404806.0,-1.54863e-07,-5.54251e-05,6.26825e-06,1.76577e-05,3.55795e-07,1.03873,1.03871
corners_ptat_hbt_wcs_mos_ss_res_bcs_cap_typ_T27,1.08458,1.21947,-0.0134869,1809431.0,-1.94406e-07,-7.11406e-05,5.09378e-06,1.39363e-05,2.7615e-07,1.04546,1.04543
corners_ptat_hbt_wcs_mos_ss_res_wcs_cap_typ_T-40,1.07392,1.2234,-0.0164469,1096205.0,-1.18363e-07,-4.27071e-05,7.77116e-06,2.2367e-05,4.55962e-07,1.04018,1.04017
corners_ptat_hbt_wcs_mos_ss_res_wcs_cap_typ_T175,1.08026,1.21141,-0.00728362,2086352.0,-2.36804e-07,-8.12344e-05,4.53763e-06,1.22065e-05,2.39544e-07,1.03146,1.03136
corners_ptat_hbt_wcs_mos_ss_res_wcs_cap_typ_T27,1.07674,1.21951,-0.0134925,1406291.0,-1.51114e-07,-5.45848e-05,6.26674e-06,1.76442e-05,3.55386e-07,1.03867,1.03865
corners_ref_hbt_bcs_mos_ff_res_bcs_cap_typ_T27,1.05102,1.21548,-0.00945669,1871015.0,-2.0563e-07,-7.22704e-05,4.96725e-06,1.35188e-05,2.67121e-07,1.03548,1.01276
corners_ref_hbt_typ_mos_tt_res_typ_cap_bcs_T27,1.07852,1.21774,-0.0110083,1766845.0,-1.90805e-07,-6.27213e-05,5.19962e-06,1.42553e-05,2.82854e-07,1.03786,1.03759
corners_ref_hbt_typ_mos_tt_res_typ_cap_wcs_T27,1.07349,1.21807,-0.0110053,1458519.0,-1.57569e-07,-6.22929e-05,6.09302e-06,1.70631e-05,3.4271e-07,1.03786,1.03759
corners_ref_hbt_wcs_mos_ss_res_wcs_cap_typ_T27,1.10241,1.21952,-0.0134797,1373888.0,-1.47666e-07,-5.4577e-05,6.40557e-06,1.80514e-05,3.63802e-07,1.04193,1.06408
