deck,cap1_max,freq,i33_avg,t_a,t_b,vce_bgr_q1_max,vce_bgr_q2_max,vce_bgr_q3_max,vce_bgr_qd1_max,vce_bgr_qd2_max,vce_qa1_max,vce_qa1_min,vce_qa2_max,vce_qa2_min,vce_qb1_max,vce_qb1_min,vce_qb2_max,vce_qb2_min,vref_avg,vth_avg
vce_ptat_vdd3.0_T-40,1.06984,1249275.0,-4.82611e-05,6.93952e-06,1.97469e-05,0.786606,0.828679,0.784643,0.784867,0.784867,0.910669,0.815325,0.906896,0.813836,1.03392,0.78683,1.03583,0.786145,1.03734,1.03733
vce_ptat_vdd3.3_T27,1.07441,1600071.0,-6.24722e-05,5.62702e-06,1.56266e-05,0.709936,0.760495,0.708003,0.708345,0.708345,0.893065,0.787936,0.88626,0.786252,1.05058,0.756905,1.05316,0.756135,1.03603,1.03601
vce_ptat_vdd3.6_T175,1.08037,2368613.0,-9.37719e-05,4.11434e-06,1.08694e-05,0.528791,0.609906,0.526255,0.526509,0.526483,0.84046,0.700344,0.826922,0.697375,1.09191,0.641839,1.098,0.63721,1.02997,1.02992
vce_ref_vdd3.0_T-40,0.839546,1587781.0,-4.23569e-05,5.67304e-06,1.575e-05,0.786681,0.828527,0.78475,0.784854,0.784854,0.998414,0.918748,0.998379,0.918837,1.06006,0.853165,1.06171,0.853033,1.03811,0.799862
vce_ref_vdd3.3_T27,1.07608,1597608.0,-6.24594e-05,5.64722e-06,1.56622e-05,0.709991,0.760397,0.708124,0.708336,0.708336,0.894337,0.789711,0.89313,0.787827,1.06864,0.754456,1.06329,0.753472,1.03786,1.03761
vce_ref_vdd3.6_T175,1.64571,1561589.0,-9.34968e-05,5.75676e-06,1.60027e-05,0.528829,0.609156,0.526627,0.526409,0.526383,0.71711,0.545132,0.716691,0.54107,1.00582,0.244502,1.0139,0.231377,1.0353,1.59338
