deck,cap1_max,fout_hi,fout_lo,freq,i12_avg,i33_avg,t_a,t_b,t_half_a,vref_avg,vth_avg
ftemp_ptat_T-10,1.07273,1.21826,-0.0119943,1405232.0,-1.51471e-07,-5.50072e-05,6.27473e-06,1.76608e-05,3.55674e-07,1.03708,1.03707
ftemp_ptat_T-25,1.07181,1.21888,-0.0121929,1325951.0,-1.42953e-07,-5.19806e-05,6.59308e-06,1.86599e-05,3.76959e-07,1.03728,1.03727
ftemp_ptat_T-40,1.071,1.22053,-0.0133299,1246321.0,-1.34907e-07,-4.89557e-05,6.95337e-06,1.97912e-05,4.01035e-07,1.03733,1.03733
ftemp_ptat_T100,1.07501,1.21425,-0.00785607,1981050.0,-2.18913e-07,-7.72396e-05,4.72981e-06,1.28063e-05,2.52275e-07,1.03183,1.0318
ftemp_ptat_T110,1.07491,1.21243,-0.00688475,2032709.0,-2.25108e-07,-7.92529e-05,4.63413e-06,1.25054e-05,2.45859e-07,1.03109,1.03106
ftemp_ptat_T125,1.0749,1.2127,-0.00801428,2109987.0,-2.36047e-07,-8.22681e-05,4.49977e-06,1.20828e-05,2.36863e-07,1.02995,1.02991
ftemp_ptat_T140,1.07474,1.21275,-0.00770025,2187527.0,-2.48725e-07,-8.53059e-05,4.37471e-06,1.16889e-05,2.28479e-07,1.0289,1.02886
ftemp_ptat_T150,1.07509,1.21179,-0.00748342,2239479.0,-2.59258e-07,-8.73653e-05,4.29574e-06,1.14403e-05,2.23156e-07,1.0284,1.02836
ftemp_ptat_T155,1.07543,1.21227,-0.0073452,2265587.0,-2.65326e-07,-8.84174e-05,4.25741e-06,1.13196e-05,2.20572e-07,1.02828,1.02823
ftemp_ptat_T170,1.07731,1.21127,-0.00562122,2346473.0,-2.85477e-07,-9.17641e-05,4.14424e-06,1.0963e-05,2.12981e-07,1.02904,1.02899
ftemp_ptat_T175,1.07854,1.21159,-0.0060392,2374902.0,-2.94744e-07,-9.29897e-05,4.10642e-06,1.08435e-05,2.10441e-07,1.02995,1.0299
ftemp_ptat_T20,1.07395,1.21792,-0.0112285,1563478.0,-1.69428e-07,-6.10807e-05,5.73626e-06,1.59699e-05,3.19662e-07,1.03628,1.03627
ftemp_ptat_T25,1.07406,1.21808,-0.0110307,1589810.0,-1.72593e-07,-6.20943e-05,5.65721e-06,1.57213e-05,3.14366e-07,1.03609,1.03608
ftemp_ptat_T35,1.07432,1.21704,-0.00891674,1642358.0,-1.77619e-07,-6.4119e-05,5.50687e-06,1.5249e-05,3.04299e-07,1.03569,1.03567
ftemp_ptat_T5,1.07334,1.21795,-0.0115758,1484650.0,-1.60064e-07,-5.8046e-05,5.99024e-06,1.67672e-05,3.36612e-07,1.03674,1.03674
ftemp_ptat_T50,1.07468,1.2155,-0.00988005,1720861.0,-1.86814e-07,-6.71492e-05,5.29929e-06,1.4597e-05,2.90422e-07,1.03497,1.03496
ftemp_ptat_T65,1.07486,1.21615,-0.00989893,1799345.0,-1.94826e-07,-7.01871e-05,5.11012e-06,1.40023e-05,2.77756e-07,1.03415,1.03413
ftemp_ptat_T80,1.07499,1.2156,-0.00944467,1877309.0,-2.04777e-07,-7.32103e-05,4.93782e-06,1.34607e-05,2.66218e-07,1.03322,1.0332
ftemp_ptat_T95,1.07502,1.21431,-0.00912012,1955146.0,-2.1444e-07,-7.62342e-05,4.7796e-06,1.29631e-05,2.55614e-07,1.03219,1.03217
ftemp_ref_T-10,0.941661,1.21956,-0.0122875,1598444.0,-1.72311e-07,-5.4831e-05,5.64433e-06,1.56541e-05,3.12689e-07,1.03828,0.905542
ftemp_ref_T-40,0.840868,1.22053,-0.0134093,1582666.0,-1.70609e-07,-4.36733e-05,5.68786e-06,1.57974e-05,3.1577e-07,1.03811,0.799865
ftemp_ref_T100,1.34567,1.21448,-0.00865544,1586118.0,-1.75861e-07,-7.72457e-05,5.68201e-06,1.57695e-05,3.15114e-07,1.03527,1.30195
ftemp_ref_T125,1.44015,1.21337,-0.00813668,1579338.0,-1.77983e-07,-8.22575e-05,5.70267e-06,1.58335e-05,3.16498e-07,1.03399,1.39404
ftemp_ref_T150,1.53723,1.20997,-0.00733247,1571440.0,-1.85346e-07,-8.72954e-05,5.72709e-06,1.59088e-05,3.18108e-07,1.03307,1.48849
ftemp_ref_T175,1.64519,1.21118,-0.00645741,1562772.0,-2.03281e-07,-9.27861e-05,5.75456e-06,1.59928e-05,3.19908e-07,1.0353,1.59332
ftemp_ref_T25,1.06854,1.21802,-0.011073,1597965.0,-1.72595e-07,-6.20836e-05,5.64607e-06,1.56588e-05,3.12768e-07,1.0379,1.03042
ftemp_ref_T50,1.16005,1.21684,-0.0102336,1595533.0,-1.72822e-07,-6.71374e-05,5.6536e-06,1.56816e-05,3.13248e-07,1.03728,1.12031
ftemp_ref_T65,1.21533,1.21559,-0.00969359,1593287.0,-1.7332e-07,-7.01697e-05,5.66038e-06,1.57025e-05,3.13678e-07,1.03678,1.17453
