 frequency                ir                       ii                       vr                       vi                      
 1.00000000000000000e+00  2.77561177167151563e-15  1.33722102131570485e-14  1.39881538045971698e-03  9.96896747732808111e-07 
 1.02329299228075410e+00  2.78362131522075229e-15  1.36836890035761620e-14  1.39881538049602128e-03  1.02011745598243443e-06 
 1.04712854805089939e+00  2.78253711304826679e-15  1.40024230547049821e-14  1.39881538053499010e-03  1.04387904401006982e-06 
 1.07151930523760619e+00  2.78347223742203553e-15  1.43285814025560454e-14  1.39881538057540222e-03  1.06819411052421071e-06 
 1.09647819614318465e+00  2.77608611012197803e-15  1.46623369212599305e-14  1.39881538061814581e-03  1.09307554769496712e-06 
 1.12201845430196312e+00  2.79266085083385018e-15  1.50038666274677238e-14  1.39881538066233269e-03  1.11853654798967634e-06 
 1.14815362149688238e+00  2.78551866902260192e-15  1.53533515744719008e-14  1.39881538070907308e-03  1.14459061116770718e-06 
 1.17489755493952908e+00  2.78543735385966551e-15  1.57109770904343430e-14  1.39881538075792289e-03  1.17125155143822480e-06 
 1.20226443461741250e+00  2.78584392967434757e-15  1.60769327519165575e-14  1.39881538080866008e-03  1.19853350478465874e-06 
 1.23026877081238117e+00  2.77792925381520339e-15  1.64514126221076943e-14  1.39881538086183976e-03  1.22645093645979122e-06 
 1.25892541179416684e+00  2.77985371267136516e-15  1.68346152640594355e-14  1.39881538091823909e-03  1.25501864865542810e-06 
 1.28824955169313360e+00  2.77496125036802432e-15  1.72267438200953343e-14  1.39881538097663682e-03  1.28425178835071437e-06 
 1.31825673855640679e+00  2.77989437025283337e-15  1.76280062368039416e-14  1.39881538103814318e-03  1.31416585534326028e-06 
 1.34896288259165331e+00  2.77650623846381617e-15  1.80386152518039163e-14  1.39881538110231407e-03  1.34477671046734771e-06 
 1.38038426460288455e+00  2.79102099504796586e-15  1.84587885525627028e-14  1.39881538116937154e-03  1.37610058400354340e-06 
 1.41253754462275394e+00  2.77146469836175857e-15  1.88887489881547677e-14  1.39881538123998173e-03  1.40815408428421599e-06 
 1.44543977074592700e+00  2.78142580582146914e-15  1.93287244633824816e-14  1.39881538131436667e-03  1.44095420649949168e-06 
 1.47910838816820678e+00  2.76918787379953901e-15  1.97789483093530335e-14  1.39881538139119410e-03  1.47451834170833381e-06 
 1.51356124843620754e+00  2.77913542873209352e-15  2.02396591908342020e-14  1.39881538147168527e-03  1.50886428605949867e-06 
 1.54881661891248057e+00  2.78126317549559632e-15  2.07111014371266007e-14  1.39881538155661733e-03  1.54401025022730539e-06 
 1.58489319246111271e+00  2.76974352741293783e-15  2.11935249494194492e-14  1.39881538164532415e-03  1.57997486906716560e-06 
