 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 0.000000000000000e+00  6.170240450363208e-01  6.170240450363037e-01  7.490000009360177e-01  7.510000009249355e-01  0.000000000000000e+00 
 2.000000000000000e-12  6.170240450363305e-01  6.170240450363134e-01  7.490000009360174e-01  7.510000009249351e-01  0.000000000000000e+00 
 4.000000000000001e-12  6.170240450363396e-01  6.170240450363221e-01  7.490000009360173e-01  7.510000009249348e-01  0.000000000000000e+00 
 8.000000000000001e-12  6.170240450363571e-01  6.170240450363392e-01  7.490000009360170e-01  7.510000009249342e-01  0.000000000000000e+00 
 1.600000000000000e-11  6.170240450363877e-01  6.170240450363711e-01  7.490000009360166e-01  7.510000009249341e-01  0.000000000000000e+00 
 3.200000000000001e-11  6.170240450364390e-01  6.170240450364169e-01  7.490000009360166e-01  7.510000009249337e-01  0.000000000000000e+00 
 6.400000000000001e-11  6.170240450364780e-01  6.170240450364385e-01  7.490000009360168e-01  7.510000009249329e-01  0.000000000000000e+00 
 1.280000000000000e-10  6.170240450365891e-01  6.170240450364928e-01  7.490000009360159e-01  7.510000009249337e-01  0.000000000000000e+00 
 2.280000000000000e-10  6.170240450369481e-01  6.170240450361577e-01  7.490000009360155e-01  7.510000009249355e-01  0.000000000000000e+00 
 3.280000000000001e-10  6.170240450385948e-01  6.170240450342447e-01  7.490000009360139e-01  7.510000009249401e-01  0.000000000000000e+00 
 4.280000000000001e-10  6.170240450470770e-01  6.170240450255944e-01  7.490000009360123e-01  7.510000009249440e-01  0.000000000000000e+00 
 5.280000000000000e-10  6.170240450878463e-01  6.170240449845701e-01  7.490000009360078e-01  7.510000009249439e-01  0.000000000000000e+00 
 6.280000000000000e-10  6.170240452826901e-01  6.170240447880613e-01  7.490000009359918e-01  7.510000009249258e-01  0.000000000000000e+00 
 7.280000000000000e-10  6.170240462147848e-01  6.170240438475249e-01  7.490000009359201e-01  7.510000009248294e-01  0.000000000000000e+00 
 8.279999999999999e-10  6.170240506760692e-01  6.170240393465785e-01  7.490000009355783e-01  7.510000009243645e-01  0.000000000000000e+00 
 9.279999999999999e-10  6.170240720273794e-01  6.170240178056179e-01  7.490000009339408e-01  7.510000009221444e-01  0.000000000000000e+00 
 1.028000000000000e-09  6.170241742115915e-01  6.170239147128814e-01  7.490000009261139e-01  7.510000009115424e-01  0.000000000000000e+00 
 1.128000000000000e-09  6.170246632539856e-01  6.170234213210426e-01  7.490000008886630e-01  7.510000008608123e-01  0.000000000000000e+00 
 1.228000000000000e-09  6.170270037594242e-01  6.170210599972796e-01  7.490000007094140e-01  7.510000006180143e-01  0.000000000000000e+00 
 1.328000000000000e-09  6.170382051531627e-01  6.170097589243634e-01  7.489999998515313e-01  7.509999994560090e-01  0.000000000000000e+00 
 1.428000000000000e-09  6.170918133334904e-01  6.169556726504819e-01  7.489999957456976e-01  7.509999938946968e-01  0.000000000000000e+00 
 1.528000000000000e-09  6.173483386583198e-01  6.166967845323251e-01  7.489999760888266e-01  7.509999672725883e-01  0.000000000000000e+00 
 1.628000000000000e-09  6.185752962142687e-01  6.154570594836986e-01  7.489998818836283e-01  7.509998397430018e-01  0.000000000000000e+00 
 1.728000000000000e-09  6.244299201704627e-01  6.095079401702612e-01  7.489994280831447e-01  7.509992267072745e-01  0.000000000000000e+00 
 1.780723632196757e-09  6.321908287757031e-01  6.015532452362753e-01  7.489988169317623e-01  7.509984040267407e-01  0.000000000000000e+00 
 1.810934630092860e-09  6.396065307112910e-01  5.938759920748092e-01  7.489982223592556e-01  7.509976068380505e-01  0.000000000000000e+00 
 1.846522624826008e-09  6.531313917170252e-01  5.796578564641468e-01  7.489971091913873e-01  7.509961227302223e-01  0.000000000000000e+00 
