phase_ps,chunk0_rho,chunk1_rho,chunk2_rho,chunk3_rho,rho_mean,p1_mean,pooled_N,se
0,-0.038549964979,0.157134494425,0.182013051754,0.086225348725,0.096705732481,0.454545454545,880,0.033709993123
10,0.061068312423,0.242718080042,0.275766986637,0.193537496986,0.193272719022,0.438636363636,880,0.033709993123
20,0.301108204346,0.370522466040,0.366282855076,0.297118221357,0.333757936705,0.420454545455,880,0.033709993123
30,0.483942168793,0.512271723861,0.585115746323,0.500413223140,0.520435715529,0.412500000000,880,0.033709993123
40,0.589027603715,0.540009510597,0.585497835498,0.610606060606,0.581285252604,0.414772727273,880,0.033709993123
50,0.582694300941,0.501688311688,0.594901918031,0.611212121212,0.572624162968,0.411363636364,880,0.033709993123
60,0.378171828172,0.328856808802,0.520187309993,0.407523039022,0.408684746497,0.410227272727,880,0.033709993123
70,0.150446501855,0.218510338171,0.304272524267,0.286914139724,0.240035876004,0.392045454545,880,0.033709993123
80,-0.033279401789,0.165384615385,0.156926406926,0.076582506898,0.091403531855,0.440909090909,880,0.033709993123
90,-0.072793282368,0.129678010219,0.156070653484,0.022727272727,0.058920663516,0.456818181818,880,0.033709993123
100,-0.117903525046,0.118691112809,0.137834579214,0.004462803087,0.035771242516,0.462500000000,880,0.033709993123
110,-0.134113865932,0.118691112809,0.120487483531,0.004462803087,0.027381883374,0.462500000000,880,0.033709993123
120,-0.134113865932,0.118691112809,0.120487483531,0.004462803087,0.027381883374,0.462500000000,880,0.033709993123
130,-0.134113865932,0.118691112809,0.120487483531,0.004462803087,0.027381883374,0.462500000000,880,0.033709993123
140,-0.134113865932,0.118691112809,0.120487483531,0.004462803087,0.027381883374,0.462500000000,880,0.033709993123
150,-0.134113865932,0.118691112809,0.120487483531,0.004462803087,0.027381883374,0.462500000000,880,0.033709993123
160,-0.134113865932,0.118691112809,0.120487483531,0.004462803087,0.027381883374,0.462500000000,880,0.033709993123
170,-0.117903525046,0.118691112809,0.137834579214,0.004462803087,0.035771242516,0.462500000000,880,0.033709993123
180,-0.101816124534,0.118691112809,0.137834579214,0.022727272727,0.044359210054,0.462500000000,880,0.033709993123
190,-0.085844330401,0.133909626562,0.137834579214,0.077196086829,0.065773990551,0.459090909091,880,0.033709993123
