axis,gradient_ppm_per_um,vref_V,common_mode_V,differential_V,R2N_R1N,R2P_R1P,pedestal_fraction,output_V,output_error_V,input_referred_error_uV
x,-10,1.0,-0.1,0.0,19.999750003124962,20.00025000312504,0.9622645692370863,0.9622392775246242,-2.487341877199789e-05,-1.2436709385998945
x,-10,1.0,-0.1,0.05,19.999750003124962,20.00025000312504,0.9622645692370863,1.9622273729118818,-3.6778031514472787e-05,-1.8389015757236393
x,-10,1.0,0.0,0.0,19.999750003124962,20.00025000312504,0.9622645692370863,0.9622416584486614,-2.2492494734849267e-05,-1.1246247367424633
x,-10,1.0,0.0,0.05,19.999750003124962,20.00025000312504,0.9622645692370863,1.9622297538359188,-3.4397107477435185e-05,-1.7198553738717592
x,-10,1.0,0.3,0.0,19.999750003124962,20.00025000312504,0.9622645692370863,0.9622488012207713,-1.5349722624957707e-05,-0.7674861312478853
x,-10,1.0,0.3,0.05,19.999750003124962,20.00025000312504,0.9622645692370863,1.9622368966080304,-2.725433536587829e-05,-1.3627167682939145
x,-10,1.04,-0.1,0.0,19.999750003124962,20.00025000312504,0.9622645692370863,1.000728943862571,-2.5773118561112085e-05,-1.2886559280556042
x,-10,1.04,-0.1,0.05,19.999750003124962,20.00025000312504,0.9622645692370863,2.000717039249828,-3.7677731303809026e-05,-1.8838865651904513
x,-10,1.04,0.0,0.0,19.999750003124962,20.00025000312504,0.9622645692370863,1.0007313247866079,-2.3392194524296528e-05,-1.1696097262148264
x,-10,1.04,0.0,0.05,19.999750003124962,20.00025000312504,0.9622645692370863,2.0007194201738656,-3.5296807266327335e-05,-1.7648403633163667
x,-10,1.04,0.3,0.0,19.999750003124962,20.00025000312504,0.9622645692370863,1.000738467558718,-1.62494224140719e-05,-0.8124711207035951
x,-10,1.04,0.3,0.05,19.999750003124962,20.00025000312504,0.9622645692370863,2.000726562945977,-2.815403515477044e-05,-1.407701757738522
x,-1,1.0,-0.1,0.0,19.999975000031256,20.00002500003125,0.9622641927731825,0.9622616635757348,-2.4873676613967888e-06,-0.12436838306983944
x,-1,1.0,-0.1,0.05,19.999975000031256,20.00002500003125,0.9622641927731825,1.9622604731010358,-3.6778423604388877e-06,-0.18389211802194438
x,-1,1.0,0.0,0.0,19.999975000031256,20.00002500003125,0.9622641927731825,0.9622619016706895,-2.2492727067557894e-06,-0.11246363533778947
