 frequency                ir                       ii                       vr                       vi                      
 1.00000000000000000e+00  1.81322648952833565e-15  8.93912557467328988e-15  9.02386960476064814e-04  4.84467659856802388e-07 
 1.02329299228075410e+00  1.80638923957809894e-15  9.14734457696099148e-15  9.02386960482171041e-04  4.95752361318121504e-07 
 1.04712854805089939e+00  1.80518306466120881e-15  9.36041359064299769e-15  9.02386960489387491e-04  5.07299917243469152e-07 
 1.07151930523760619e+00  1.80539990509570591e-15  9.57844564167820777e-15  9.02386960496714963e-04  5.19116450299846903e-07 
 1.09647819614318465e+00  1.80640279210525501e-15  9.80155629712436272e-15  9.02386960504486524e-04  5.31208225769492345e-07 
 1.12201845430196312e+00  1.80172717023641127e-15  1.00298638702788372e-14  9.02386960512591152e-04  5.43581654871813762e-07 
 1.14815362149688238e+00  1.80537280004139378e-15  1.02634894140611947e-14  9.02386960521028847e-04  5.56243298162700850e-07 
 1.17489755493952908e+00  1.80130704189457314e-15  1.05025568004225263e-14  9.02386960530354720e-04  5.69199869013024445e-07 
 1.20226443461741250e+00  1.80226927132265402e-15  1.07471927799024547e-14  9.02386960538903438e-04  5.82458237168149116e-07 
 1.23026877081238117e+00  1.79577083455131903e-15  1.09975270478035832e-14  9.02386960548340333e-04  5.96025432390366592e-07 
 1.25892541179416684e+00  1.79659076244426119e-15  1.12536923633055043e-14  9.02386960558776430e-04  6.09908648186166730e-07 
 1.28824955169313360e+00  1.79401578228460812e-15  1.15158245296124644e-14  9.02386960568879459e-04  6.24115245620329677e-07 
 1.31825673855640679e+00  1.80333314470440542e-15  1.17840625527720418e-14  9.02386960580536801e-04  6.38652757218863957e-07 
 1.34896288259165331e+00  1.81031269618978086e-15  1.20585486152053671e-14  9.02386960591861076e-04  6.53528890962842203e-07 
 1.38038426460288455e+00  1.79595379366792596e-15  1.23394283007002495e-14  9.02386960604184551e-04  6.68751534375286850e-07 
 1.41253754462275394e+00  1.79700411452252129e-15  1.26268505150018384e-14  9.02386960617285183e-04  6.84328758703230240e-07 
 1.44543977074592700e+00  1.79472728996030173e-15  1.29209676380138559e-14  9.02386960630274793e-04  7.00268823197199622e-07 
 1.47910838816820678e+00  1.80015507708630729e-15  1.32219356429126051e-14  9.02386960644374625e-04  7.16580179490381720e-07 
 1.51356124843620754e+00  1.80112408277796621e-15  1.35299140895295248e-14  9.02386960658918547e-04  7.33271476079788924e-07 
 1.54881661891248057e+00  1.79707865342187967e-15  1.38450662699349780e-14  9.02386960674128602e-04  7.50351562911809786e-07 
 1.58489319246111271e+00  1.79327716955460237e-15  1.41675592944650351e-14  9.02386960690559903e-04  7.67829496074563184e-07 
 1.62181009735892911e+00  1.78718530859794944e-15  1.44975641380435884e-14  9.02386960706991204e-04  7.85714542599559008e-07 
 1.65958690743755977e+00  1.79644168464554443e-15  1.48352557990010295e-14  9.02386960724643750e-04  8.04016185375201291e-07 
 1.69824365246174347e+00  1.79353466757056768e-15  1.51808132858393599e-14  9.02386960743073452e-04  8.22744128174745292e-07 
 1.73780082874937447e+00  1.78023286216688614e-15  1.55344198620776519e-14  9.02386960762169288e-04  8.41908300801347776e-07 
 1.77827941003892165e+00  1.79769529340748080e-15  1.58962629800775998e-14  9.02386960782375347e-04  8.61518864353011525e-07 
 1.81970085860998210e+00  1.79498478797626704e-15  1.62665345126540914e-14  9.02386960803691629e-04  8.81586216610101983e-07 
 1.86208713666286596e+00  1.79661786749857333e-15  1.66454307795449876e-14  9.02386960825896089e-04  9.02120997548416509e-07 
 1.90546071796324568e+00  1.78751056924969509e-15  1.70331526797600204e-14  9.02386960848766684e-04  9.23134094980609841e-07 
 1.94984459975804381e+00  1.78112055269560865e-15  1.74299057709901317e-14  9.02386960873080568e-04  9.44636650329089867e-07 
 1.99526231496887796e+00  1.79241658408019200e-15  1.78359004284261508e-14  9.02386960898504675e-04  9.66640064533313807e-07 
 2.04173794466952740e+00  1.78592492357243504e-15  1.82513519175506886e-14  9.02386960925039006e-04  9.89156004094747261e-07 
 2.08929613085403743e+00  1.79633326442829588e-15  1.86764805066347005e-14  9.02386960953238670e-04  1.01219640726257875e-06 
 2.13796208950222999e+00  1.79705154836756753e-15  1.91115116387910542e-14  9.02386960982437536e-04  1.03577349036354471e-06 
 2.18776162394955032e+00  1.79503899808489131e-15  1.95566759187396397e-14  9.02386961012968669e-04  1.05989975427918096e-06 
 2.23872113856833721e+00  1.78189982300708261e-15  2.00122094304447246e-14  9.02386961045276159e-04  1.08458799107396812e-06 
 2.29086765276777049e+00  1.77649914093538919e-15  2.04783536841753947e-14  9.02386961078138761e-04  1.10985129077784292e-06 
 2.34422881531991933e+00  1.78713109848932516e-15  2.09553558282637910e-14  9.02386961113443853e-04  1.13570304832670318e-06 
 2.39883291901948770e+00  1.78225218871314040e-15  2.14434687285144487e-14  9.02386961150081213e-04  1.16215697066459268e-06 
 2.45470891568502747e+00  1.79012620699081637e-15  2.19429513123114314e-14  9.02386961188383907e-04  1.18922708401129219e-06 
 2.51188643150957702e+00  1.78051746523716359e-15  2.24540683171554255e-14  9.02386961228907047e-04  1.21692774129921554e-06 
 2.57039578276886038e+00  1.78476618250059116e-15  2.29770907406499932e-14  9.02386961270984500e-04  1.24527362978351640e-06 
 2.63026799189537819e+00  1.78001602173238904e-15  2.35122959331458012e-14  9.02386961315171376e-04  1.27427977882947092e-06 
 2.69153480392691202e+00  1.77495415283959734e-15  2.40599676639150693e-14  9.02386961361245632e-04  1.30396156788125282e-06 
 2.75422870333816272e+00  1.77527941349134299e-15  2.46203963064400283e-14  9.02386961409873400e-04  1.33433473461629109e-06 
 2.81838293126444972e+00  1.76931630154267272e-15  2.51938790104664866e-14  9.02386961460388548e-04  1.36541538328962459e-06 
 2.88403150312660150e+00  1.76357680629207758e-15  2.57807198475876190e-14  9.02386961513235164e-04  1.39721999327259335e-06 
 2.95120922666638119e+00  1.77115944523589808e-15  2.63812299700626432e-14  9.02386961569079382e-04  1.42976542779037841e-06 
 3.01995172040201165e+00  1.75855559498075409e-15  2.69957277564006085e-14  9.02386961627255069e-04  1.46306894286316618e-06 
 3.09029543251358563e+00  1.76820499431587508e-15  2.76245390231186322e-14  9.02386961688206313e-04  1.49714819645546375e-06 
 3.16227766016837419e+00  1.75782375851432637e-15  2.82679972232652467e-14  9.02386961752044137e-04  1.53202125783861242e-06 
 3.23593656929627738e+00  1.76338029464831458e-15  2.89264434464203994e-14  9.02386961818990585e-04  1.56770661717136494e-06 
