code_state	deck_file	deck_bytes	deck_sha256	log_file	log_bytes	log_sha256	raw_file	raw_bytes	raw_sha256	rows	cols	finite_cnt	crossing_mv	i_vcc_hbt_ma	v_coll_cm_v	thermal_nan_event_cnt	heat_sink_advice_line_cnt	dynamic_gmin_start_cnt	dynamic_gmin_completed_cnt	diagnostic_disposition	pair_span_mv	pair_midpoint_mv	pair_engineering_status	specification_status
code_0	tb_full_array_code0_modelvalid_2x8_900ua.cir	18621	5a391a7292b48994f61d276bae88b6fe0ef892c813186f08f3e68da56452aca0	log_full_array_code0_modelvalid_2x8_900ua.log	9061	52243e0d1a29d768836017af1aeddf68d91506f3bca379e034e8f465bc2cb87b	raw_modelvalid_2x8_900ua_code0.txt	539249	20e5a833da9cdd42ce3332d7bc0a260196705b2ec739c9ac25d11cff0b1bd15e	1201	28	33628	-47.829911704	3.129363000	2.092283043	1	1	1	1	WARNED	95.661536110	0.000856351	UNKNOWN	NOT_EVALUATED
code_1023	tb_full_array_code1023_modelvalid_2x8_900ua.cir	18643	2044397d7d840080da193068b3bc27453db4bf3bb9e8a49c8e9b2c95e329fd20	log_full_array_code1023_modelvalid_2x8_900ua.log	9033	8a28e49f3b4648df597132f519e16458214522248837bdde90092eb6407b923a	raw_modelvalid_2x8_900ua_code1023.txt	539249	a3897c5d10a1c8f969be5f590e79c9a1ee3fd892b475bc6d1eeda69d7fe4017b	1201	28	33628	47.831624406	3.129363009	2.092283044	0	0	0	0	WARNING_ABSENT	95.661536110	0.000856351	UNKNOWN	NOT_EVALUATED
