code_state	raw_sha256	zero_based_row_idx	scale_consistency_factual	raw_scale_vin_diff_v	c_p_v	c_n_v	raw_vcc_hbt_branch_a	raw_vref_branch_a	xt01_trim_p_v	xt01_trim_n_v	xb8_trim_p_v	xb8_trim_n_v	xb4_trim_p_v	xb4_trim_n_v	xb2_trim_p_v	xb2_trim_n_v	xb1_trim_p_v	xb1_trim_n_v	diagnostic_disposition
code_0	20e5a833da9cdd42ce3332d7bc0a260196705b2ec739c9ac25d11cff0b1bd15e	600	all_14_scale_columns_identical	6.90175998e-16	2.21465929e+00	1.97026994e+00	-3.12809281e-03	-4.05846391e-04	7.99623423e-01	1.00025297e+00	7.99622894e-01	1.00017371e+00	7.99622631e-01	1.00013400e+00	7.99622499e-01	1.00011413e+00	7.99622433e-01	1.00010419e+00	WARNED
code_1023	a3897c5d10a1c8f969be5f590e79c9a1ee3fd892b475bc6d1eeda69d7fe4017b	600	all_14_scale_columns_identical	6.90175998e-16	1.97021604e+00	2.21471334e+00	-3.12809227e-03	-4.05846819e-04	1.00025284e+00	7.99623424e-01	1.00017364e+00	7.99622894e-01	1.00013397e+00	7.99622631e-01	1.00011411e+00	7.99622499e-01	1.00010418e+00	7.99622433e-01	WARNING_ABSENT
