artifact	stage	bytes	sha256	note
tb_p1_top_v3_dc_op_v3.cir	frozen executed	3666	a90cb297b1b2d010bf314abe8f855aa686b7e7c220d8ceb42b72743321b81889	private runtime paths; not published verbatim
log_tb_p1_top_v3_dc_op_attempt2.log	frozen executed	1005	ff400eb7bb37d44a3651731420306dd2e6aaa13b0b30c7a7e0a65f49dd993e32	published verbatim
raw_tb_p1_top_v3_dc_op_attempt2.raw	frozen executed	18871	48df8f04a44983892e8b04fab4ff42663e6d1a6e4d46a71180c728beeb2f619d	published verbatim
p1_top_hier.spice	frozen input	8339	b8ac82719ffcd365b91fbd7c997b45d9d422e684077fe82f05a691cb7dcbd4ca	public path-sanitized copy is in source-backed-v3
