 frequency                ac_re                    ac_im                   
 1.00000000000000000e+00  1.85851863142685913e-03  6.72386143946202508e-09 
 1.02329299228075410e+00  1.85851863143210341e-03  6.88048029205429939e-09 
 1.04712854805089939e+00  1.85851863143671756e-03  7.04074726638555919e-09 
 1.07151930523760619e+00  1.85851863142529744e-03  7.20474733812553481e-09 
 1.09647819614318465e+00  1.85851863143365707e-03  7.37256746226103137e-09 
 1.12201845430196312e+00  1.85851863142717831e-03  7.54429661925990779e-09 
 1.14815362149688238e+00  1.85851863142334479e-03  7.72002586218518746e-09 
 1.17489755493952908e+00  1.85851863142908824e-03  7.89984836497108738e-09 
 1.20226443461741250e+00  1.85851863143237034e-03  8.08385947197768644e-09 
 1.23026877081238117e+00  1.85851863142639444e-03  8.27215674824380860e-09 
 1.25892541179416684e+00  1.85851863142815605e-03  8.46484003154585150e-09 
 1.28824955169313360e+00  1.85851863142328755e-03  8.66201148504073684e-09 
 1.31825673855640679e+00  1.85851863143526646e-03  8.86377565171397575e-09 
 1.34896288259165331e+00  1.85851863143195748e-03  9.07023950955917683e-09 
 1.38038426460288455e+00  1.85851863143932138e-03  9.28151252841862551e-09 
 1.41253754462275394e+00  1.85851863143913034e-03  9.49770672807550018e-09 
 1.44543977074592700e+00  1.85851863142919948e-03  9.71893673760751232e-09 
 1.47910838816820678e+00  1.85851863143149973e-03  9.94531985597182474e-09 
 1.51356124843620754e+00  1.85851863142580832e-03  1.01769761146546590e-08 
 1.54881661891248057e+00  1.85851863143013949e-03  1.04140283407037983e-08 
 1.58489319246111271e+00  1.85851863143649378e-03  1.06566022224905756e-08 
 1.62181009735892911e+00  1.85851863142882630e-03  1.09048263757732198e-08 
 1.65958690743755977e+00  1.85851863143538919e-03  1.11588324123724485e-08 
 1.69824365246174347e+00  1.85851863142247917e-03  1.14187550096366914e-08 
 1.73780082874937447e+00  1.85851863143664015e-03  1.16847319819508287e-08 
 1.77827941003892165e+00  1.85851863143088347e-03  1.19569043537595368e-08 
 1.81970085860998210e+00  1.85851863144508023e-03  1.22354164345707734e-08 
 1.86208713666286596e+00  1.85851863143334482e-03  1.25204158951526033e-08 
 1.90546071796324568e+00  1.85851863144759189e-03  1.28120538459554051e-08 
 1.94984459975804381e+00  1.85851863143498392e-03  1.31104849172786899e-08 
 1.99526231496887796e+00  1.85851863143952976e-03  1.34158673412770933e-08 
 2.04173794466952740e+00  1.85851863143608330e-03  1.37283630356734482e-08 
 2.08929613085403743e+00  1.85851863143712045e-03  1.40481376898952067e-08 
 2.13796208950222999e+00  1.85851863145595456e-03  1.43753608526431495e-08 
 2.18776162394955032e+00  1.85851863144813139e-03  1.47102060220179897e-08 
 2.23872113856833721e+00  1.85851863143659765e-03  1.50528507373376553e-08 
 2.29086765276777049e+00  1.85851863145105158e-03  1.54034766733769575e-08 
 2.34422881531991933e+00  1.85851863145116303e-03  1.57622697365375544e-08 
 2.39883291901948770e+00  1.85851863144701596e-03  1.61294201639525177e-08 
 2.45470891568502747e+00  1.85851863145137944e-03  1.65051226233032335e-08 
 2.51188643150957702e+00  1.85851863145687960e-03  1.68895763171690137e-08 
 2.57039578276886038e+00  1.85851863145821252e-03  1.72829850879551123e-08 
 2.63026799189537819e+00  1.85851863145204839e-03  1.76855575261985073e-08 
 2.69153480392691202e+00  1.85851863144190698e-03  1.80975070810655456e-08 
 2.75422870333816272e+00  1.85851863145559547e-03  1.85190521738970241e-08 
 2.81838293126444972e+00  1.85851863145556663e-03  1.89504163131646651e-08 
 2.88403150312660150e+00  1.85851863146289280e-03  1.93918282140718980e-08 
 2.95120922666638119e+00  1.85851863145386508e-03  1.98435219189401798e-08 
 3.01995172040201165e+00  1.85851863145881555e-03  2.03057369219204952e-08 
 3.09029543251358563e+00  1.85851863145237257e-03  2.07787182952723003e-08 
 3.16227766016837419e+00  1.85851863146747702e-03  2.12627168201248334e-08 
 3.23593656929627738e+00  1.85851863146333082e-03  2.17579891188549966e-08 
 3.31131121482590540e+00  1.85851863147392694e-03  2.22647977914314408e-08 
 3.38844156139201980e+00  1.85851863147190642e-03  2.27834115545416923e-08 
 3.46736850452531042e+00  1.85851863146707912e-03  2.33141053840218054e-08 
 3.54813389233574838e+00  1.85851863146475785e-03  2.38571606607601562e-08 
 3.63078054770100689e+00  1.85851863147873820e-03  2.44128653198478084e-08 
 3.71535229097171849e+00  1.85851863148569683e-03  2.49815140032744430e-08 
 3.80189396320560480e+00  1.85851863148610752e-03  2.55634082160382675e-08 
 3.89045144994279868e+00  1.85851863148768959e-03  2.61588564863737794e-08 
 3.98107170553496470e+00  1.85851863147514992e-03  2.67681745286508328e-08 
 4.07380277804111923e+00  1.85851863149470004e-03  2.73916854112394823e-08 
 4.16869383470334576e+00  1.85851863149303818e-03  2.80297197280779595e-08 
 4.26579518801591817e+00  1.85851863149795655e-03  2.86826157733595295e-08 
 4.36515832240165125e+00  1.85851863150734899e-03  2.93507197212463864e-08 
 4.46683592150962205e+00  1.85851863150494033e-03  3.00343858090746180e-08 
 4.57088189614874096e+00  1.85851863151286108e-03  3.07339765258871697e-08 
 4.67735141287197198e+00  1.85851863151535409e-03  3.14498628037041707e-08 
 4.78630092322637335e+00  1.85851863151443100e-03  3.21824242153403055e-08 
 4.89778819368445184e+00  1.85851863150890916e-03  3.29320491742095102e-08 
 5.01187233627271223e+00  1.85851863151476797e-03  3.36991351412945813e-08 
 5.12861383991363784e+00  1.85851863152405633e-03  3.44840888360189526e-08 
 5.24807460249771474e+00  1.85851863152776474e-03  3.52873264510023238e-08 
 5.37031796370251602e+00  1.85851863154278029e-03  3.61092738735878010e-08 
 5.49540873857623335e+00  1.85851863154858662e-03  3.69503669112658256e-08 
 5.62341325190347785e+00  1.85851863156059676e-03  3.78110515224937028e-08 
 5.75439937337155616e+00  1.85851863155748554e-03  3.86917840537160343e-08 
 5.88843655355587625e+00  1.85851863154949518e-03  3.95930314810769177e-08 
 6.02559586074356357e+00  1.85851863156476617e-03  4.05152716576729742e-08 
 6.16595001861480707e+00  1.85851863157498304e-03  4.14589935676380463e-08 
 6.30957344480191740e+00  1.85851863157588835e-03  4.24246975848922349e-08 
 6.45654229034653948e+00  1.85851863159882205e-03  4.34128957381072657e-08 
 6.60693448007594419e+00  1.85851863160424848e-03  4.44241119834666421e-08 
 6.76082975391980145e+00  1.85851863159792064e-03  4.54588824810079406e-08 
 6.91830970918934796e+00  1.85851863161548667e-03  4.65177558794242991e-08 
 7.07945784384136179e+00  1.85851863163511203e-03  4.76012936080140548e-08 
 7.24435960074988294e+00  1.85851863163215779e-03  4.87100701727060540e-08 
 7.41310241300915695e+00  1.85851863163372165e-03  4.98446734612947310e-08 
 7.58577575029181883e+00  1.85851863165323187e-03  5.10057050554314264e-08 
 7.76247116628689771e+00  1.85851863166199656e-03  5.21937805496169420e-08 
 7.94328234724279447e+00  1.85851863167267920e-03  5.34095298769878690e-08 
 8.12830516164097183e+00  1.85851863167975340e-03  5.46535976442859116e-08 
 8.31763771102668947e+00  1.85851863170349244e-03  5.59266434721070452e-08 
 8.51138038202374325e+00  1.85851863170477245e-03  5.72293423466688658e-08 
 8.70963589956078366e+00  1.85851863171718808e-03  5.85623849763587336e-08 
 8.91250938133743098e+00  1.85851863173317746e-03  5.99264781575241633e-08 
 9.12010839355907166e+00  1.85851863173653827e-03  6.13223451506908197e-08 
 9.33254300796988367e+00  1.85851863177070712e-03  6.27507260629677833e-08 
 9.54992586021433176e+00  1.85851863178382076e-03  6.42123782406937038e-08 
 9.77237220955807828e+00  1.85851863179641030e-03  6.57080766711176040e-08 
 9.99999999999996980e+00  1.85851863182026167e-03  6.72386143936805852e-08 
 1.02329299228075108e+01  1.85851863183009972e-03  6.88048029198413280e-08 
 1.04712854805089641e+01  1.85851863184105233e-03  7.04074726631098886e-08 
 1.07151930523760317e+01  1.85851863187047324e-03  7.20474733803218483e-08 
 1.09647819614318163e+01  1.85851863189971222e-03  7.37256746216198675e-08 
 1.12201845430195988e+01  1.85851863190976516e-03  7.54429661917263229e-08 
 1.14815362149687914e+01  1.85851863194010872e-03  7.72002586205584519e-08 
 1.17489755493952579e+01  1.85851863197063357e-03  7.89984836485474873e-08 
 1.20226443461740899e+01  1.85851863199669215e-03  8.08385947186121874e-08 
 1.23026877081237753e+01  1.85851863201944717e-03  8.27215674813834175e-08 
 1.25892541179416302e+01  1.85851863204316843e-03  8.46484003140036366e-08 
 1.28824955169312965e+01  1.85851863207922140e-03  8.66201148487409700e-08 
 1.31825673855640257e+01  1.85851863210099934e-03  8.86377565157792638e-08 
 1.34896288259164887e+01  1.85851863214384159e-03  9.07023950938977487e-08 
 1.38038426460287997e+01  1.85851863216879233e-03  9.28151252823511846e-08 
 1.41253754462274923e+01  1.85851863220287683e-03  9.49770672793554188e-08 
 1.44543977074592220e+01  1.85851863224671394e-03  9.71893673740689720e-08 
 1.47910838816820203e+01  1.85851863227828938e-03  9.94531985577844182e-08 
 1.51356124843620261e+01  1.85851862996670898e-03  1.01769761170074750e-07 
 1.54881661891247564e+01  1.85851862999248632e-03  1.04140283431597405e-07 
 1.58489319246110760e+01  1.85851863005082833e-03  1.06566022249627495e-07 
 1.62181009735892374e+01  1.85851863008437528e-03  1.09048263783043988e-07 
 1.65958690743755426e+01  1.85851863012113472e-03  1.11588324149164478e-07 
 1.69824365246173770e+01  1.85851863018359886e-03  1.14187550122534723e-07 
 1.73780082874936852e+01  1.85851863023167975e-03  1.16847319845949757e-07 
 1.77827941003891574e+01  1.85851863030127599e-03  1.19569043563934182e-07 
 1.81970085860997628e+01  1.85851863034836072e-03  1.22354164373272541e-07 
 1.86208713666286023e+01  1.85851863041113711e-03  1.25204158979500117e-07 
 1.90546071796323986e+01  1.85851863047610164e-03  1.28120538488022749e-07 
 1.94984459975803794e+01  1.85851863054758547e-03  1.31104849201835262e-07 
 1.99526231496887192e+01  1.85851863062455819e-03  1.34158673441830949e-07 
 2.04173794466952145e+01  1.85851863069787476e-03  1.37283630386142265e-07 
 2.08929613085403147e+01  1.85851863076567730e-03  1.40481376928952217e-07 
 2.13796208950222386e+01  1.85851863085479720e-03  1.43753608557102714e-07 
 2.18776162394954419e+01  1.85851863092458382e-03  1.47102060251661663e-07 
 2.23872113856833082e+01  1.85851863101828903e-03  1.50528507405086515e-07 
 2.29086765276776383e+01  1.85851863111363810e-03  1.54034766765250818e-07 
 2.34422881531991258e+01  1.85851863121539417e-03  1.57622697398374862e-07 
 2.39883291901948077e+01  1.85851863131308620e-03  1.61294201671797000e-07 
 2.45470891568502019e+01  1.85851863380641705e-03  1.65051226226870535e-07 
 2.51188643150956956e+01  1.85851863389355069e-03  1.68895763165298420e-07 
 2.57039578276885301e+01  1.85851863402979522e-03  1.72829850872479331e-07 
 2.63026799189537073e+01  1.85851863178695541e-03  1.76855575296014747e-07 
 2.69153480392690412e+01  1.85851863190818526e-03  1.80975070845893853e-07 
 2.75422870333815446e+01  1.85851863203339326e-03  1.85190521773379849e-07 
 2.81838293126444164e+01  1.85851863218355244e-03  1.89504163167054150e-07 
 2.88403150312659342e+01  1.85851863232160759e-03  1.93918282176172550e-07 
 2.95120922666637284e+01  1.85851863247228893e-03  1.98435219224480291e-07 
 3.01995172040200295e+01  1.85851863502464135e-03  2.03057369203016650e-07 
 3.09029543251357701e+01  1.85851863518461452e-03  2.07787182936207231e-07 
 3.16227766016836540e+01  1.85851863536240286e-03  2.12627168183314463e-07 
 3.23593656929626832e+01  1.85851863553961982e-03  2.17579891170660723e-07 
 3.31131121482589634e+01  1.85851863454595113e-03  2.22647977922002079e-07 
 3.38844156139201047e+01  1.85851863474700320e-03  2.27834115550901303e-07 
 3.46736850452530092e+01  1.85851863497191053e-03  2.33141053845672894e-07 
 3.54813389233573844e+01  1.85851863518317188e-03  2.38571606610906685e-07 
 3.63078054770099712e+01  1.85851863541834118e-03  2.44128653200754366e-07 
 3.71535229097170827e+01  1.85851863566561431e-03  2.49815140033953788e-07 
 3.80189396320559467e+01  1.85851863591562417e-03  2.55634082162542609e-07 
 3.89045144994278829e+01  1.85851863381388525e-03  2.61588564924869115e-07 
 3.98107170553495422e+01  1.85851863410440394e-03  2.67681745345520306e-07 
 4.07380277804110875e+01  1.85851863439559744e-03  2.73916854172890783e-07 
 4.16869383470333474e+01  1.85851863944908936e-03  2.80297197201741369e-07 
 4.26579518801590680e+01  1.85851863740733804e-03  2.86826157717385625e-07 
 4.36515832240163917e+01  1.85851863773867673e-03  2.93507197192312990e-07 
 4.46683592150961033e+01  1.85851863809869582e-03  3.00343858068802389e-07 
 4.57088189614872888e+01  1.85851863847022480e-03  3.07339765233928999e-07 
 4.67735141287195972e+01  1.85851863884930503e-03  3.14498628010165894e-07 
 4.78630092322636074e+01  1.85851863925346828e-03  3.21824242122192008e-07 
 4.89778819368443834e+01  1.85851863966881117e-03  3.29320491707410651e-07 
