deck,cap1_max,fout_hi,fout_lo,freq,i12_avg,i33_avg,t_a,t_b,t_half_a,vref_avg,vth_avg
corners_ptat_hbt_bcs_mos_ff_res_bcs_cap_typ_T-40,1.07453,1.2175,-0.0110231,1420537.0,-1.55164e-07,-5.16833e-05,6.22137e-06,1.74847e-05,3.51852e-07,1.0427,1.04273
corners_ptat_hbt_bcs_mos_ff_res_bcs_cap_typ_T175,1.10552,1.20936,-0.00516946,2673874.0,-4.15571e-07,-9.889e-05,3.75683e-06,9.74066e-06,1.8691e-07,1.05901,1.05933
corners_ptat_hbt_bcs_mos_ff_res_bcs_cap_typ_T27,1.08193,1.21626,-0.0094777,1821010.0,-2.00439e-07,-6.62596e-05,5.0639e-06,1.38502e-05,2.7446e-07,1.04579,1.04586
corners_ptat_hbt_bcs_mos_ff_res_wcs_cap_typ_T27,1.07616,1.21626,-0.0094795,1413034.0,-1.55343e-07,-5.10001e-05,6.23713e-06,1.75603e-05,3.53727e-07,1.04139,1.04146
corners_ptat_hbt_bcs_mos_ss_res_bcs_cap_typ_T27,1.07803,1.21839,-0.0134909,1828855.0,-1.95869e-07,-6.53128e-05,5.04976e-06,1.37984e-05,2.73255e-07,1.04169,1.04174
corners_ptat_hbt_bcs_mos_ss_res_wcs_cap_typ_T27,1.07188,1.21838,-0.0133749,1419724.0,-1.52582e-07,-5.01416e-05,6.21636e-06,1.74862e-05,3.5203e-07,1.03677,1.03682
corners_ptat_hbt_typ_mos_tt_res_typ_cap_bcs_T27,1.08452,1.21739,-0.0106449,1759019.0,-1.90208e-07,-5.74765e-05,5.20393e-06,1.42999e-05,2.84112e-07,1.04599,1.04605
corners_ptat_hbt_typ_mos_tt_res_typ_cap_typ_T27,1.08216,1.21807,-0.0106491,1590554.0,-1.71753e-07,-5.72545e-05,5.65473e-06,1.57141e-05,3.14221e-07,1.04599,1.04605
corners_ptat_hbt_typ_mos_tt_res_typ_cap_wcs_T27,1.07995,1.21708,-0.0105529,1451715.0,-1.57207e-07,-5.70666e-05,6.10497e-06,1.71264e-05,3.44301e-07,1.046,1.04605
corners_ptat_hbt_wcs_mos_ff_res_bcs_cap_typ_T27,1.09383,1.21579,-0.00948119,1794689.0,-1.96956e-07,-6.60693e-05,5.12401e-06,1.40392e-05,2.78484e-07,1.0564,1.05646
corners_ptat_hbt_wcs_mos_ff_res_wcs_cap_typ_T27,1.08784,1.21623,-0.0094775,1392370.0,-1.5328e-07,-5.08378e-05,6.31549e-06,1.78067e-05,3.58974e-07,1.0518,1.05185
corners_ptat_hbt_wcs_mos_ss_res_bcs_cap_typ_T27,1.09014,1.21888,-0.0134881,1802046.0,-1.94093e-07,-6.5123e-05,5.11049e-06,1.39893e-05,2.77315e-07,1.05244,1.05247
corners_ptat_hbt_wcs_mos_ss_res_wcs_cap_typ_T-40,1.07735,1.2215,-0.0154106,1092221.0,-1.16984e-07,-3.89157e-05,7.79596e-06,2.2445e-05,4.57619e-07,1.04541,1.04543
corners_ptat_hbt_wcs_mos_ss_res_wcs_cap_typ_T175,1.10358,1.21241,-0.00837306,2057891.0,-2.34294e-07,-7.47366e-05,4.5857e-06,1.23606e-05,2.42853e-07,1.05662,1.05679
corners_ptat_hbt_wcs_mos_ss_res_wcs_cap_typ_T27,1.08369,1.21839,-0.0134919,1398746.0,-1.50316e-07,-4.99809e-05,6.2953e-06,1.77341e-05,3.5732e-07,1.04732,1.04735
corners_ref_hbt_bcs_mos_ff_res_bcs_cap_typ_T27,1.05402,1.21626,-0.00931237,1868954.0,-2.05462e-07,-6.62909e-05,4.97031e-06,1.35313e-05,2.67419e-07,1.03547,1.01818
corners_ref_hbt_typ_mos_tt_res_typ_cap_bcs_T27,1.08035,1.21799,-0.0110336,1765728.0,-1.90819e-07,-5.749e-05,5.20094e-06,1.42624e-05,2.83034e-07,1.03786,1.04171
corners_ref_hbt_typ_mos_tt_res_typ_cap_wcs_T27,1.07592,1.21806,-0.0107995,1457346.0,-1.57531e-07,-5.70728e-05,6.09595e-06,1.70748e-05,3.42951e-07,1.03786,1.04172
corners_ref_hbt_wcs_mos_ss_res_wcs_cap_typ_T27,1.10374,1.21912,-0.0133726,1373412.0,-1.47647e-07,-4.9969e-05,6.40597e-06,1.80558e-05,3.6391e-07,1.04193,1.06681
