deck,cap1_max,fout_hi,fout_lo,freq,i12_avg,i33_avg,t_a,t_b,t_half_a,vref_avg,vth_avg
ftemp_ptat_T-10,1.07854,1.21907,-0.012041,1398355.0,-1.50768e-07,-5.02734e-05,6.30071e-06,1.77427e-05,3.57401e-07,1.04474,1.04477
ftemp_ptat_T-25,1.07683,1.21973,-0.0125345,1319933.0,-1.42791e-07,-4.74399e-05,6.61848e-06,1.87403e-05,3.78698e-07,1.04413,1.04416
ftemp_ptat_T-40,1.07534,1.22053,-0.0134111,1241096.0,-1.33666e-07,-4.46092e-05,6.97849e-06,1.98703e-05,4.02724e-07,1.04346,1.04348
ftemp_ptat_T100,1.08939,1.21424,-0.00729071,1962234.0,-2.16175e-07,-7.0951e-05,4.76529e-06,1.29193e-05,2.54693e-07,1.04845,1.04856
ftemp_ptat_T110,1.09046,1.21246,-0.00664258,2012120.0,-2.22814e-07,-7.28201e-05,4.671e-06,1.26228e-05,2.48377e-07,1.0489,1.04903
ftemp_ptat_T125,1.09234,1.21334,-0.00801716,2086444.0,-2.33524e-07,-7.56223e-05,4.5389e-06,1.22074e-05,2.39528e-07,1.04973,1.04988
ftemp_ptat_T140,1.09452,1.21099,-0.00769969,2160354.0,-2.45771e-07,-7.84394e-05,4.41658e-06,1.18228e-05,2.31333e-07,1.05087,1.05105
ftemp_ptat_T150,1.09636,1.21208,-0.00748465,2209717.0,-2.55021e-07,-8.03544e-05,4.33947e-06,1.15802e-05,2.26165e-07,1.05195,1.05214
ftemp_ptat_T155,1.09749,1.21135,-0.00734525,2234565.0,-2.6277e-07,-8.13294e-05,4.30195e-06,1.14622e-05,2.23651e-07,1.05265,1.05286
ftemp_ptat_T170,1.102,1.21177,-0.00574404,2311120.0,-2.81151e-07,-8.44294e-05,4.19151e-06,1.11146e-05,2.16242e-07,1.05594,1.05618
ftemp_ptat_T175,1.10411,1.21154,-0.00595154,2337900.0,-2.9061e-07,-8.55709e-05,4.15462e-06,1.09984e-05,2.13766e-07,1.05768,1.05793
ftemp_ptat_T20,1.0815,1.21753,-0.0105382,1554426.0,-1.67863e-07,-5.59371e-05,5.76396e-06,1.60571e-05,3.2153e-07,1.04577,1.04582
ftemp_ptat_T25,1.08196,1.21805,-0.011059,1580252.0,-1.70713e-07,-5.68809e-05,5.68539e-06,1.58104e-05,3.16274e-07,1.04593,1.04599
ftemp_ptat_T35,1.0828,1.217,-0.00999299,1631917.0,-1.76359e-07,-5.87658e-05,5.53566e-06,1.53401e-05,3.06258e-07,1.04624,1.0463
ftemp_ptat_T5,1.08004,1.21845,-0.011675,1476497.0,-1.59117e-07,-5.31066e-05,6.01775e-06,1.68542e-05,3.38506e-07,1.04528,1.04532
ftemp_ptat_T50,1.08413,1.21631,-0.010186,1709017.0,-1.85026e-07,-6.15854e-05,5.3292e-06,1.46913e-05,2.92435e-07,1.0467,1.04677
ftemp_ptat_T65,1.08577,1.21621,-0.00972468,1785549.0,-1.94199e-07,-6.44017e-05,5.14176e-06,1.41026e-05,2.79902e-07,1.04717,1.04725
ftemp_ptat_T80,1.08723,1.21559,-0.00955021,1861661.0,-2.03107e-07,-6.72117e-05,4.97078e-06,1.35653e-05,2.68456e-07,1.04767,1.04777
ftemp_ptat_T95,1.08884,1.21443,-0.00894595,1937202.0,-2.12386e-07,-7.00173e-05,4.81444e-06,1.30738e-05,2.57982e-07,1.04824,1.04835
ftemp_ref_T-10,0.946091,1.21956,-0.0122089,1592702.0,-1.71761e-07,-5.02175e-05,5.65977e-06,1.57056e-05,3.13793e-07,1.03828,0.91281
ftemp_ref_T-40,0.839846,1.22047,-0.0131811,1583569.0,-1.70701e-07,-3.95821e-05,5.68581e-06,1.57896e-05,3.15597e-07,1.03811,0.801742
ftemp_ref_T100,1.34049,1.21443,-0.00747124,1594178.0,-1.75916e-07,-7.06356e-05,5.65692e-06,1.56934e-05,3.13531e-07,1.03527,1.29795
ftemp_ref_T125,1.43204,1.21337,-0.0070131,1590260.0,-1.79172e-07,-7.51629e-05,5.66887e-06,1.57301e-05,3.14316e-07,1.03399,1.38728
ftemp_ref_T150,1.52619,1.21167,-0.00747658,1584855.0,-1.86287e-07,-7.97477e-05,5.68539e-06,1.5781e-05,3.15409e-07,1.03307,1.47922
ftemp_ref_T175,1.63074,1.2111,-0.00653585,1578336.0,-2.04672e-07,-8.4805e-05,5.70545e-06,1.58427e-05,3.16746e-07,1.0353,1.5818
ftemp_ref_T25,1.0708,1.21806,-0.0109022,1596580.0,-1.72272e-07,-5.68911e-05,5.64891e-06,1.56703e-05,3.13034e-07,1.0379,1.03475
ftemp_ref_T50,1.16032,1.21684,-0.0103918,1597310.0,-1.72907e-07,-6.15054e-05,5.6471e-06,1.56639e-05,3.12878e-07,1.03728,1.12201
ftemp_ref_T65,1.21422,1.21621,-0.00973314,1596941.0,-1.73142e-07,-6.42591e-05,5.64832e-06,1.56675e-05,3.12975e-07,1.03678,1.17455
