time="2026-09-23T10:18:17+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
time="2026-09-23T10:18:18+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
Resource enforcement: CPU affinity; memory reservation only (rootless cgroups v1).
time="2026-09-23T10:18:19+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
EXACT_DEF_PINS_PASSED 46
# TMR copy separation: 199 stages (128 chain stages, 71 control-register bits), 597 flops, all placed
# min distance between two copies of one stage: min 27.4 um, median 42.6 um, max 44.5 um
# stages with a copy pair closer than  5 um: 0
# stages with a copy pair closer than 10 um: 0
# stages with a copy pair closer than 20 um: 0
# stages with a copy pair closer than 40 um: 18
# stage  min_pair_um  a(x,y)  b(x,y)  c(x,y)
chain.43      35.2   (10.1,15.1)  (50.4,26.5)  (77.3,49.1)
chain.44      41.4   (25.0,22.7)  (65.3,37.8)  (105.1,49.1)
chain.45      42.6   (37.4,15.1)  (77.3,30.2)  (122.9,49.1)
chain.46      42.6   (67.7,18.9)  (108.0,34.0)  (147.8,49.1)
chain.47      41.4   (10.1,18.9)  (50.4,30.2)  (90.2,41.6)
chain.48      37.7   (10.1,105.8)  (47.0,113.4)  (90.2,124.7)
chain.49      42.6   (20.2,98.3)  (60.0,113.4)  (100.3,128.5)
chain.50      38.1   (10.1,109.6)  (50.4,121.0)  (83.5,139.9)
chain.51      41.4   (10.1,113.4)  (50.4,124.7)  (90.2,136.1)
chain.52      40.6   (10.1,37.8)  (50.4,52.9)  (90.2,60.5)
chain.53      42.6   (31.2,52.9)  (71.5,68.0)  (111.4,83.2)
chain.54      42.6   (55.7,45.4)  (95.5,64.3)  (135.4,79.4)
chain.55      41.9   (75.8,45.4)  (116.2,56.7)  (156.0,71.8)
chain.56      41.4   (50.4,37.8)  (90.2,49.1)  (130.6,68.0)
chain.57      43.1   (10.1,34.0)  (50.4,49.1)  (98.9,68.0)
chain.58      41.9   (45.6,56.7)  (85.9,68.0)  (125.8,83.2)
chain.59      42.6   (62.4,64.3)  (102.2,79.4)  (142.6,98.3)
chain.60      41.0   (10.1,60.5)  (50.4,68.0)  (90.2,83.2)
chain.61      42.6   (10.1,45.4)  (50.4,60.5)  (90.2,75.6)
chain.62      42.2   (10.1,49.1)  (49.4,64.3)  (89.3,79.4)
chain.63      41.9   (10.1,68.0)  (50.4,79.4)  (90.2,94.5)
chain.64      33.6   (10.1,71.8)  (49.9,94.5)  (81.6,105.8)
chain.65      39.4   (10.1,52.9)  (44.6,71.8)  (85.0,86.9)
chain.66      42.6   (17.8,56.7)  (57.6,71.8)  (97.9,86.9)
chain.67      42.6   (97.0,102.1)  (136.8,117.2)  (176.6,132.3)
chain.68      40.8   (65.8,109.6)  (103.7,124.7)  (143.5,139.9)
chain.69      42.6   (77.3,98.3)  (123.4,117.2)  (163.2,132.3)
chain.70      42.6   (128.6,86.9)  (168.5,102.1)  (208.3,121.0)
chain.71      41.4   (151.2,79.4)  (191.5,94.5)  (231.4,105.8)
chain.72      41.4   (133.0,60.5)  (172.8,71.8)  (213.1,86.9)
chain.73      44.1   (95.0,56.7)  (134.9,75.6)  (174.7,94.5)
