run	role	private_artifact	private_bytes	private_sha256	public_artifact	public_bytes	public_sha256	publication_transform
unloaded-2ns-v1	candidate	p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	unloaded-2ns-v1/p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	verbatim
unloaded-2ns-v1	deck	tb_p1_cml_div2_front_tran_nobleed.cir	1732	dc3221146112b339bd2429bf8e807e3d4c0258265f1e4238fe5853dc8c09639b	unloaded-2ns-v1/tb_p1_cml_div2_front_tran_nobleed.public.cir	1636	95a3d7089d564fc33039c175e278a31827cc1b6052b7c31a1be50a37ce038d72	paths_only
unloaded-2ns-v1	native_log	evidence/tb_p1_cml_div2_front_tran_nobleed.log	5362	085699a8fa3b7c9d1b851ace167e2a84fef52b46f37969aac77acd4fa1a4643c	unloaded-2ns-v1/evidence/tb_p1_cml_div2_front_tran_nobleed.log	5362	085699a8fa3b7c9d1b851ace167e2a84fef52b46f37969aac77acd4fa1a4643c	verbatim
unloaded-2ns-v1	native_raw	raw_tb_p1_cml_div2_front_tran_nobleed.raw	3319691	502a0671e0f03e42fcedf247389c18b419c42729d765b17083159607b9b836cb	unloaded-2ns-v1/raw_tb_p1_cml_div2_front_tran_nobleed.raw	3319691	502a0671e0f03e42fcedf247389c18b419c42729d765b17083159607b9b836cb	verbatim
unloaded-2ns-v1	openada_result	openada-result.json	10890	a56f9625b8e9f3bf341246ab7ea5e750cf8a8894319b31898e881ae728142301	unloaded-2ns-v1/openada-result.public.json	9724	f81f25ca35641fd58e98f095f602987a83359356d83f16480f41bc5629190187	paths_only
unloaded-2ns-v1	preflight	preflight.json	2243	980602d931c0375805d2bf135d44b860698e16ee6474158fb3acd2d6f76a50e8	unloaded-2ns-v1/preflight.public.json	2137	f597906fb046499ba653a48d4bbe773e44a2584e96ef76108ffacd7eb0a6d2c6	paths_only
unloaded-2ns-v1	control	evidence/tb_p1_cml_div2_front_tran_nobleed.openada-control.sp	185	5d2382d4ba9e258c3d45a7a8c5447da063227fab0bab1026007fdf8b6272d05c	unloaded-2ns-v1/evidence/tb_p1_cml_div2_front_tran_nobleed.openada-control.public.sp	96	40d64046c0dc2419f471358c28b70add5570f9ff4656ef4e2ba6dca2f04258e6	paths_only
unloaded-4ns-v2	candidate	p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	unloaded-4ns-v2/p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	verbatim
unloaded-4ns-v2	deck	tb_p1_cml_div2_front_tran_nobleed.cir	1753	e3c267105ae923aca505bd5bb9cbddbf551e8f152aa0fc9795b76e3c22b5ed8c	unloaded-4ns-v2/tb_p1_cml_div2_front_tran_nobleed.public.cir	1657	b5cec28180bd1e6eb78a311cd904a333e5d5d4e7c190f25cd3d3fbf50e6c2cc8	paths_only
unloaded-4ns-v2	native_log	evidence/tb_p1_cml_div2_front_tran_nobleed.log	5383	3576c96e72e5140ebacf004c828fee63cb504af5adeb15ef59b30854294a1949	unloaded-4ns-v2/evidence/tb_p1_cml_div2_front_tran_nobleed.log	5383	3576c96e72e5140ebacf004c828fee63cb504af5adeb15ef59b30854294a1949	verbatim
