 v-sweep         id_narrow       id_wide        
-3.00000000e-01  1.03182960e-14  1.33261145e-13 
-2.90000000e-01  9.99350131e-15  1.30688455e-13 
-2.80000000e-01  9.76291010e-15  1.29770867e-13 
-2.70000000e-01  9.64476001e-15  1.30887468e-13 
-2.60000000e-01  9.66288352e-15  1.34534866e-13 
-2.50000000e-01  9.84832775e-15  1.41362245e-13 
-2.40000000e-01  1.02414376e-14  1.52217298e-13 
-2.30000000e-01  1.08945567e-14  1.68205546e-13 
-2.20000000e-01  1.18755340e-14  1.90768331e-13 
-2.10000000e-01  1.32722590e-14  2.21784066e-13 
-2.00000000e-01  1.51985619e-14  2.63700687e-13 
-1.90000000e-01  1.78018601e-14  3.19708568e-13 
-1.80000000e-01  2.12731095e-14  3.93966411e-13 
-1.70000000e-01  2.58597340e-14  4.91896682e-13 
-1.60000000e-01  3.18824516e-14  6.20571709e-13 
-1.50000000e-01  3.97571670e-14  7.89219005e-13 
-1.40000000e-01  5.00234889e-14  1.00988231e-12 
-1.30000000e-01  6.33818640e-14  1.29828704e-12 
-1.20000000e-01  8.07419756e-14  1.67497351e-12 
-1.10000000e-01  1.03285846e-13  2.16678109e-12 
-1.00000000e-01  1.32550111e-13  2.80879305e-12 
-9.00000000e-02  1.70533392e-13  3.64688524e-12 
-8.00000000e-02  2.19836411e-13  4.74106760e-12 
-7.00000000e-02  2.83844959e-13  6.16986632e-12 
-6.00000000e-02  3.66968883e-13  8.03607211e-12 
-5.00000000e-02  4.74954378e-13  1.04742835e-11 
-4.00000000e-02  6.15292214e-13  1.36608073e-11 
-3.00000000e-02  7.97751560e-13  1.78266579e-11 
-2.00000000e-02  1.03507831e-12  2.32746287e-11 
-1.00000000e-02  1.34390889e-12  3.04017184e-11 
 8.67361738e-17  1.74596655e-12  3.97285993e-11 
 1.00000000e-02  2.26962778e-12  5.19383485e-11 
 2.00000000e-02  2.95197429e-12  6.79273675e-11 
 3.00000000e-02  3.84148177e-12  8.88723415e-11 
 4.00000000e-02  5.00154412e-12  1.16318313e-10 
 5.00000000e-02  6.51509440e-12  1.52294553e-10 
 6.00000000e-02  8.49066514e-12  1.99467044e-10 
 7.00000000e-02  1.10703392e-11  2.61339175e-10 
 8.00000000e-02  1.44401836e-11  3.42515962e-10 
 9.00000000e-02  1.88439446e-11  4.49051962e-10 
 1.00000000e-01  2.46010305e-11  5.88909472e-10 
 1.10000000e-01  3.21301232e-11  7.72562052e-10 
 1.20000000e-01  4.19802032e-11  1.01378970e-09 
 1.30000000e-01  5.48713090e-11  1.33072654e-09 
 1.40000000e-01  7.17480927e-11  1.74724127e-09 
 1.50000000e-01  9.38502102e-11  2.29475633e-09 
 1.60000000e-01  1.22804845e-10  3.01464505e-09 
 1.70000000e-01  1.60748330e-10  3.96139024e-09 
 1.80000000e-01  2.10486018e-10  5.20674536e-09 
 1.90000000e-01  2.75702404e-10  6.84521484e-09 
 2.00000000e-01  3.61237258e-10  9.00126839e-09 
 2.10000000e-01  4.73448340e-10  1.18388318e-08 
 2.20000000e-01  6.20687635e-10  1.55737606e-08 
 2.30000000e-01  8.13926096e-10  2.04902126e-08 
 2.40000000e-01  1.06757234e-09  2.69621003e-08 
 2.50000000e-01  1.40054378e-09  3.54811294e-08 
 2.60000000e-01  1.83766525e-09  4.66933290e-08 
 2.70000000e-01  2.41148976e-09  6.14464344e-08 
 2.80000000e-01  3.16466006e-09  8.08509924e-08 
 2.90000000e-01  4.15295591e-09  1.06358550e-07 
 3.00000000e-01  5.44919933e-09  1.39860671e-07 
 3.10000000e-01  7.14821458e-09  1.83812613e-07 
 3.20000000e-01  9.37305207e-09  2.41384976e-07 
 3.30000000e-01  1.22826746e-08  3.16645111e-07 
 3.40000000e-01  1.60812488e-08  4.14766986e-07 
 3.50000000e-01  2.10290607e-08  5.42263065e-07 
 3.60000000e-01  2.74548519e-08  7.07224349e-07 
 3.70000000e-01  3.57690324e-08  9.19545669e-07 
 3.80000000e-01  4.64767787e-08  1.19110450e-06 
 3.90000000e-01  6.01895323e-08  1.53585634e-06 
 4.00000000e-01  7.76330138e-08  1.96981177e-06 
 4.10000000e-01  9.96497528e-08  2.51087272e-06 
 4.20000000e-01  1.27194490e-07  3.17852530e-06 
 4.30000000e-01  1.61321669e-07  3.99340973e-06 
 4.40000000e-01  2.03165429e-07  4.97680533e-06 
 4.50000000e-01  2.53913706e-07  6.15007604e-06 
 4.60000000e-01  3.14778864e-07  7.53412065e-06 
 4.70000000e-01  3.86967514e-07  9.14886375e-06 
 4.80000000e-01  4.71651936e-07  1.10128142e-05 
 4.90000000e-01  5.69944937e-07  1.31427068e-05 
 5.00000000e-01  6.82879197e-07  1.55532331e-05 
 5.10000000e-01  8.11391524e-07  1.82568581e-05 
 5.20000000e-01  9.56311776e-07  2.12637134e-05 
 5.30000000e-01  1.11835591e-06  2.45815556e-05 
 5.40000000e-01  1.29812241e-06  2.82157780e-05 
 5.50000000e-01  1.49609149e-06  3.21694693e-05 
 5.60000000e-01  1.71262647e-06  3.64435109e-05 
 5.70000000e-01  1.94797710e-06  4.10367084e-05 
 5.80000000e-01  2.20228443e-06  4.59459488e-05 
 5.90000000e-01  2.47558699e-06  5.11663776e-05 
 6.00000000e-01  2.76782795e-06  5.66915864e-05 
 6.10000000e-01  3.07886288e-06  6.25138038e-05 
 6.20000000e-01  3.40846793e-06  6.86240845e-05 
 6.30000000e-01  3.75634792e-06  7.50124898e-05 
 6.40000000e-01  4.12214440e-06  8.16682587e-05 
 6.50000000e-01  4.50544323e-06  8.85799664e-05 
 6.60000000e-01  4.90578191e-06  9.57356686e-05 
 6.70000000e-01  5.32265632e-06  1.03123034e-04 
 6.80000000e-01  5.75552705e-06  1.10729462e-04 
 6.90000000e-01  6.20382522e-06  1.18542187e-04 
 7.00000000e-01  6.66695782e-06  1.26548376e-04 
 7.10000000e-01  7.14431258e-06  1.34735204e-04 
 7.20000000e-01  7.63526249e-06  1.43089934e-04 
 7.30000000e-01  8.13916980e-06  1.51599972e-04 
 7.40000000e-01  8.65538976e-06  1.60252924e-04 
 7.50000000e-01  9.18327390e-06  1.69036642e-04 
 7.60000000e-01  9.72217306e-06  1.77939261e-04 
 7.70000000e-01  1.02714400e-05  1.86949230e-04 
 7.80000000e-01  1.08304321e-05  1.96055340e-04 
 7.90000000e-01  1.13985128e-05  2.05246741e-04 
 8.00000000e-01  1.19750544e-05  2.14512962e-04 
 8.10000000e-01  1.25594389e-05  2.23843919e-04 
 8.20000000e-01  1.31510599e-05  2.33229923e-04 
 8.30000000e-01  1.37493237e-05  2.42661687e-04 
 8.40000000e-01  1.43536503e-05  2.52130324e-04 
 8.50000000e-01  1.49634741e-05  2.61627349e-04 
 8.60000000e-01  1.55782450e-05  2.71144674e-04 
 8.70000000e-01  1.61974287e-05  2.80674605e-04 
 8.80000000e-01  1.68205071e-05  2.90209834e-04 
 8.90000000e-01  1.74469786e-05  2.99743430e-04 
 9.00000000e-01  1.80763587e-05  3.09268833e-04 
 9.10000000e-01  1.87081796e-05  3.18779845e-04 
 9.20000000e-01  1.93419905e-05  3.28270616e-04 
 9.30000000e-01  1.99773575e-05  3.37735636e-04 
 9.40000000e-01  2.06138637e-05  3.47169724e-04 
 9.50000000e-01  2.12511089e-05  3.56568015e-04 
 9.60000000e-01  2.18887091e-05  3.65925950e-04 
 9.70000000e-01  2.25262971e-05  3.75239263e-04 
 9.80000000e-01  2.31635214e-05  3.84503973e-04 
 9.90000000e-01  2.38000463e-05  3.93716368e-04 
 1.00000000e+00  2.44355517e-05  4.02872995e-04 
 1.01000000e+00  2.50697326e-05  4.11970653e-04 
 1.02000000e+00  2.57022986e-05  4.21006374e-04 
 1.03000000e+00  2.63329739e-05  4.29977421e-04 
 1.04000000e+00  2.69614967e-05  4.38881272e-04 
 1.05000000e+00  2.75876189e-05  4.47715610e-04 
 1.06000000e+00  2.82111057e-05  4.56478316e-04 
 1.07000000e+00  2.88317351e-05  4.65167457e-04 
 1.08000000e+00  2.94492977e-05  4.73781277e-04 
 1.09000000e+00  3.00635963e-05  4.82318190e-04 
 1.10000000e+00  3.06744453e-05  4.90776768e-04 
 1.11000000e+00  3.12816704e-05  4.99155734e-04 
 1.12000000e+00  3.18851083e-05  5.07453957e-04 
 1.13000000e+00  3.24846064e-05  5.15670437e-04 
 1.14000000e+00  3.30800221e-05  5.23804307e-04 
 1.15000000e+00  3.36712224e-05  5.31854816e-04 
 1.16000000e+00  3.42580842e-05  5.39821330e-04 
 1.17000000e+00  3.48404931e-05  5.47703322e-04 
 1.18000000e+00  3.54183433e-05  5.55500365e-04 
 1.19000000e+00  3.59915378e-05  5.63212128e-04 
 1.20000000e+00  3.65599870e-05  5.70838367e-04 
