 v-sweep         id_hv           id_lv          
-3.00000000e-01  3.43272907e-16  2.67208627e-14 
-2.90000000e-01  3.46954676e-16  2.51423738e-14 
-2.80000000e-01  3.51789317e-16  2.37398038e-14 
-2.70000000e-01  3.57663218e-16  2.24673987e-14 
-2.60000000e-01  3.64818007e-16  2.13399024e-14 
-2.50000000e-01  3.73555552e-16  2.03781880e-14 
-2.40000000e-01  3.85326413e-16  1.97168628e-14 
-2.30000000e-01  3.98718405e-16  1.92074123e-14 
-2.20000000e-01  4.15204723e-16  1.89948803e-14 
-2.10000000e-01  4.35549844e-16  1.91551362e-14 
-2.00000000e-01  4.60716702e-16  1.97903604e-14 
-1.90000000e-01  4.91920140e-16  2.10378426e-14 
-1.80000000e-01  5.30695213e-16  2.30817542e-14 
-1.70000000e-01  5.79374472e-16  2.61689823e-14 
-1.60000000e-01  6.39601087e-16  3.06303439e-14 
-1.50000000e-01  7.14935477e-16  3.69091708e-14 
-1.40000000e-01  8.09338834e-16  4.55995008e-14 
-1.30000000e-01  9.27876436e-16  5.74976202e-14 
-1.20000000e-01  1.07698638e-15  7.36710380e-14 
-1.10000000e-01  1.26489211e-15  9.55515682e-14 
-1.00000000e-01  1.50209365e-15  1.25059992e-13 
-9.00000000e-02  1.80203168e-15  1.64774166e-13 
-8.00000000e-02  2.18191514e-15  2.18154837e-13 
-7.00000000e-02  2.66381197e-15  2.89849815e-13 
-6.00000000e-02  3.27604961e-15  3.86102946e-13 
-5.00000000e-02  4.05503811e-15  5.15305484e-13 
-4.00000000e-02  5.04760483e-15  6.88738212e-13 
-3.00000000e-02  6.31407109e-15  9.21571666e-13 
-2.00000000e-02  7.93219055e-15  1.23421408e-12 
-1.00000000e-02  1.00022868e-14  1.65412876e-12 
 8.67361738e-17  1.26539686e-14  2.21828524e-12 
 1.00000000e-02  1.60547773e-14  2.97646524e-12 
 2.00000000e-02  2.04215243e-14  3.99572435e-12 
 3.00000000e-02  2.60350363e-14  5.36641356e-12 
 4.00000000e-02  3.32593325e-14  7.21030933e-12 
 5.00000000e-02  4.25667308e-14  9.69159266e-12 
 6.00000000e-02  5.45705379e-14  1.30316802e-11 
 7.00000000e-02  7.00677990e-14  1.75292629e-11 
 8.00000000e-02  9.00951536e-14  2.35873892e-11 
 9.00000000e-02  1.16001928e-13  3.17500760e-11 
 1.00000000e-01  1.49545781e-13  4.27518135e-11 
 1.10000000e-01  1.93017974e-13  5.75845110e-11 
 1.20000000e-01  2.49407554e-13  7.75880807e-11 
 1.30000000e-01  3.22616612e-13  1.04573001e-10 
 1.40000000e-01  4.17742790e-13  1.40986176e-10 
 1.50000000e-01  5.41450057e-13  1.90135461e-10 
 1.60000000e-01  7.02455880e-13  2.56493662e-10 
 1.70000000e-01  9.12171429e-13  3.46110205e-10 
 1.80000000e-01  1.18554355e-12  4.67168711e-10 
 1.90000000e-01  1.54216252e-12  6.30742303e-10 
 2.00000000e-01  2.00772050e-12  8.51816898e-10 
 2.10000000e-01  2.61593234e-12  1.15067770e-09 
 2.20000000e-01  3.41106701e-12  1.55478788e-09 
 2.30000000e-01  4.45128517e-12  2.10133425e-09 
 2.40000000e-01  5.81304188e-12  2.84067625e-09 
 2.50000000e-01  7.59689713e-12  3.84101830e-09 
 2.60000000e-01  9.93518814e-12  5.19473699e-09 
 2.70000000e-01  1.30021643e-11  7.02694542e-09 
 2.80000000e-01  1.70273823e-11  9.50707667e-09 
 2.90000000e-01  2.23134160e-11  1.28645340e-08 
 3.00000000e-01  2.92592846e-11  1.74098030e-08 
 3.10000000e-01  3.83914548e-11  2.35628705e-08 
 3.20000000e-01  5.04048859e-11  3.18913656e-08 
 3.30000000e-01  6.62173907e-11  4.31615372e-08 
 3.40000000e-01  8.70416631e-11  5.84060036e-08 
 3.50000000e-01  1.14480747e-10  7.90130961e-08 
 3.60000000e-01  1.50654622e-10  1.06843433e-07 
 3.70000000e-01  1.98368110e-10  1.44379823e-07 
 3.80000000e-01  2.61333648e-10  1.94916235e-07 
 3.90000000e-01  3.44466953e-10  2.62789541e-07 
 4.00000000e-01  4.54279516e-10  3.53653137e-07 
 4.10000000e-01  5.99399738e-10  4.74783094e-07 
 4.20000000e-01  7.91264950e-10  6.35394886e-07 
 4.30000000e-01  1.04504040e-09  8.46933108e-07 
 4.40000000e-01  1.38083953e-09  1.12328208e-06 
