 v-sweep         id_narrow       id_wide        
 6.50000000e-01  3.49918432e-06  7.48982539e-05 
 6.60000000e-01  3.80113256e-06  8.04806732e-05 
 6.70000000e-01  4.11525510e-06  8.62222050e-05 
 6.80000000e-01  4.44112107e-06  9.21133495e-05 
 6.90000000e-01  4.77827818e-06  9.81446260e-05 
 7.00000000e-01  5.12625763e-06  1.04306636e-04 
 7.10000000e-01  5.48457847e-06  1.10590118e-04 
 7.20000000e-01  5.85275164e-06  1.16985991e-04 
 7.30000000e-01  6.23028345e-06  1.23485392e-04 
 7.40000000e-01  6.61667878e-06  1.30079705e-04 
 7.50000000e-01  7.01144380e-06  1.36760588e-04 
 7.60000000e-01  7.41408839e-06  1.43519986e-04 
 7.70000000e-01  7.82412828e-06  1.50350148e-04 
 7.80000000e-01  8.24108679e-06  1.57243631e-04 
 7.90000000e-01  8.66449638e-06  1.64193311e-04 
 8.00000000e-01  9.09389993e-06  1.71192375e-04 
 8.10000000e-01  9.52885174e-06  1.78234330e-04 
 8.20000000e-01  9.96891841e-06  1.85312991e-04 
 8.30000000e-01  1.04136795e-05  1.92422478e-04 
 8.40000000e-01  1.08627278e-05  1.99557209e-04 
 8.50000000e-01  1.13156700e-05  2.06711891e-04 
 8.60000000e-01  1.17721266e-05  2.13881512e-04 
 8.70000000e-01  1.22317320e-05  2.21061327e-04 
 8.80000000e-01  1.26941345e-05  2.28246853e-04 
 8.90000000e-01  1.31589964e-05  2.35433855e-04 
 9.00000000e-01  1.36259935e-05  2.42618338e-04 
 9.10000000e-01  1.40948147e-05  2.49796534e-04 
 9.20000000e-01  1.45651624e-05  2.56964895e-04 
 9.30000000e-01  1.50367517e-05  2.64120081e-04 
 9.40000000e-01  1.55093099e-05  2.71258952e-04 
 9.50000000e-01  1.59825767e-05  2.78378558e-04 
 9.60000000e-01  1.64563034e-05  2.85476132e-04 
 9.70000000e-01  1.69302529e-05  2.92549079e-04 
 9.80000000e-01  1.74041989e-05  2.99594968e-04 
 9.90000000e-01  1.78779260e-05  3.06611528e-04 
 1.00000000e+00  1.83512292e-05  3.13596635e-04 
 1.01000000e+00  1.88239133e-05  3.20548310e-04 
 1.02000000e+00  1.92957929e-05  3.27464707e-04 
 1.03000000e+00  1.97666921e-05  3.34344112e-04 
 1.04000000e+00  2.02364436e-05  3.41184932e-04 
 1.05000000e+00  2.07048894e-05  3.47985691e-04 
 1.06000000e+00  2.11718793e-05  3.54745022e-04 
 1.07000000e+00  2.16372715e-05  3.61461667e-04 
 1.08000000e+00  2.21009319e-05  3.68134463e-04 
 1.09000000e+00  2.25627340e-05  3.74762346e-04 
 1.10000000e+00  2.30225582e-05  3.81344339e-04 
 1.11000000e+00  2.34802922e-05  3.87879551e-04 
 1.12000000e+00  2.39358301e-05  3.94367170e-04 
 1.13000000e+00  2.43890723e-05  4.00806464e-04 
 1.14000000e+00  2.48399257e-05  4.07196768e-04 
 1.15000000e+00  2.52883026e-05  4.13537489e-04 
 1.16000000e+00  2.57341212e-05  4.19828097e-04 
 1.17000000e+00  2.61773052e-05  4.26068124e-04 
 1.18000000e+00  2.66177831e-05  4.32257159e-04 
 1.19000000e+00  2.70554886e-05  4.38394844e-04 
 1.20000000e+00  2.74903601e-05  4.44480874e-04 
