 v-sweep         id_hv           id_lv          
-3.00000000e-01  4.75435420e-17  2.54638675e-13 
-2.90000000e-01  4.75933142e-17  2.39736003e-13 
-2.80000000e-01  4.76592436e-17  2.25538252e-13 
-2.70000000e-01  4.77468384e-17  2.12047282e-13 
-2.60000000e-01  4.78635551e-17  1.99276196e-13 
-2.50000000e-01  4.80195088e-17  1.87252970e-13 
-2.40000000e-01  4.82284478e-17  1.76025365e-13 
-2.30000000e-01  4.85090941e-17  1.65667567e-13 
-2.20000000e-01  4.88869900e-17  1.56289270e-13 
-2.10000000e-01  4.93970446e-17  1.48048231e-13 
-2.00000000e-01  5.00870515e-17  1.41167093e-13 
-1.90000000e-01  5.10225540e-17  1.35957103e-13 
-1.80000000e-01  5.22935822e-17  1.32850297e-13 
-1.70000000e-01  5.40239965e-17  1.32444030e-13 
-1.60000000e-01  5.63844594e-17  1.35562709e-13 
-1.50000000e-01  5.96104683e-17  1.43342521e-13 
-1.40000000e-01  6.40274521e-17  1.57348768e-13 
-1.30000000e-01  7.00857406e-17  1.79737644e-13 
-1.20000000e-01  7.84093441e-17  2.13479477e-13 
-1.10000000e-01  8.98640718e-17  2.62667050e-13 
-1.00000000e-01  1.05652758e-16  3.32941155e-13 
-9.00000000e-02  1.27448520e-16  4.32078002e-13 
-8.00000000e-02  1.57581432e-16  5.70800632e-13 
-7.00000000e-02  1.99300278e-16  7.63899945e-13 
-6.00000000e-02  2.57141145e-16  1.03178353e-12 
-5.00000000e-02  3.37438367e-16  1.40261691e-12 
-4.00000000e-02  4.49059112e-16  1.91528411e-12 
-3.00000000e-02  6.04414609e-16  2.62348253e-12 
-2.00000000e-02  8.20916101e-16  3.60138866e-12 
-1.00000000e-02  1.12297523e-15  4.95149873e-12 
 8.67361738e-17  1.54489307e-15  6.81548338e-12 
 1.00000000e-02  2.13490532e-15  9.38921829e-12 
 2.00000000e-02  2.96085716e-15  1.29436033e-11 
 3.00000000e-02  4.11834224e-15  1.78534076e-11 
 4.00000000e-02  5.74209660e-15  2.46372440e-11 
 5.00000000e-02  8.02224769e-15  3.40129824e-11 
 6.00000000e-02  1.12272620e-14  4.69745840e-11 
