 v-sweep         id_hv           id_lv          
-3.00000000e-01  4.45119791e-16  1.33261145e-13 
-2.90000000e-01  4.68928268e-16  1.30688455e-13 
-2.80000000e-01  4.97895162e-16  1.29770867e-13 
-2.70000000e-01  5.33226098e-16  1.30887468e-13 
-2.60000000e-01  5.76430488e-16  1.34534866e-13 
-2.50000000e-01  6.30448167e-16  1.41362245e-13 
-2.40000000e-01  6.95502448e-16  1.52217298e-13 
-2.30000000e-01  7.75679313e-16  1.68205546e-13 
-2.20000000e-01  8.74749118e-16  1.90768331e-13 
-2.10000000e-01  9.97448680e-16  2.21784066e-13 
-2.00000000e-01  1.14978325e-15  2.63700687e-13 
-1.90000000e-01  1.33933586e-15  3.19708568e-13 
-1.80000000e-01  1.57573717e-15  3.93966411e-13 
-1.70000000e-01  1.87118943e-15  4.91896682e-13 
-1.60000000e-01  2.24122684e-15  6.20571709e-13 
-1.50000000e-01  2.70561089e-15  7.89219005e-13 
-1.40000000e-01  3.28955312e-15  1.00988231e-12 
-1.30000000e-01  4.02522138e-15  1.29828704e-12 
-1.20000000e-01  4.95375460e-15  1.67497351e-12 
-1.10000000e-01  6.12779925e-15  2.16678109e-12 
-1.00000000e-01  7.61483395e-15  2.80879305e-12 
-9.00000000e-02  9.50143567e-15  3.64688524e-12 
-8.00000000e-02  1.18988334e-14  4.74106760e-12 
-7.00000000e-02  1.49500703e-14  6.16986632e-12 
-6.00000000e-02  1.88393300e-14  8.03607211e-12 
-5.00000000e-02  2.38040100e-14  1.04742835e-11 
-4.00000000e-02  3.01504170e-14  1.36608073e-11 
-3.00000000e-02  3.82741845e-14  1.78266579e-11 
-2.00000000e-02  4.86868288e-14  2.32746287e-11 
-1.00000000e-02  6.20503241e-14  3.04017184e-11 
 8.67361738e-17  7.92221979e-14  3.97285993e-11 
 1.00000000e-02  1.01314289e-13  5.19383485e-11 
 2.00000000e-02  1.29769507e-13  6.79273675e-11 
 3.00000000e-02  1.66462015e-13  8.88723415e-11 
 4.00000000e-02  2.13828269e-13  1.16318313e-10 
 5.00000000e-02  2.75038338e-13  1.52294553e-10 
 6.00000000e-02  3.54220166e-13  1.99467044e-10 
 7.00000000e-02  4.56753337e-13  2.61339175e-10 
 8.00000000e-02  5.89654044e-13  3.42515962e-10 
 9.00000000e-02  7.62080006e-13  4.49051962e-10 
 1.00000000e-01  9.85992991e-13  5.88909472e-10 
 1.10000000e-01  1.27702887e-12  7.72562052e-10 
 1.20000000e-01  1.65564071e-12  1.01378970e-09 
 1.30000000e-01  2.14860157e-12  1.33072654e-09 
 1.40000000e-01  2.79098131e-12  1.74724127e-09 
 1.50000000e-01  3.62874851e-12  2.29475633e-09 
 1.60000000e-01  4.72219687e-12  3.01464505e-09 
 1.70000000e-01  6.15046008e-12  3.96139024e-09 
 1.80000000e-01  8.01746384e-12  5.20674536e-09 
 1.90000000e-01  1.04597770e-11  6.84521484e-09 
 2.00000000e-01  1.36569728e-11  9.00126839e-09 
 2.10000000e-01  1.78453096e-11  1.18388318e-08 
 2.20000000e-01  2.33358042e-11  1.55737606e-08 
 2.30000000e-01  3.05381182e-11  2.04902126e-08 
 2.40000000e-01  3.99921445e-11  2.69621003e-08 
 2.50000000e-01  5.24097922e-11  3.54811294e-08 
 2.60000000e-01  6.87302907e-11  4.66933290e-08 
