 v-sweep         id_hv           id_lv          
 6.10000000e-01  5.74734865e-06  1.13197319e-04 
 6.20000000e-01  6.44005990e-06  1.20215987e-04 
 6.30000000e-01  7.17614282e-06  1.27361989e-04 
 6.40000000e-01  7.95414134e-06  1.34623757e-04 
 6.50000000e-01  8.77241126e-06  1.41989982e-04 
 6.60000000e-01  9.62917002e-06  1.49449652e-04 
 6.70000000e-01  1.05225410e-05  1.56992091e-04 
 6.80000000e-01  1.14505918e-05  1.64606988e-04 
 6.90000000e-01  1.24113667e-05  1.72284414e-04 
 7.00000000e-01  1.34029130e-05  1.80014845e-04 
 7.10000000e-01  1.44233025e-05  1.87789169e-04 
 7.20000000e-01  1.54706477e-05  1.95598695e-04 
 7.30000000e-01  1.65431147e-05  2.03435152e-04 
 7.40000000e-01  1.76389327e-05  2.11290692e-04 
 7.50000000e-01  1.87564001e-05  2.19157885e-04 
 7.60000000e-01  1.98938894e-05  2.27029714e-04 
 7.70000000e-01  2.10498489e-05  2.34899567e-04 
 7.80000000e-01  2.22228044e-05  2.42761224e-04 
 7.90000000e-01  2.34113590e-05  2.50608854e-04 
 8.00000000e-01  2.46141914e-05  2.58436995e-04 
 8.10000000e-01  2.58300552e-05  2.66240546e-04 
 8.20000000e-01  2.70577759e-05  2.74014752e-04 
 8.30000000e-01  2.82962486e-05  2.81755194e-04 
 8.40000000e-01  2.95444353e-05  2.89457767e-04 
 8.50000000e-01  3.08013616e-05  2.97118677e-04 
 8.60000000e-01  3.20661138e-05  3.04734416e-04 
 8.70000000e-01  3.33378357e-05  3.12301758e-04 
 8.80000000e-01  3.46157258e-05  3.19817737e-04 
 8.90000000e-01  3.58990337e-05  3.27279639e-04 
 9.00000000e-01  3.71870576e-05  3.34684989e-04 
 9.10000000e-01  3.84791412e-05  3.42031533e-04 
 9.20000000e-01  3.97746711e-05  3.49317233e-04 
 9.30000000e-01  4.10730739e-05  3.56540248e-04 
 9.40000000e-01  4.23738141e-05  3.63698927e-04 
 9.50000000e-01  4.36763911e-05  3.70791798e-04 
 9.60000000e-01  4.49803376e-05  3.77817554e-04 
 9.70000000e-01  4.62852171e-05  3.84775046e-04 
 9.80000000e-01  4.75906220e-05  3.91663272e-04 
 9.90000000e-01  4.88961715e-05  3.98481367e-04 
 1.00000000e+00  5.02015103e-05  4.05228597e-04 
 1.01000000e+00  5.15063065e-05  4.11904347e-04 
 1.02000000e+00  5.28102503e-05  4.18508115e-04 
 1.03000000e+00  5.41130523e-05  4.25039506e-04 
 1.04000000e+00  5.54144424e-05  4.31498219e-04 
 1.05000000e+00  5.67141686e-05  4.37884048e-04 
 1.06000000e+00  5.80119955e-05  4.44196870e-04 
 1.07000000e+00  5.93077034e-05  4.50436640e-04 
 1.08000000e+00  6.06010873e-05  4.56603388e-04 
 1.09000000e+00  6.18919558e-05  4.62697209e-04 
 1.10000000e+00  6.31801303e-05  4.68718262e-04 
 1.11000000e+00  6.44654443e-05  4.74666765e-04 
 1.12000000e+00  6.57477423e-05  4.80542985e-04 
 1.13000000e+00  6.70268795e-05  4.86347242e-04 
 1.14000000e+00  6.83027207e-05  4.92079899e-04 
 1.15000000e+00  6.95751400e-05  4.97741360e-04 
 1.16000000e+00  7.08440200e-05  5.03332067e-04 
 1.17000000e+00  7.21092514e-05  5.08852496e-04 
 1.18000000e+00  7.33707325e-05  5.14303156e-04 
 1.19000000e+00  7.46283685e-05  5.19684581e-04 
 1.20000000e+00  7.58820713e-05  5.24997335e-04 
 1.21000000e+00  7.71317591e-05  5.30242000e-04 
 1.22000000e+00  7.83773558e-05  5.35419183e-04 
 1.23000000e+00  7.96187909e-05  5.40529508e-04 
 1.24000000e+00  8.08559990e-05  5.45573615e-04 
 1.25000000e+00  8.20889193e-05  5.50552158e-04 
 1.26000000e+00  8.33174959e-05  5.55465807e-04 
 1.27000000e+00  8.45416768e-05  5.60315238e-04 
 1.28000000e+00  8.57614143e-05  5.65101141e-04 
 1.29000000e+00  8.69766643e-05  5.69824212e-04 
 1.30000000e+00  8.81873861e-05  5.74485154e-04 
 1.31000000e+00  8.93935426e-05  5.79084675e-04 
 1.32000000e+00  9.05950997e-05  5.83623487e-04 
 1.33000000e+00  9.17920261e-05  5.88102307e-04 
 1.34000000e+00  9.29842936e-05  5.92521853e-04 
 1.35000000e+00  9.41718763e-05  5.96882844e-04 
 1.36000000e+00  9.53547510e-05  6.01185999e-04 
 1.37000000e+00  9.65328965e-05  6.05432039e-04 
 1.38000000e+00  9.77062940e-05  6.09621681e-04 
 1.39000000e+00  9.88749268e-05  6.13755641e-04 
 1.40000000e+00  1.00038780e-04  6.17834635e-04 
 1.41000000e+00  1.01197841e-04  6.21859373e-04 
 1.42000000e+00  1.02352097e-04  6.25830562e-04 
 1.43000000e+00  1.03501540e-04  6.29748907e-04 
 1.44000000e+00  1.04646162e-04  6.33615106e-04 
 1.45000000e+00  1.05785954e-04  6.37429855e-04 
 1.46000000e+00  1.06920913e-04  6.41193842e-04 
 1.47000000e+00  1.08051035e-04  6.44907752e-04 
 1.48000000e+00  1.09176315e-04  6.48572262e-04 
 1.49000000e+00  1.10296753e-04  6.52188046e-04 
 1.50000000e+00  1.11412347e-04  6.55755768e-04 
 1.51000000e+00  1.12523099e-04  6.59276089e-04 
 1.52000000e+00  1.13629010e-04  6.62749660e-04 
 1.53000000e+00  1.14730081e-04  6.66177128e-04 
 1.54000000e+00  1.15826317e-04  6.69559132e-04 
 1.55000000e+00  1.16917720e-04  6.72896304e-04 
 1.56000000e+00  1.18004296e-04  6.76189267e-04 
 1.57000000e+00  1.19086049e-04  6.79438640e-04 
 1.58000000e+00  1.20162987e-04  6.82645033e-04 
 1.59000000e+00  1.21235115e-04  6.85809047e-04 
 1.60000000e+00  1.22302441e-04  6.88931279e-04 
 1.61000000e+00  1.23364973e-04  6.92012314e-04 
 1.62000000e+00  1.24422719e-04  6.95052734e-04 
 1.63000000e+00  1.25475688e-04  6.98053111e-04 
 1.64000000e+00  1.26523890e-04  7.01014009e-04 
 1.65000000e+00  1.27567334e-04  7.03935986e-04 
 1.66000000e+00  1.28606030e-04  7.06819591e-04 
 1.67000000e+00  1.29639990e-04  7.09665366e-04 
 1.68000000e+00  1.30669224e-04  7.12473847e-04 
 1.69000000e+00  1.31693743e-04  7.15245559e-04 
 1.70000000e+00  1.32713560e-04  7.17981023e-04 
 1.71000000e+00  1.33728686e-04  7.20680751e-04 
