deck,cap1_max,fout_hi,fout_lo,freq,i12_avg,i33_avg,t_a,t_b,t_half_a,vref_avg,vth_avg
ftemp_ptat_T-40,1.08661,1.21885,-0.010391,1196826.0,-1.92903e-07,-4.58883e-05,7.1949e-06,2.05636e-05,4.17346e-07,1.04343,1.04346
ftemp_ptat_T100,1.10273,1.21251,-0.00672352,1888622.0,-3.07856e-07,-7.23085e-05,4.91006e-06,1.33818e-05,2.64412e-07,1.04843,1.04855
ftemp_ptat_T125,1.10607,1.21158,-0.00609187,2007601.0,-3.30722e-07,-7.70031e-05,4.67614e-06,1.26459e-05,2.48741e-07,1.04973,1.04988
ftemp_ptat_T175,1.11842,1.20888,-0.00493675,2248501.0,-3.99692e-07,-8.69968e-05,4.27878e-06,1.13946e-05,2.2208e-07,1.05773,1.05798
ftemp_ptat_T25,1.09418,1.21551,-0.0086022,1522434.0,-2.44952e-07,-5.8186e-05,5.86013e-06,1.63696e-05,3.28042e-07,1.04591,1.04596
ftemp_ptat_T27,1.09447,1.21517,-0.00850026,1532334.0,-2.47042e-07,-5.85611e-05,5.82849e-06,1.62701e-05,3.25923e-07,1.04597,1.04602
ftemp_ref_T-40,0.860198,1.21886,-0.0104207,1505943.0,-2.42181e-07,-4.26285e-05,5.92369e-06,1.65483e-05,3.31692e-07,1.03811,0.811385
ftemp_ref_T125,1.45695,1.21155,-0.00598229,1523803.0,-2.52788e-07,-7.61882e-05,5.87115e-06,1.63712e-05,3.2785e-07,1.03399,1.39942
ftemp_ref_T175,1.657,1.20938,-0.00480802,1514878.0,-2.79402e-07,-8.57353e-05,5.9019e-06,1.64638e-05,3.29842e-07,1.0353,1.59499
ftemp_ref_T27,1.10019,1.21532,-0.00854158,1524180.0,-2.45246e-07,-5.85499e-05,5.86719e-06,1.63646e-05,3.27707e-07,1.03786,1.0517
