n_sub,seed,crossing_cycles,settled_std
256,40001,433949,0.20384304248200424
256,40002,471361,0.35263984201586657
256,40003,556367,0.342377200803706
256,40004,438491,0.32039201318169247
256,40005,421055,0.5030656891514794
256,40006,531837,0.27902644610712574
256,40007,426967,0.36975112476852745
256,40008,454751,0.4475155547504573
256,40009,483901,0.3440602993803626
256,40010,378035,0.39543144332643543
