group,seed,sigma_n_mV,crossing_cycle,total_cycles,num_windows,settled_std_rw2_plus,rw_1_std,rw_2_std,rw_3_std,rw_4_std,rw_5_std,rw_6_std,rw_7_std,rw_8_std
Group 0 (11.5 mV),501,11.5,7079,257079,4,1.573513474223615,1.7393675682845189,1.6131876022335405,1.4119980338513225,1.6953547865859817,,,,
Group 0 (11.5 mV),502,11.5,8413,258413,4,1.5619494891870493,1.6176304743667511,1.4426294304498297,1.548315429232687,1.694903607878631,,,,
Group 0 (11.5 mV),503,11.5,7605,257605,4,1.5413725896503252,1.7299159211938597,1.388206847843649,1.7434182744252742,1.4924926466820532,,,,
Group 0 (11.5 mV),504,11.5,7811,257811,4,1.3978094203662315,1.8312945557719544,1.3526872330291286,1.4965811619822025,1.3441598660873637,,,,
Group 0 (11.5 mV),505,11.5,9035,259035,4,1.5285869199076965,1.2919318248266818,1.359941310351296,1.463550105599395,1.7622693437723986,,,,
Group 0 (11.5 mV),506,11.5,8171,258171,4,1.5610013722522558,1.4742522811242313,1.5387132993511168,1.7717285199488098,1.3725622974568406,,,,
Group 0 (11.5 mV),507,11.5,7829,257829,4,1.5210661133281895,1.245715677191228,1.4480016662973838,1.657070845920596,1.458125827766589,,,,
Group 0 (11.5 mV),508,11.5,9055,259055,4,1.4805181166011934,1.4613905967947105,1.5871141548105479,1.327038431998109,1.5274017629949235,,,,
Group 0 (11.5 mV),509,11.5,7419,257419,4,1.4904154829085943,1.5941564438912514,1.3207514187007334,1.5209893852358076,1.629505644789241,,,,
Group 0 (11.5 mV),510,11.5,10123,260123,4,1.3581550832053686,1.6186172803970678,1.2991037101016993,1.38143184616542,1.3939296933489866,,,,
Group 1 (23.0 mV),101,23.0,10763,260763,4,2.120456415671716,1.910482976003712,1.7588441277156996,2.459430415279115,2.143094704020333,,,,
Group 1 (23.0 mV),102,23.0,11211,261211,4,1.9557951044569049,2.091816374254681,1.7389354150169005,1.7438270968189475,2.384622801534867,,,,
Group 1 (23.0 mV),103,23.0,12809,262809,4,1.7281518173587729,2.4107157475737364,2.2034960468310354,1.576076560450031,1.404882844795252,,,,
Group 1 (23.0 mV),104,23.0,11967,261967,4,2.0887526602767252,1.7889419119691954,2.1756030682089045,2.229941231153862,1.8607136814674092,,,,
Group 1 (23.0 mV),105,23.0,11047,261047,4,1.7044417681773254,2.1511415364870814,1.8542999865178236,1.3961930684543595,1.8628322495597935,,,,
Group 1 (23.0 mV),106,23.0,14931,264931,4,2.0096348079097424,1.5196386223046583,1.7887264367700277,2.4175195075945095,1.822658479364689,,,,
Group 1 (23.0 mV),107,23.0,12925,262925,4,2.263045454669296,2.447004470694731,2.832999080197521,1.8584216657152919,2.0977156180950747,,,,
Group 1 (23.0 mV),108,23.0,14009,264009,4,2.2638355321217163,1.5373479230154767,2.213701693002018,2.4487734424401126,2.129031460923018,,,,
Group 1 (23.0 mV),109,23.0,14357,264357,4,2.0723386628496354,1.9343491472844296,2.2208311488269428,1.9253156001030063,2.070869239618958,,,,
Group 1 (23.0 mV),110,23.0,11223,261223,4,2.25961333815775,2.0326395052738695,2.1103242882552435,2.6986147130703926,1.969901013147615,,,,
Group 2 (45.5 mV),201,45.5,19037,269037,4,2.050559015040006,2.7500522848847804,2.207704506948337,1.858218804769772,2.085753733401909,,,,
Group 2 (45.5 mV),202,45.5,29475,279475,4,2.6755709343701906,3.0959184531250172,2.479227637067641,2.8101838060169655,2.7373013600259655,,,,
Group 2 (45.5 mV),203,45.5,23133,273133,4,2.476161877520633,2.4536033775653308,2.3791125215088087,2.087517896833462,2.9618552142196286,,,,
Group 2 (45.5 mV),204,45.5,18105,268105,4,2.603882162463958,3.393749485097567,1.863338844010933,4.01513865583743,1.93316898754351,,,,
Group 2 (45.5 mV),205,45.5,28051,278051,4,3.4073138512917556,1.6136986975268959,2.7494141071144593,3.000778799978432,4.471748646782375,,,,
Group 3 (90.0 mV),301,90.0,44127,294127,4,4.176997547302604,2.128823938234442,5.239265145075214,4.047161777048207,3.24456571978439,,,,
Group 3 (90.0 mV),302,90.0,45131,295131,4,3.2139307031130557,2.8081268344574464,3.272968799118012,2.663552219949892,3.7052710902712636,,,,
Group 3 (90.0 mV),303,90.0,32593,282593,4,3.163491487672634,3.0794399994154786,2.921001669016983,3.617191079055681,2.9522817149452387,,,,
Group 3 (90.0 mV),304,90.0,39861,289861,4,3.256720141356944,4.628287385675181,3.2297777304947783,3.925856286671737,2.6145264069043175,,,,
Group 3 (90.0 mV),305,90.0,45637,295637,4,2.9914426253899458,2.9998693195537705,2.0130023021347987,3.9499784493082997,3.011347124726739,,,,
Group 3 (90.0 mV),306,90.0,36589,286589,4,3.1612262074513797,3.2515318309375347,2.9018206254694654,3.665445950276719,2.9164120466079546,,,,
Group 3 (90.0 mV),307,90.0,74541,324541,4,3.8718098129593734,2.671039095483254,3.9537172066297304,3.68369775872017,3.9780144735282197,,,,
Group 3 (90.0 mV),308,90.0,44581,294581,4,2.7843101494390496,2.6051837671074187,3.2089283584399326,3.045523697231726,2.0984783926454904,,,,
Group 3 (90.0 mV),309,90.0,47339,297339,4,3.5773556734917302,4.889760708091961,3.003731252891976,3.11005142536261,4.618284342220605,,,,
Group 3 (90.0 mV),310,90.0,40795,290795,4,3.826575580336604,3.657253852332375,4.212580290320886,4.129576721360192,3.137569729328736,,,,
Group 3 (90.0 mV),311,90.0,50105,300105,4,3.831253500153108,2.6445293267422842,4.762069536283569,3.6966672877606936,3.0350236764150624,,,,
Group 3 (90.0 mV),312,90.0,46311,296311,4,4.153186100682951,3.2319532112949902,4.162949498804903,3.150280500463411,5.146328302780536,,,,
Group 3 (90.0 mV),313,90.0,32095,282095,4,2.865316208330538,3.499302788613755,3.2995534512415463,2.163299450284218,3.1330957234658503,,,,
Group 3 (90.0 mV),314,90.0,34405,284405,4,3.2553979585163924,5.445730023091487,2.850418859325766,3.3167531095937783,3.599021906629633,,,,
Group 3 (90.0 mV),315,90.0,32887,282887,4,4.126581656359771,3.2911578129892223,3.8401111041739404,4.67265655729158,3.8669773076137908,,,,
Group 3 (90.0 mV),316,90.0,47963,297963,4,3.3279984044664306,4.563815929679899,3.1806316649998942,3.3013471237662966,3.5020164246331,,,,
Group 3 (90.0 mV),317,90.0,37579,287579,4,3.4618611089646496,3.9180865199227033,3.683520251064191,3.933751255532052,2.7683118202977064,,,,
Group 3 (90.0 mV),318,90.0,37331,287331,4,2.900740690347886,4.100598858703446,3.000644457445767,2.217125994705759,3.484451618892132,,,,
Group 3 (90.0 mV),319,90.0,41639,291639,4,4.4025331760293165,2.7869729062909814,4.1800247688739836,3.454109038174678,5.573465721039288,,,,
Group 3 (90.0 mV),320,90.0,34187,284187,4,3.1003211443291256,2.9242839533807246,2.918580941142459,2.5370722552580167,3.8453102365869,,,,
Group 6 (128.0 mV),801,128.0,51011,501011,8,3.591317217096202,6.035614953888294,5.073311130179185,4.065686677106341,3.528617683796305,4.2625001478005835,2.784910143182361,2.834813517394046,2.58938122021459
Group 6 (128.0 mV),802,128.0,85671,535671,8,3.927437310702651,5.620770054005056,2.7525118796473884,4.951997575726385,5.976994066953722,2.2439824954753993,3.8764611193200427,4.900210828076686,2.789903209718932
Group 6 (128.0 mV),803,128.0,57223,507223,8,3.004636425385191,2.4668989764479616,2.651835502515192,2.152847505607399,2.908117904349822,3.2769703246138806,2.771614626891697,3.2872806117519078,3.9837885019664387
Group 6 (128.0 mV),804,128.0,50983,500983,8,4.005048652842025,2.8318023783449293,3.7180976811267348,4.07918189837129,5.3746329176977286,5.089663771841908,4.351458208738768,2.583347409854122,2.838958682263622
Group 6 (128.0 mV),805,128.0,74501,524501,8,3.795762926750143,7.587270902636863,5.047997851623949,3.0800917908400067,2.9115568671073557,4.003466996242133,3.187070838497318,5.404757479998524,2.9353986629417133
Group 6 (128.0 mV),806,128.0,56735,506735,8,3.692965990678457,4.767035701103989,4.942493872166156,4.490586069724085,2.8647715988539124,3.8368296921286458,2.788619857563953,3.325084617209012,3.6023762271034374
