seed,std_py_fixed,std_c_fixed,delta_c_minus_py,pct_delta
201,3.071764025239299,2.970793357704506,-0.100970667534793,-3.2870580781974974
202,3.0895931183570577,3.2030944088918076,0.11350129053474989,3.673664660254878
203,2.9630655919778053,2.986090354397821,0.0230247624200155,0.7770588164620004
204,3.0891083511670194,3.1143186158674463,0.025210264700426865,0.8161016654175565
205,3.0800481418903103,3.0543460351971023,-0.025702106693207938,-0.8344709403611416
206,3.10235463253309,3.111792608655384,0.009437976122294245,0.3042197698265103
207,3.084014006745915,3.0509412772777624,-0.03307272946815276,-1.0723923236343962
208,3.174989537656491,3.020647745560631,-0.15434179209586008,-4.861174824839963
209,3.0434270172203455,3.067957696175111,0.024530678954765683,0.8060215939454431
210,3.0726285814512324,3.040202667535331,-0.03242591391590155,-1.0553151172142803
211,3.0367121819345395,3.1768253216000244,0.1401131396654849,4.613974959465065
212,3.039146794242734,3.039927666232798,0.000780871990063936,0.02569378983414674
213,3.0412872874991477,3.103682880840112,0.06239559334096434,2.051617865810772
214,3.092883875875769,2.892411219626546,-0.20047265624922295,-6.4817388655582135
215,3.0999767015932242,3.1287497620671227,0.028773060473898493,0.9281702168635867
216,3.111173682977873,3.102384758424959,-0.008788924552913802,-0.282495464685901
217,3.015825589423487,3.102610450953863,0.08678486153037612,2.8776485561609064
218,2.9849339529412577,3.3055296076771064,0.3205956547358486,10.740460586069048
219,3.2090679988711974,2.932448934707992,-0.2766190641632056,-8.619919062497505
220,3.091044867749388,3.072276263562238,-0.018768604187150206,-0.6071928745834013
