group,seed,sigma_n_mV,crossing_cycle,total_cycles,rw_1_std,rw_2_std,rw_3_std,rw_4_std,rw_5_std,rw_6_std,rw_7_std,rw_8_std
Group 4 Ext (180.0 mV),601,180.0,86837,536837,2.9131736282617964,4.68558952209858,5.475342318978787,4.436571041288531,3.7365949057397163,4.065024706247184,5.300708402128908,4.186109444866439
Group 4 Ext (180.0 mV),602,180.0,73635,523635,2.4334840126863377,2.168063016058343,3.6792382250134334,4.8120520661771735,3.659159417133941,2.8796066975196455,3.8261386469389738,5.8531456573709155
Group 4 Ext (180.0 mV),603,180.0,62351,512351,1.7955526351516404,3.5585234241184924,4.9688964962051685,4.829110761372118,7.462744482186162,5.144749527975098,3.3456891642231206,3.1604736591213665
Group 4 Ext (180.0 mV),604,180.0,107905,557905,2.921197618511969,4.5403034766852315,2.88443233125688,3.7588411831307798,5.335823512486147,3.5011942353431356,5.297727530592716,2.0820010063398144
Group 4 Ext (180.0 mV),605,180.0,87919,537919,1.8963847778338656,3.6263603725498657,4.168949236966073,5.662074090331211,4.603202927310505,4.561832101425917,4.012582840216511,3.21715973311864
Group 4 Ext (180.0 mV),606,180.0,102469,552469,3.4484937648776457,2.857917887973691,4.394124522541436,2.2813744277518326,3.6164510373569283,2.2766274706240366,3.8165996107006035,4.0469353097869005
Group 4 Ext (180.0 mV),607,180.0,57229,507229,2.9617855800850945,3.4017529315927693,6.378462069684196,3.4043606905849444,3.2996672607400885,2.7723742748049007,3.900384365879855,2.540997997323099
Group 4 Ext (180.0 mV),608,180.0,68077,518077,2.9520106446962555,4.324607046935017,5.101466474612962,2.5789493016342915,3.1236827592442866,5.59013732926124,2.635271649299176,3.602166949989964
Group 4 Ext (180.0 mV),609,180.0,56617,506617,4.318748019322267,2.85378975924997,4.432745023120549,4.1222192061558305,2.0781610482347124,5.510799392864886,4.115629456401535,2.489992133642193
Group 4 Ext (180.0 mV),610,180.0,63979,513979,3.1489912614041975,3.038998171503234,3.3053883969058764,3.085937806502263,3.3598292982828752,4.201787323270896,3.3721725483136242,5.73481992320596
Group 6 (128.0 mV),801,128.0,51011,301011,6.035614953888294,5.073311130179185,4.065686677106341,3.528617683796305,,,,
Group 6 (128.0 mV),802,128.0,85671,335671,5.620770054005056,2.7525118796473884,4.951997575726385,5.976994066953722,,,,
Group 6 (128.0 mV),803,128.0,57223,307223,2.4668989764479616,2.651835502515192,2.152847505607399,2.908117904349822,,,,
Group 6 (128.0 mV),804,128.0,50983,300983,2.8318023783449293,3.7180976811267348,4.07918189837129,5.3746329176977286,,,,
Group 6 (128.0 mV),805,128.0,74501,324501,7.587270902636863,5.047997851623949,3.0800917908400067,2.9115568671073557,,,,
Group 6 (128.0 mV),806,128.0,56735,306735,4.767035701103989,4.942493872166156,4.490586069724085,2.8647715988539124,,,,
Group 6 (128.0 mV),807,128.0,59261,309261,2.864764762698676,2.4661813068791187,2.9500849951145476,3.6515094853498598,,,,
Group 6 (128.0 mV),808,128.0,46473,296473,2.589421156629412,3.40680390225208,3.069002209122698,4.844956338131439,,,,
Group 6 (128.0 mV),809,128.0,55201,305201,2.008039329893715,3.990319415335068,3.859904479595318,3.5152706168942385,,,,
Group 6 (128.0 mV),810,128.0,61301,311301,3.2773101482160643,3.950817028160125,3.697976034481565,3.7923326771790475,,,,
