group,seed,sigma_n_mV,M_target,crossing_cycle,crossing_time_us,std_w1_100k_150k,std_w2_150k_200k,std_w3_200k_250k,std_w4_250k_300k
Group 0 (11.5 mV),501,11.5,114727,7079,1.4158000000000002,1.6874837006620245,1.2866310980230502,1.791451236958461,1.3800173145290606
Group 0 (11.5 mV),502,11.5,114727,8413,1.6826,1.4779987680644393,1.565804196698936,1.7435115091102782,1.5739407255675164
Group 0 (11.5 mV),503,11.5,114727,7605,1.5210000000000001,1.3570872337473372,1.737906510258823,1.471572387753997,1.6158186976266862
Group 0 (11.5 mV),504,11.5,114727,7811,1.5622,1.5134146069071752,1.480941559414145,1.3453011224257565,1.5529178749695682
Group 0 (11.5 mV),505,11.5,114727,9035,1.807,1.3312062596006675,1.4401129600139013,1.6184480343835572,1.4546274463243156
Group 0 (11.5 mV),506,11.5,114727,8171,1.6341999999999999,1.4770509915368528,1.8118348223831002,1.3707440278914222,1.6216352117538642
Group 0 (11.5 mV),507,11.5,114727,7829,1.5658,1.4025128122052932,1.7058098740481016,1.4537433576804402,1.366230302694242
Group 0 (11.5 mV),508,11.5,114727,9055,1.8110000000000002,1.5003849467386694,1.437513405154888,1.643650220576142,1.5672029646475276
Group 0 (11.5 mV),509,11.5,114727,7419,1.4838,1.4277822937689066,1.5060011143422172,1.635968697866802,1.3048746108343132
Group 0 (11.5 mV),510,11.5,114727,10123,2.0246,1.4419198041500088,1.302090267838601,1.4066484422200167,1.3333887769139203
Group 1 (23.0 mV),101,23.0,114727,10763,2.1526,1.81331967793878,2.4136309494203956,1.9033303737396723,2.2315228791119304
Group 1 (23.0 mV),102,23.0,114727,11211,2.2422,1.8466000758150098,1.5310775478727392,2.2460490444333576,2.0387861831001306
Group 1 (23.0 mV),103,23.0,114727,12809,2.5618000000000003,2.2911054623478164,1.5799786366910153,1.498954846417997,1.5258914193349409
Group 1 (23.0 mV),104,23.0,114727,11967,2.3934,2.1016951771367793,2.1658410651753743,1.998567128319687,2.1570019634668856
Group 1 (23.0 mV),105,23.0,114727,11047,2.2094,2.043673679529097,1.4592347797390248,1.8320586890162662,2.229855147851537
Group 1 (23.0 mV),106,23.0,114727,14931,2.9862,1.9187782608733088,2.200872972617911,1.8687776966776972,2.0652037953674207
Group 1 (23.0 mV),107,23.0,114727,12925,2.5850000000000004,2.8747514757975168,2.181585350060822,2.0988381127662037,1.9392877825634853
Group 1 (23.0 mV),108,23.0,114727,14009,2.8018,1.7570247022737047,2.4115977505380117,2.169085742888003,2.4247556495449185
Group 1 (23.0 mV),109,23.0,114727,14357,2.8714,1.822789499640592,2.30353186216297,2.0291475032633777,2.2007149739118876
Group 1 (23.0 mV),110,23.0,114727,11223,2.2446,2.1005722838312417,2.4430285728169454,2.0057614514193856,2.732484267182521
Group 2 (45.5 mV),201,45.5,114727,19037,3.8074000000000003,2.5464433788325236,2.2359717915036406,1.6848708435960307,3.1321959549811056
Group 2 (45.5 mV),202,45.5,114727,29475,5.8950000000000005,2.7173135530519845,3.0287739485805147,3.3208565660684597,2.2366459800334964
Group 2 (45.5 mV),203,45.5,114727,23133,4.6266,2.6308898801736267,2.379636475682788,2.8984072933940808,2.4063617542672175
Group 2 (45.5 mV),204,45.5,114727,18105,3.621,2.4397566723753417,2.8726320875461933,2.313946350199157,2.613239093538898
Group 2 (45.5 mV),205,45.5,114727,28051,5.6102,2.4778422842465173,2.7013458441302918,4.208748760570058,3.103819879052262
Group 3 (90.0 mV),301,90.0,114727,44127,8.8254,2.107650739567635,5.535757283371445,3.7270878446315163,3.2235496235671635
Group 3 (90.0 mV),302,90.0,114727,45131,9.0262,2.766289363822953,3.429541092974394,2.6870661115052603,3.081339012572294
Group 3 (90.0 mV),303,90.0,114727,32593,6.5186,2.1612392578333384,3.1774294918377026,3.907242722125156,4.1396440596263835
Group 3 (90.0 mV),304,90.0,114727,39861,7.9722,3.2078805723405597,3.4036316862433873,3.304256246177043,4.349311766751149
Group 3 (90.0 mV),305,90.0,114727,45637,9.1274,2.8560747191906586,2.030594552932712,4.093561627287416,3.0033393168937805
Group 3 (90.0 mV),306,90.0,114727,36589,7.3178,3.248545465281347,3.0148633268524794,3.383748869582375,2.6816157991778016
Group 3 (90.0 mV),307,90.0,114727,74541,14.9082,2.4427448138518275,3.7232318412368572,3.849096982722051,3.4577804737143163
Group 3 (90.0 mV),308,90.0,114727,44581,8.916200000000002,2.5822101463668674,2.5062357730269516,2.8198127529323647,2.417519450676664
Group 3 (90.0 mV),309,90.0,114727,47339,9.4678,4.892000971994998,3.1292248852391547,3.0325234956385745,4.608475045652304
Group 3 (90.0 mV),310,90.0,114727,40795,8.159,3.731424978155128,4.821787329362422,4.208700944994786,3.0873786990908645
Group 3 (90.0 mV),311,90.0,114727,50105,10.021,2.6366375914031113,4.751564774513761,3.704085278445949,3.0507421784870643
Group 3 (90.0 mV),312,90.0,114727,46311,9.2622,3.1188450057032333,4.120073278523089,3.0498424811783313,5.129612699570992
Group 3 (90.0 mV),313,90.0,114727,32095,6.419,3.4244347106639363,2.2264511484422917,3.031975712567632,3.482593258133944
