group,seed,sigma_n_mV,M_target,crossing_cycle,crossing_time_us,std_w1_100k_150k,std_w2_150k_200k,std_w3_200k_250k,std_w4_250k_300k
Group 3 (90.0 mV),314,90.0,114727,34405,6.881,3.4471567283777507,2.832642694799328,4.658987508719035,3.478687971290325
Group 3 (90.0 mV),315,90.0,114727,32887,6.5774,2.713135195746795,4.237786015881406,4.94965221097402,4.566733230833612
Group 3 (90.0 mV),316,90.0,114727,47963,9.592600000000001,4.725019728043471,3.088227721590492,3.3227303565591955,3.4449966325672947
Group 3 (90.0 mV),317,90.0,114727,37579,7.5158000000000005,3.084001577107249,2.10481188746168,3.5657597742416693,2.861511287134824
Group 3 (90.0 mV),318,90.0,114727,37331,7.466200000000001,3.5563155801475212,2.81484129541969,2.3299809015526285,3.512411062731696
Group 3 (90.0 mV),319,90.0,114727,41639,8.3278,2.5900807014454204,4.612789560168554,3.7229567172343008,5.797501821164009
Group 3 (90.0 mV),320,90.0,114727,34187,6.8374,2.6728082909179998,2.8398597835104464,3.824906702339287,3.7056526459451113
Group 4 (180.0 mV),601,180.0,114727,86837,17.3674,3.3565538264714303,3.3263259476485465,4.243827666576483,4.682096196149755
Group 4 (180.0 mV),602,180.0,114727,73635,14.727,2.801086580525493,2.506248325366024,5.008530304031313,3.883972238366284
Group 4 (180.0 mV),603,180.0,114727,62351,12.4702,2.3159491113580195,2.8694032840296253,5.339448658279243,3.862060686783676
Group 4 (180.0 mV),604,180.0,114727,107905,21.581000000000003,6.444702363926514,3.2451929683148273,4.62630285005208,3.2920564797099092
Group 4 (180.0 mV),605,180.0,114727,87919,17.5838,5.577685408088197,2.7097188447512415,2.810659266079757,5.392973500806397
Group 4 (180.0 mV),606,180.0,114727,102469,20.4938,3.166079158833525,3.570508371870874,2.863024503632479,4.948159077636854
Group 4 (180.0 mV),607,180.0,114727,57229,11.4458,3.0629284731446145,3.2448573761569244,5.991457952485354,3.4206387125213906
Group 4 (180.0 mV),608,180.0,114727,68077,13.6154,2.457986149269357,3.478050835971205,6.303918141314972,3.124127095942161
Group 4 (180.0 mV),609,180.0,114727,56617,11.323400000000001,4.483968982542141,2.885095589334953,4.332296948455864,4.384274413126989
Group 4 (180.0 mV),610,180.0,114727,63979,12.7958,2.627880240802461,3.9263825361775435,3.6292426837564884,3.3875684125933163
Group 5 (360.0 mV),701,360.0,114727,169699,33.939800000000005,5.5013207397496835,3.805179871490965,4.310519486094454,3.2166732128707136
Group 5 (360.0 mV),702,360.0,114727,106695,21.339,5.403062962394571,6.915032248659438,4.076501963154194,4.482930658575928
Group 5 (360.0 mV),703,360.0,114727,138125,27.625,7.004749780513221,8.195920374210575,5.6418795039951,5.26491476759121
Group 5 (360.0 mV),704,360.0,114727,121559,24.3118,7.2281443234069425,3.7395088913385406,7.149792123159945,5.146815307002963
Group 5 (360.0 mV),705,360.0,114727,172459,34.4918,4.405267575936789,11.116116132966585,5.181669258607693,4.01769593991382
Group 5 (360.0 mV),706,360.0,114727,112573,22.514599999999998,4.100297893519445,5.6380530765859245,4.004067951471353,4.080957259810496
Group 5 (360.0 mV),707,360.0,114727,113001,22.6002,5.062833652570466,3.8114847907344456,5.152717484822936,3.781479863545487
Group 5 (360.0 mV),708,360.0,114727,241451,48.2902,3.1574701411731514,3.979323191498776,3.3318528848675175,7.121719441370882
Group 5 (360.0 mV),709,360.0,114727,120415,24.083,4.167652211977386,3.6626364709591366,4.180762167787114,4.282946953255434
Group 5 (360.0 mV),710,360.0,114727,168753,33.7506,3.920873003554183,7.636910968159836,3.375689087519762,5.642484136583815
