group,seed,sigma_n_mV,M_target,crossing_cycle,crossing_time_us,settled_mean,settled_error_lsb,settled_std,dither_span,obs_window_len
Group 0 (11.5 mV),501,11.5,114727,7079,1.4158000000000002,114727.27454,0.27453999999852385,1.3800173145290606,9,50000
Group 0 (11.5 mV),502,11.5,114727,8413,1.6826,114726.47118,0.5288200000068173,1.5739407255675164,9,50000
Group 0 (11.5 mV),503,11.5,114727,7605,1.5210000000000001,114727.06442,0.06441999999515247,1.6158186976266862,10,50000
Group 0 (11.5 mV),504,11.5,114727,7811,1.5622,114726.44856,0.5514399999956368,1.5529178749695682,10,50000
Group 0 (11.5 mV),505,11.5,114727,9035,1.807,114726.78618,0.21382000000448897,1.4546274463243156,9,50000
Group 0 (11.5 mV),506,11.5,114727,8171,1.6341999999999999,114726.9618,0.038199999995413236,1.6216352117538642,11,50000
Group 0 (11.5 mV),507,11.5,114727,7829,1.5658,114726.9426,0.05740000000514556,1.366230302694242,8,50000
Group 0 (11.5 mV),508,11.5,114727,9055,1.8110000000000002,114725.99026,1.0097399999940535,1.5672029646475276,10,50000
Group 0 (11.5 mV),509,11.5,114727,7419,1.4838,114727.0385,0.038499999995110556,1.3048746108343132,8,50000
Group 0 (11.5 mV),510,11.5,114727,10123,2.0246,114727.70764,0.7076399999932619,1.3333887769139203,9,50000
Group 1 (23.0 mV),101,23.0,114727,10763,2.1526,114727.5242,0.524199999999837,2.2315228791119304,12,50000
Group 1 (23.0 mV),102,23.0,114727,11211,2.2422,114728.67886,1.678859999999986,2.0387861831001306,12,50000
Group 1 (23.0 mV),103,23.0,114727,12809,2.5618000000000003,114727.15542,0.1554199999955017,1.5258914193349409,9,50000
Group 1 (23.0 mV),104,23.0,114727,11967,2.3934,114726.67036,0.3296399999962887,2.1570019634668856,13,50000
Group 1 (23.0 mV),105,23.0,114727,11047,2.2094,114726.92486,0.07514000000082888,2.229855147851537,14,50000
Group 1 (23.0 mV),106,23.0,114727,14931,2.9862,114727.26906,0.26906000000599306,2.0652037953674207,11,50000
Group 1 (23.0 mV),107,23.0,114727,12925,2.5850000000000004,114726.80842,0.19157999999879394,1.9392877825634853,12,50000
Group 1 (23.0 mV),108,23.0,114727,14009,2.8018,114726.6498,0.35020000000076834,2.4247556495449185,13,50000
Group 1 (23.0 mV),109,23.0,114727,14357,2.8714,114726.59494,0.4050600000045961,2.2007149739118876,14,50000
Group 1 (23.0 mV),110,23.0,114727,11223,2.2446,114726.93036,0.06964000000152737,2.732484267182521,14,50000
Group 2 (45.5 mV),201,45.5,114727,19037,3.8074000000000003,114728.11614,1.1161399999982677,3.1321959549811056,17,50000
Group 2 (45.5 mV),202,45.5,114727,29475,5.8950000000000005,114725.4426,1.5574000000051456,2.2366459800334964,15,50000
Group 2 (45.5 mV),203,45.5,114727,23133,4.6266,114728.47274,1.4727399999974295,2.4063617542672175,14,50000
Group 2 (45.5 mV),204,45.5,114727,18105,3.621,114725.7512,1.2488000000012107,2.613239093538898,14,50000
Group 2 (45.5 mV),205,45.5,114727,28051,5.6102,114725.68172,1.31828000000678,3.103819879052262,17,50000
Group 3 (90.0 mV),301,90.0,114727,44127,8.8254,114728.60662,1.6066200000059325,3.2235496235671635,18,50000
Group 3 (90.0 mV),302,90.0,114727,45131,9.0262,114728.25836,1.2583600000070874,3.081339012572294,15,50000
