n_sub,mean_cross_cycles,mean_cross_time_us,mean_std_150k,se_std_150k,mean_std_450k,se_std_450k
4,5104.8,1.02096,6.231791787356022,0.09954663625833808,,
16,23161.6,4.63232,3.090856974400905,0.16870115774905245,,
64,103729.0,20.7458,1.3992655678802457,0.11245744091465724,,
256,459671.4,91.93428000000002,0.6118462946686808,0.056452433032877385,0.7409909436133011,0.05508033434105991
