group,seed,sigma_n_mV,M_target,crossing_cycle,crossing_time_us,settled_mean,settled_error_lsb,settled_std,dither_span
Group 1 (23.0 mV),101,23.0,114727,10763,2.1526,114726.66842146844,0.33157853156444617,1.719843286557525,13
Group 1 (23.0 mV),102,23.0,114727,11211,2.2422,114726.48986591156,0.5101340884430101,2.0391109799906006,13
Group 1 (23.0 mV),103,23.0,114727,12809,2.5618000000000003,114726.91604405537,0.08395594463218004,2.2737946967489875,15
Group 1 (23.0 mV),104,23.0,114727,11967,2.3934,114727.56172799258,0.5617279925791081,1.93722207594312,13
Group 1 (23.0 mV),105,23.0,114727,11047,2.2094,114726.07044828107,0.9295517189311795,2.571048081957989,18
Group 2 (45.5 mV),201,45.5,114727,19037,3.8074000000000003,114727.92087078029,0.920870780289988,2.639151340185354,17
Group 2 (45.5 mV),202,45.5,114727,29475,5.8950000000000005,114727.55688861232,0.5568886123219272,2.4454915457784616,16
Group 2 (45.5 mV),203,45.5,114727,23133,4.6266,114727.09157621762,0.09157621761551127,2.7442246581912912,18
Group 2 (45.5 mV),204,45.5,114727,18105,3.621,114728.10979946169,1.1097994616866345,2.7608302076144153,17
Group 2 (45.5 mV),205,45.5,114727,28051,5.6102,114725.45637110596,1.5436288940400118,2.7320348916721935,17
Group 3 (90.0 mV),301,90.0,114727,44127,8.8254,114725.35560530069,1.644394699309487,2.4710976843479813,15
Group 3 (90.0 mV),302,90.0,114727,45131,9.0262,114728.70877952492,1.7087795249244664,3.2548278107122703,18
Group 3 (90.0 mV),303,90.0,114727,32593,6.5186,114727.55930225625,0.5593022562534316,3.8024824290105763,22
Group 3 (90.0 mV),304,90.0,114727,39861,7.9722,114725.9189841927,1.0810158072999911,3.8979623052459043,21
Group 3 (90.0 mV),305,90.0,114727,45637,9.1274,114727.83965581672,0.8396558167150943,2.6857108818448157,16
