window_idx,window_start,window_end,std_py_win,std_c_win,delta_c_minus_py
1,100000,3000000,3.071764025239299,2.970793357704506,-0.100970667534793
2,3000000,5900000,3.1882926479773985,2.9756701094013533,-0.21262253857604518
3,5900000,8800000,2.9873219550584627,2.8765077672606862,-0.11081418779777641
4,8800000,11700000,3.0454584396414335,2.985413284986851,-0.0600451546545826
5,11700000,14600000,3.017090938318438,3.0707459559589956,0.05365501764055747
6,14600000,17500000,2.945768731202469,3.015315154819172,0.06954642361670293
7,17500000,20400000,3.0624921193541548,3.0469295640084,-0.015562555345754792
8,20400000,23300000,3.102112066056487,2.9589359765208014,-0.1431760895356855
9,23300000,26200000,2.9948575407731304,3.2278682625482276,0.23301072177509718
10,26200000,29100000,3.050168598999854,3.0856375688435507,0.03546896984369674
11,29100000,32000000,2.941392826899271,3.1004518531134,0.15905902621412915
12,32000000,34900000,2.969080023523603,2.973630203157667,0.004550179634064122
13,34900000,37800000,3.0949206649600356,2.9768407235159953,-0.11807994144404033
14,37800000,40700000,3.07551742375229,3.0110478991190193,-0.06446952463327094
15,40700000,43600000,3.121036137823844,3.126614116712087,0.005577978888243074
16,43600000,46500000,3.107030986017999,3.05032949564399,-0.05670149037400929
17,46500000,49400000,3.0867566578266805,3.094777488740619,0.008020830913938681
18,49400000,52300000,2.953038904171118,3.2497148735514036,0.29667596938028584
19,52300000,55200000,3.012069695375156,3.0036516876681736,-0.008418007706982422
20,55200000,58100000,3.0734327318440715,3.075308345424674,0.0018756135806023977
