n_sub,mean_cross_cycles,se_cross_cycles,mean_cross_time_us,mean_settled_std,se_settled_std
4,5104.8,400.6602828110396,1.02096,6.109587081899784,0.08809341882628317
16,23161.6,1412.5143554826066,4.63232,2.6977617232503537,0.05149539571508672
64,103729.0,4465.905646612392,20.7458,1.0768100008519332,0.07768044542774437
