group,seed,sigma_n_mV,crossing_cycle,total_cycles,num_windows,settled_std_rw2_plus,rw_1_std,rw_2_std,rw_3_std,rw_4_std,rw_5_std,rw_6_std,rw_7_std,rw_8_std
Group 3 Fresh (90.0 mV),321,90.0,49121,299121,4,2.7008715038971878,2.579513059164462,3.4955742706456685,2.9615649244276243,1.6454753166182714,,,,
Group 3 Fresh (90.0 mV),322,90.0,50723,300723,4,3.9293559280689174,4.0801339828981105,2.2365727687692165,4.980633404056154,4.570861611381382,,,,
Group 3 Fresh (90.0 mV),323,90.0,34181,284181,4,3.2446822149820354,3.3084871297316543,3.223426929154747,4.239045820889413,2.271573894901947,,,,
Group 3 Fresh (90.0 mV),324,90.0,33879,283879,4,5.086373476768205,3.4901492804176732,4.5230576199734625,6.541164123640378,4.1948986866907765,,,,
Group 3 Fresh (90.0 mV),325,90.0,35881,285881,4,3.15591326548234,3.193740333590068,2.6977012733065906,4.178329610550129,2.5917089125903012,,,,
Group 3 Fresh (90.0 mV),326,90.0,53899,303899,4,3.313844310360887,3.5811244821145216,3.1289861692887047,2.3348471042019003,4.477699657592055,,,,
Group 3 Fresh (90.0 mV),327,90.0,38743,288743,4,3.516566266868749,3.03140705488392,2.8972364885179807,4.146935685973439,3.5055266261148263,,,,
Group 3 Fresh (90.0 mV),328,90.0,44623,294623,4,3.3328937091767963,2.6276738838752425,2.9324373806784005,2.6546816218899014,4.411562124962086,,,,
Group 3 Fresh (90.0 mV),329,90.0,49431,299431,4,3.0769975864068293,3.665850744588492,3.066441870246361,3.3114452660432123,2.8531056229309146,,,,
Group 3 Fresh (90.0 mV),330,90.0,41081,291081,4,3.693144875261675,2.303272310084068,4.24475905931067,2.9079615562108105,3.926714010263544,,,,
Group 4 Fresh (180.0 mV),611,180.0,70027,520027,8,3.86890178790484,4.758380030892868,3.50095963964168,2.873787737464269,4.122495148135411,3.3081330543979037,5.032799031910573,5.162298450535381,3.0818394532486604
Group 4 Fresh (180.0 mV),612,180.0,56907,506907,8,3.977749270529256,2.613038124788844,4.92305874204239,2.5227314814700357,2.892052190677063,4.219058961948742,6.0099639899087585,4.403337234371222,2.874042293286583
Group 4 Fresh (180.0 mV),613,180.0,77577,527577,8,4.696226103606901,2.8658220025675005,4.640773680152912,3.2438863303759584,7.162440309252148,4.816573975389561,5.5773772307779215,4.537639865657035,2.894891333642767
Group 4 Fresh (180.0 mV),614,180.0,75323,525323,8,4.140639821046439,2.9001465207123585,4.110935113036935,4.117715503334343,3.611895083692216,3.7657940801907905,5.91793131085517,3.604167719959769,3.8560399362558475
Group 4 Fresh (180.0 mV),615,180.0,61379,511379,8,3.9954987559010595,2.989808458814711,4.611547463661195,4.466324813803851,3.6392364073250314,4.666901567421366,4.203246062937548,2.608346173344328,3.772888802814098
Group 4 Fresh (180.0 mV),616,180.0,67673,517673,8,4.6565373102709415,4.642924104096469,4.542966748546593,4.5536636179674055,4.113450232785125,3.2445705185124267,6.571144288904331,5.701614241598602,3.8683515235821058
Group 4 Fresh (180.0 mV),617,180.0,68129,518129,8,4.906201297740381,6.876253721322389,6.104015916591306,3.1346873148050984,3.8044848056471454,5.458605796354963,4.164593643754454,7.298395920173145,4.37862568685655
Group 4 Fresh (180.0 mV),618,180.0,116087,566087,8,4.085201852380645,6.3592149048762305,3.182238904356491,3.3523694667503467,5.781307560578316,4.119754801975477,3.4942502511411515,6.300147374752434,2.3663446071103
Group 4 Fresh (180.0 mV),619,180.0,62067,512067,8,3.774187426759567,6.10908153764541,4.5685659883600245,4.502307468132313,3.0431891692104847,4.462340028101847,4.785707440953741,2.267297279493803,2.789904613064755
Group 4 Fresh (180.0 mV),620,180.0,73657,523657,8,3.7430074993681934,4.804892838555299,4.037661969803811,2.7133512784009373,3.663917107741386,4.376037531786033,4.408280815692212,3.211801417958464,3.790002374194507
