group,seed,sigma_n_mV,M_target,crossing_cycle,total_cycles_run,crossing_time_us,std_rw1_50k_100k,std_rw2_100k_150k,std_rw3_150k_200k,std_rw4_200k_250k
Group 0 (11.5 mV),501,11.5,114727,7079,257079,1.4158000000000002,1.7393675682845189,1.6131876022335405,1.4119980338513225,1.6953547865859817
Group 0 (11.5 mV),502,11.5,114727,8413,258413,1.6826,1.6176304743667511,1.4426294304498297,1.548315429232687,1.694903607878631
Group 0 (11.5 mV),503,11.5,114727,7605,257605,1.5210000000000001,1.7299159211938597,1.388206847843649,1.7434182744252742,1.4924926466820532
Group 0 (11.5 mV),504,11.5,114727,7811,257811,1.5622,1.8312945557719544,1.3526872330291286,1.4965811619822025,1.3441598660873637
Group 0 (11.5 mV),505,11.5,114727,9035,259035,1.807,1.2919318248266818,1.359941310351296,1.463550105599395,1.7622693437723986
Group 0 (11.5 mV),506,11.5,114727,8171,258171,1.6341999999999999,1.4742522811242313,1.5387132993511168,1.7717285199488098,1.3725622974568406
Group 0 (11.5 mV),507,11.5,114727,7829,257829,1.5658,1.245715677191228,1.4480016662973838,1.657070845920596,1.458125827766589
Group 0 (11.5 mV),508,11.5,114727,9055,259055,1.8110000000000002,1.4613905967947105,1.5871141548105479,1.327038431998109,1.5274017629949235
Group 0 (11.5 mV),509,11.5,114727,7419,257419,1.4838,1.5941564438912514,1.3207514187007334,1.5209893852358076,1.629505644789241
Group 0 (11.5 mV),510,11.5,114727,10123,260123,2.0246,1.6186172803970678,1.2991037101016993,1.38143184616542,1.3939296933489866
Group 1 (23.0 mV),101,23.0,114727,10763,260763,2.1526,1.910482976003712,1.7588441277156996,2.459430415279115,2.143094704020333
Group 1 (23.0 mV),102,23.0,114727,11211,261211,2.2422,2.091816374254681,1.7389354150169005,1.7438270968189475,2.384622801534867
Group 1 (23.0 mV),103,23.0,114727,12809,262809,2.5618000000000003,2.4107157475737364,2.2034960468310354,1.576076560450031,1.404882844795252
Group 1 (23.0 mV),104,23.0,114727,11967,261967,2.3934,1.7889419119691954,2.1756030682089045,2.229941231153862,1.8607136814674092
Group 1 (23.0 mV),105,23.0,114727,11047,261047,2.2094,2.1511415364870814,1.8542999865178236,1.3961930684543595,1.8628322495597935
Group 1 (23.0 mV),106,23.0,114727,14931,264931,2.9862,1.5196386223046583,1.7887264367700277,2.4175195075945095,1.822658479364689
Group 1 (23.0 mV),107,23.0,114727,12925,262925,2.5850000000000004,2.447004470694731,2.832999080197521,1.8584216657152919,2.0977156180950747
Group 1 (23.0 mV),108,23.0,114727,14009,264009,2.8018,1.5373479230154767,2.213701693002018,2.4487734424401126,2.129031460923018
Group 1 (23.0 mV),109,23.0,114727,14357,264357,2.8714,1.9343491472844296,2.2208311488269428,1.9253156001030063,2.070869239618958
Group 1 (23.0 mV),110,23.0,114727,11223,261223,2.2446,2.0326395052738695,2.1103242882552435,2.6986147130703926,1.969901013147615
