group,seed,sigma_n_mV,M_target,crossing_cycle,total_cycles_run,crossing_time_us,std_rw1_50k_100k,std_rw2_100k_150k,std_rw3_150k_200k,std_rw4_200k_250k
Group 2 (45.5 mV),201,45.5,114727,19037,269037,3.8074000000000003,2.7500522848847804,2.207704506948337,1.858218804769772,2.085753733401909
Group 2 (45.5 mV),202,45.5,114727,29475,279475,5.8950000000000005,3.0959184531250172,2.479227637067641,2.8101838060169655,2.7373013600259655
Group 2 (45.5 mV),203,45.5,114727,23133,273133,4.6266,2.4536033775653308,2.3791125215088087,2.087517896833462,2.9618552142196286
Group 2 (45.5 mV),204,45.5,114727,18105,268105,3.621,3.393749485097567,1.863338844010933,4.01513865583743,1.93316898754351
Group 2 (45.5 mV),205,45.5,114727,28051,278051,5.6102,1.6136986975268959,2.7494141071144593,3.000778799978432,4.471748646782375
Group 3 (90.0 mV),301,90.0,114727,44127,294127,8.8254,2.128823938234442,5.239265145075214,4.047161777048207,3.24456571978439
Group 3 (90.0 mV),302,90.0,114727,45131,295131,9.0262,2.8081268344574464,3.272968799118012,2.663552219949892,3.7052710902712636
Group 3 (90.0 mV),303,90.0,114727,32593,282593,6.5186,3.0794399994154786,2.921001669016983,3.617191079055681,2.9522817149452387
Group 3 (90.0 mV),304,90.0,114727,39861,289861,7.9722,4.628287385675181,3.2297777304947783,3.925856286671737,2.6145264069043175
Group 3 (90.0 mV),305,90.0,114727,45637,295637,9.1274,2.9998693195537705,2.0130023021347987,3.9499784493082997,3.011347124726739
Group 3 (90.0 mV),306,90.0,114727,36589,286589,7.3178,3.2515318309375347,2.9018206254694654,3.665445950276719,2.9164120466079546
Group 3 (90.0 mV),307,90.0,114727,74541,324541,14.9082,2.671039095483254,3.9537172066297304,3.68369775872017,3.9780144735282197
Group 3 (90.0 mV),308,90.0,114727,44581,294581,8.916200000000002,2.6051837671074187,3.2089283584399326,3.045523697231726,2.0984783926454904
Group 3 (90.0 mV),309,90.0,114727,47339,297339,9.4678,4.889760708091961,3.003731252891976,3.11005142536261,4.618284342220605
Group 3 (90.0 mV),310,90.0,114727,40795,290795,8.159,3.657253852332375,4.212580290320886,4.129576721360192,3.137569729328736
Group 3 (90.0 mV),311,90.0,114727,50105,300105,10.021,2.6445293267422842,4.762069536283569,3.6966672877606936,3.0350236764150624
Group 3 (90.0 mV),312,90.0,114727,46311,296311,9.2622,3.2319532112949902,4.162949498804903,3.150280500463411,5.146328302780536
Group 3 (90.0 mV),313,90.0,114727,32095,282095,6.419,3.499302788613755,3.2995534512415463,2.163299450284218,3.1330957234658503
Group 3 (90.0 mV),314,90.0,114727,34405,284405,6.881,5.445730023091487,2.850418859325766,3.3167531095937783,3.599021906629633
Group 3 (90.0 mV),315,90.0,114727,32887,282887,6.5774,3.2911578129892223,3.8401111041739404,4.67265655729158,3.8669773076137908
Group 3 (90.0 mV),316,90.0,114727,47963,297963,9.592600000000001,4.563815929679899,3.1806316649998942,3.3013471237662966,3.5020164246331
Group 3 (90.0 mV),317,90.0,114727,37579,287579,7.5158000000000005,3.9180865199227033,3.683520251064191,3.933751255532052,2.7683118202977064
Group 3 (90.0 mV),318,90.0,114727,37331,287331,7.466200000000001,4.100598858703446,3.000644457445767,2.217125994705759,3.484451618892132
Group 3 (90.0 mV),319,90.0,114727,41639,291639,8.3278,2.7869729062909814,4.1800247688739836,3.454109038174678,5.573465721039288
Group 3 (90.0 mV),320,90.0,114727,34187,284187,6.8374,2.9242839533807246,2.918580941142459,2.5370722552580167,3.8453102365869
Group 4 (180.0 mV),601,180.0,114727,86837,336837,17.3674,2.9131736282617964,4.68558952209858,5.475342318978787,4.436571041288531
Group 4 (180.0 mV),602,180.0,114727,73635,323635,14.727,2.4334840126863377,2.168063016058343,3.6792382250134334,4.8120520661771735
Group 4 (180.0 mV),603,180.0,114727,62351,312351,12.4702,1.7955526351516404,3.5585234241184924,4.9688964962051685,4.829110761372118
Group 4 (180.0 mV),604,180.0,114727,107905,357905,21.581000000000003,2.921197618511969,4.5403034766852315,2.88443233125688,3.7588411831307798
Group 4 (180.0 mV),605,180.0,114727,87919,337919,17.5838,1.8963847778338656,3.6263603725498657,4.168949236966073,5.662074090331211
Group 4 (180.0 mV),606,180.0,114727,102469,352469,20.4938,3.4484937648776457,2.857917887973691,4.394124522541436,2.2813744277518326
Group 4 (180.0 mV),607,180.0,114727,57229,307229,11.4458,2.9617855800850945,3.4017529315927693,6.378462069684196,3.4043606905849444
Group 4 (180.0 mV),608,180.0,114727,68077,318077,13.6154,2.9520106446962555,4.324607046935017,5.101466474612962,2.5789493016342915
Group 4 (180.0 mV),609,180.0,114727,56617,306617,11.323400000000001,4.318748019322267,2.85378975924997,4.432745023120549,4.1222192061558305
Group 4 (180.0 mV),610,180.0,114727,63979,313979,12.7958,3.1489912614041975,3.038998171503234,3.3053883969058764,3.085937806502263
Group 5 (360.0 mV),701,360.0,114727,169699,419699,33.939800000000005,4.714592468453663,2.704540116175022,4.2915529636717755,6.122405469715314
Group 5 (360.0 mV),702,360.0,114727,106695,356695,21.339,6.0041850778935855,5.063597298996041,4.5476805857491795,5.042741623799498
Group 5 (360.0 mV),703,360.0,114727,138125,388125,27.625,5.425670573081266,4.739640387202388,4.884339152802556,4.732234509658202
Group 5 (360.0 mV),704,360.0,114727,121559,371559,24.3118,5.697123172654774,6.647171987875747,5.14581710638845,3.422779648823453
Group 5 (360.0 mV),705,360.0,114727,172459,422459,34.4918,3.739036980614126,3.5805873256213143,3.9821723919991205,4.744400737037292
Group 5 (360.0 mV),706,360.0,114727,112573,362573,22.514599999999998,6.202336253380657,6.607048926230227,4.119989199014968,4.098640480891194
Group 5 (360.0 mV),707,360.0,114727,113001,363001,22.6002,3.756395450109054,5.833293511936461,2.433219782181626,4.124472855723504
Group 5 (360.0 mV),708,360.0,114727,241451,491451,48.2902,4.254374117587686,5.765279586490147,3.2385777063396213,3.129497471735678
Group 5 (360.0 mV),709,360.0,114727,120415,370415,24.083,2.9878831537394497,5.127183217947258,5.07141021456557,6.384746894153283
Group 5 (360.0 mV),710,360.0,114727,168753,418753,33.7506,4.159393550747513,4.596216868295055,3.398317362225017,7.376920699045097
