seed,cross_py,cross_c_pcg64,std_py,std_c_pcg64
201,19039,23239,3.070180011781912,2.923089669184074
202,29467,25947,3.035924406046119,3.2270352051869167
203,23137,25793,3.0556617067003575,2.9957548604219952
204,18157,19477,3.1062416138667865,3.135264472001724
205,26883,50041,3.02605435491365,2.982973762304853
206,22755,27531,3.110090408406137,3.1123883079534616
207,22755,32899,3.1215483571624247,3.032667963220906
208,26325,23515,3.132092931262317,3.0580747877244034
209,29607,20151,3.0352901702950312,3.0463448134053666
210,19619,19909,3.0692178362201528,3.053245070302176
211,25269,22713,2.9867773329983707,3.1364440434886194
212,40161,26613,3.0111226696722375,3.0535365962119596
213,20487,21191,3.100678986300463,3.0828978396649225
214,22389,20443,3.104452311893462,2.8827051179665486
215,17681,28923,3.1356512602905804,3.066784575326069
216,24919,19191,3.1010428055937997,3.0891231994608486
217,23573,20865,3.040574973520369,3.063160146045573
218,38493,26093,3.0706806965209226,3.2738131354229827
219,25101,25745,3.125691405942365,2.990513855547765
220,21193,16507,3.0969176121778954,3.0609958514493143
