 frequency                ir                       ii                       vr                       vi                      
 1.00000000000000000e+00 -9.99999999982792320e-01  8.55647257691147245e-11  8.63725499331656010e+00  6.29142220284143513e-03 
 1.02329299228075410e+00 -9.99999999982795540e-01  8.75577842109238891e-11  8.63725499345801140e+00  6.43796825164714200e-03 
 1.04712854805089939e+00 -9.99999999982799315e-01  8.95972669971364932e-11  8.63725499360628390e+00  6.58792779643645535e-03 
 1.07151930523760619e+00 -9.99999999982802423e-01  9.16842555109993740e-11  8.63725499375773431e+00  6.74138034774496037e-03 
 1.09647819614318465e+00 -9.99999999982805643e-01  9.38198561808295528e-11  8.63725499392142737e+00  6.89840726814654019e-03 
 1.12201845430196312e+00 -9.99999999982809862e-01  9.60052014015860822e-11  8.63725499409186881e+00  7.05909181539292763e-03 
 1.14815362149688238e+00 -9.99999999982813637e-01  9.82414498059205887e-11  8.63725499426541887e+00  7.22351918655795081e-03 
 1.17489755493952908e+00 -9.99999999982817411e-01  1.00529787131539011e-10  8.63725499445659395e+00  7.39177656321025282e-03 
 1.20226443461741250e+00 -9.99999999982822185e-01  1.02871426654882470e-10  8.63725499464716862e+00  7.56395315763808314e-03 
 1.23026877081238117e+00 -9.99999999982826848e-01  1.05267610058489003e-10  8.63725499485167703e+00  7.74014026015084657e-03 
 1.25892541179416684e+00 -9.99999999982831511e-01  1.07719607647834004e-10  8.63725499506281835e+00  7.92043128748240975e-03 
 1.28824955169313360e+00 -9.99999999982836729e-01  1.10228719815003151e-10  8.63725499529146390e+00  8.10492183232190341e-03 
 1.31825673855640679e+00 -9.99999999982841947e-01  1.12796276442381216e-10  8.63725499551940246e+00  8.29370971399818330e-03 
 1.34896288259165331e+00 -9.99999999982847387e-01  1.15423639287896840e-10  8.63725499576660383e+00  8.48689503034505584e-03 
 1.38038426460288455e+00 -9.99999999982852716e-01  1.18112201226081015e-10  8.63725499601848767e+00  8.68458021077434146e-03 
 1.41253754462275394e+00 -9.99999999982858823e-01  1.20863387765950125e-10  8.63725499629137694e+00  8.88687007058535164e-03 
 1.44543977074592700e+00 -9.99999999982865484e-01  1.23678657701527250e-10  8.63725499657249962e+00  9.09387186653943559e-03 
 1.47910838816820678e+00 -9.99999999982871701e-01  1.26559503762363468e-10  8.63725499686365339e+00  9.30569535372876601e-03 
 1.51356124843620754e+00 -9.99999999982878918e-01  1.29507453264059158e-10  8.63725499717568646e+00  9.52245284377007534e-03 
 1.54881661891248057e+00 -9.99999999982886023e-01  1.32524069409306611e-10  8.63725499749765824e+00  9.74425926435370376e-03 
 1.58489319246111271e+00 -9.99999999982893573e-01  1.35610951504730459e-10  8.63725499783678785e+00  9.97123222017975985e-03 
 1.62181009735892911e+00 -9.99999999982901455e-01  1.38769736045089853e-10  8.63725499819121367e+00  1.02034920553138106e-02 
 1.65958690743755977e+00 -9.99999999982909782e-01  1.42002098664842369e-10  8.63725499855906342e+00  1.04411619169947952e-02 
 1.69824365246174347e+00 -9.99999999982918442e-01  1.45309752511840751e-10  8.63725499894574078e+00  1.06843678209292518e-02 
 1.73780082874937447e+00 -9.99999999982927990e-01  1.48694451391519211e-10  8.63725499935300434e+00  1.09332387181066588e-02 
 1.77827941003892165e+00 -9.99999999982937093e-01  1.52157990200574300e-10  8.63725499978081324e+00  1.11879065631708997e-02 
 1.81970085860998210e+00 -9.99999999982946974e-01  1.55702205035385122e-10  8.63725500022544956e+00  1.14485063843843774e-02 
 1.86208713666286596e+00 -9.99999999982957855e-01  1.59328975360417679e-10  8.63725500069230812e+00  1.17151763552217226e-02 
 1.90546071796324568e+00 -9.99999999982968513e-01  1.63040223899804659e-10  8.63725500117951839e+00  1.19880578676312584e-02 
 1.94984459975804381e+00 -9.99999999982980281e-01  1.66837918697329557e-10  8.63725500169244853e+00  1.22672956070029090e-02 
 1.99526231496887796e+00 -9.99999999982991494e-01  1.70724073008006461e-10  8.63725500222741083e+00  1.25530376288822115e-02 
 2.04173794466952740e+00 -9.99999999983004595e-01  1.74700747574904613e-10  8.63725500278793135e+00  1.28454354374714329e-02 
 2.08929613085403743e+00 -9.99999999983017696e-01  1.78770050737568631e-10  8.63725500337395857e+00  1.31446440659589558e-02 
 2.13796208950222999e+00 -9.99999999983031684e-01  1.82934140058321759e-10  8.63725500399085178e+00  1.34508221587201632e-02 
 2.18776162394955032e+00 -9.99999999983045784e-01  1.87195223731728699e-10  8.63725500463308116e+00  1.37641320554325840e-02 
 2.23872113856833721e+00 -9.99999999983060883e-01  1.91555560801436042e-10  8.63725500530963153e+00  1.40847398771505490e-02 
 2.29086765276777049e+00 -9.99999999983076870e-01  1.96017462894895744e-10  8.63725500601313634e+00  1.44128156143848874e-02 
 2.34422881531991933e+00 -9.99999999983093080e-01  2.00583295958088603e-10  8.63725500675259639e+00  1.47485332172341520e-02 
 2.39883291901948770e+00 -9.99999999983110732e-01  2.05255481231306214e-10  8.63725500752607189e+00  1.50920706876149953e-02 
 2.45470891568502747e+00 -9.99999999983129273e-01  2.10036495574411619e-10  8.63725500833709603e+00  1.54436101736415993e-02 
 2.51188643150957702e+00 -9.99999999983147925e-01  2.14928874177344742e-10  8.63725500918920552e+00  1.58033380662024672e-02 
 2.57039578276886038e+00 -9.99999999983167576e-01  2.19935210885383037e-10  8.63725501007498764e+00  1.61714450977879440e-02 
 2.63026799189537819e+00 -9.99999999983189114e-01  2.25058160259125617e-10  8.63725501100885573e+00  1.65481264436185584e-02 
 2.69153480392691202e+00 -9.99999999983210652e-01  2.30300438441854993e-10  8.63725501197978751e+00  1.69335818251298564e-02 
 2.75422870333816272e+00 -9.99999999983233634e-01  2.35664824026898811e-10  8.63725501299854237e+00  1.73280156158671893e-02 
 2.81838293126444972e+00 -9.99999999983257504e-01  2.41154163478640715e-10  8.63725501407589391e+00  1.77316369498473902e-02 
 2.88403150312660150e+00 -9.99999999983282595e-01  2.46771365494669048e-10  8.63725501518803718e+00  1.81446598324442841e-02 
 2.95120922666638119e+00 -9.99999999983309018e-01  2.52519409028872932e-10  8.63725501636391435e+00  1.85673032538571994e-02 
