deck,iptat,itot
op_typ_T-40_3.3,3.208817e-06,1.721946e-05
op_typ_T125_3.3,5.45901e-06,2.900646e-05
op_typ_T175_3.3,6.166934e-06,3.2758e-05
op_typ_T27_3.3,4.134131e-06,2.203594e-05
op_typ_T27_3.3_r4,2.750834e-06,1.511319e-05
