deck,dvbe27,ip125,ip175,ip27,ipm40,iptat,itot,itot175,itot27,tc_full,tc_ind,v125,v150,v175,v27,v85,vm40,vmax_full,vmax_ind,vmin_full,vmin_ind
wire_hbt_typ_mos_tt_res_typ_op_T27_3.3,,,,,,4.1029e-06,2.187969e-05,,,,,,,,,,,,,,
wire_hbt_typ_mos_tt_res_typ_temp_3.3,0.0553178,5.41853e-06,6.12207e-06,4.10289e-06,3.18436e-06,,,3.25336e-05,2.18797e-05,25.97874,27.85674,1.03312,1.03211,1.03425,1.03734,1.03526,1.03778,1.03789,1.03789,1.0321,1.03312
