 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)             
 0.000000000000000e+00  0.000000000000000e+00  1.073748508834033e+00  8.235291715073844e-01  9.859655000090496e-01  6.105027418683211e-01  3.453335250417828e-08  2.148492993348000e+00 
 2.000000000000000e-12  0.000000000000000e+00  1.073748508834036e+00  8.235291715073804e-01  9.859655000090488e-01  6.105027418683138e-01  3.453335467411278e-08  2.148492993348031e+00 
 4.000000000000001e-12  0.000000000000000e+00  1.073748508834039e+00  8.235291715073765e-01  9.859655000090483e-01  6.105027418683063e-01  3.453335677399555e-08  2.148492993348061e+00 
 8.000000000000001e-12  0.000000000000000e+00  1.073748508834045e+00  8.235291715073688e-01  9.859655000090559e-01  6.105027418683059e-01  3.453335832527202e-08  2.148492993348076e+00 
 1.600000000000000e-11  0.000000000000000e+00  1.073748508834059e+00  8.235291715073431e-01  9.859655000090397e-01  6.105027418683120e-01  3.453335595249556e-08  2.148492993348086e+00 
 3.200000000000001e-11  0.000000000000000e+00  1.073748508834077e+00  8.235291715072776e-01  9.859655000090179e-01  6.105027418683244e-01  3.453334978143364e-08  2.148492993348132e+00 
 6.400000000000001e-11  0.000000000000000e+00  1.073748508834097e+00  8.235291715071951e-01  9.859655000089389e-01  6.105027418684417e-01  3.453336033744283e-08  2.148492993348187e+00 
 1.280000000000000e-10  0.000000000000000e+00  1.073748508834210e+00  8.235291715071524e-01  9.859655000088122e-01  6.105027430512368e-01  3.453334849548516e-08  2.148492993348202e+00 
 2.560000000000000e-10  0.000000000000000e+00  1.073748508834173e+00  8.235291715070625e-01  9.859655000087471e-01  6.105027397376553e-01  3.453335232709481e-08  2.148492993347765e+00 
 4.560000000000001e-10  0.000000000000000e+00  1.073748508833893e+00  8.235291715067810e-01  9.859655000088723e-01  6.105027436994777e-01  3.453335011694156e-08  2.148492993348933e+00 
 6.560000000000001e-10  0.000000000000000e+00  1.073748508833844e+00  8.235291715062971e-01  9.859655000089285e-01  6.105027405927328e-01  3.453335459108479e-08  2.148492993349322e+00 
 8.560000000000001e-10  0.000000000000000e+00  1.073748508833870e+00  8.235291715057657e-01  9.859655000089614e-01  6.105027428034444e-01  3.453335178449855e-08  2.148492993349350e+00 
 1.056000000000000e-09  0.000000000000000e+00  1.073748508833922e+00  8.235291715052565e-01  9.859655000089880e-01  6.105027411915620e-01  3.453335124662848e-08  2.148492993349213e+00 
 1.256000000000000e-09  0.000000000000000e+00  1.073748508833982e+00  8.235291715047789e-01  9.859655000090131e-01  6.105027423596974e-01  3.453335255375524e-08  2.148492993348992e+00 
 1.456000000000000e-09  0.000000000000000e+00  1.073748508834043e+00  8.235291715043543e-01  9.859655000090375e-01  6.105027415120106e-01  3.453335318155714e-08  2.148492993348718e+00 
 1.656000000000000e-09  0.000000000000000e+00  1.073748508834105e+00  8.235291715039645e-01  9.859655000090600e-01  6.105027421266334e-01  3.453335249168742e-08  2.148492993348425e+00 
 1.856000000000000e-09  0.000000000000000e+00  1.073748508834175e+00  8.235291715036087e-01  9.859655000090776e-01  6.105027416807638e-01  3.453335198522104e-08  2.148492993348119e+00 
 2.056000000000000e-09  0.000000000000000e+00  1.073748508834241e+00  8.235291715032941e-01  9.859655000090913e-01  6.105027420041798e-01  3.453335358393405e-08  2.148492993347800e+00 
 2.256000000000000e-09  0.000000000000000e+00  1.073748508834296e+00  8.235291715030059e-01  9.859655000090980e-01  6.105027417694302e-01  3.453335130479240e-08  2.148492993347491e+00 
 2.456000000000000e-09  0.000000000000000e+00  1.073748508834362e+00  8.235291715023855e-01  9.859655000090979e-01  6.105027419398381e-01  3.453335312589966e-08  2.148492993347184e+00 
 2.656000000000000e-09  0.000000000000000e+00  1.073748508834423e+00  8.235291715017001e-01  9.859655000090901e-01  6.105027418162758e-01  3.453335330705169e-08  2.148492993346887e+00 
 2.856000000000000e-09  0.000000000000000e+00  1.073748508834482e+00  8.235291715010327e-01  9.859655000090743e-01  6.105027419057640e-01  3.453335192942192e-08  2.148492993346589e+00 
 3.056000000000001e-09  0.000000000000000e+00  1.073748508834544e+00  8.235291715004092e-01  9.859655000090529e-01  6.105027418409865e-01  3.453335142985719e-08  2.148492993346281e+00 
 3.256000000000001e-09  0.000000000000000e+00  1.073748508834605e+00  8.235291714998444e-01  9.859655000090233e-01  6.105027418880886e-01  3.453335305694427e-08  2.148492993345979e+00 
 3.456000000000001e-09  0.000000000000000e+00  1.073748508834662e+00  8.235291714993250e-01  9.859655000089871e-01  6.105027418539012e-01  3.453335347628892e-08  2.148492993345680e+00 
 3.656000000000001e-09  0.000000000000000e+00  1.073748508834720e+00  8.235291714988505e-01  9.859655000089446e-01  6.105027418788261e-01  3.453335095477192e-08  2.148492993345370e+00 
 3.856000000000001e-09  0.000000000000000e+00  1.073748508834776e+00  8.235291714984222e-01  9.859655000088935e-01  6.105027418608552e-01  3.453335425742583e-08  2.148492993345066e+00 
 4.056000000000001e-09  0.000000000000000e+00  1.073748508834824e+00  8.235291714980332e-01  9.859655000088365e-01  6.105027418739772e-01  3.453335298340315e-08  2.148492993344757e+00 
 4.256000000000001e-09  0.000000000000000e+00  1.073748508834869e+00  8.235291714976790e-01  9.859655000087783e-01  6.105027418644072e-01  3.453335097567484e-08  2.148492993344437e+00 
 4.456000000000001e-09  0.000000000000000e+00  1.073748508834912e+00  8.235291714973489e-01  9.859655000087134e-01  6.105027418711557e-01  3.453335268650381e-08  2.148492993344128e+00 
 4.656000000000001e-09  0.000000000000000e+00  1.073748508834955e+00  8.235291714970439e-01  9.859655000086426e-01  6.105027418662835e-01  3.453335282118072e-08  2.148492993343813e+00 
 4.856000000000001e-09  0.000000000000000e+00  1.073748508834995e+00  8.235291714967619e-01  9.859655000085691e-01  6.105027418698750e-01  3.453335219600349e-08  2.148492993343506e+00 
 5.056000000000002e-09  0.000000000000000e+00  1.073748508835034e+00  8.235291714965082e-01  9.859655000084940e-01  6.105027418673097e-01  3.453335362215324e-08  2.148492993343194e+00 
 5.256000000000002e-09  0.000000000000000e+00  1.073748508835074e+00  8.235291714962754e-01  9.859655000084152e-01  6.105027418692294e-01  3.453335210616871e-08  2.148492993342872e+00 
 5.456000000000002e-09  0.000000000000000e+00  1.073748508835113e+00  8.235291714960600e-01  9.859655000083328e-01  6.105027418678576e-01  3.453335129159994e-08  2.148492993342556e+00 
 5.656000000000002e-09  0.000000000000000e+00  1.073748508835157e+00  8.235291714958607e-01  9.859655000082462e-01  6.105027418686028e-01  3.453335398584674e-08  2.148492993342231e+00 
 5.856000000000002e-09  0.000000000000000e+00  1.073748508835197e+00  8.235291714956672e-01  9.859655000081565e-01  6.105027418682162e-01  3.453335250196582e-08  2.148492993341895e+00 
 6.056000000000002e-09  0.000000000000000e+00  1.073748508835234e+00  8.235291714954837e-01  9.859655000080667e-01  6.105027418686403e-01  3.453335183936371e-08  2.148492993341553e+00 
 6.256000000000002e-09  0.000000000000000e+00  1.073748508835269e+00  8.235291714949566e-01  9.859655000079751e-01  6.105027418682688e-01  3.453335286195083e-08  2.148492993341223e+00 
 6.456000000000003e-09  0.000000000000000e+00  1.073748508835303e+00  8.235291714943461e-01  9.859655000078837e-01  6.105027418684674e-01  3.453335314680639e-08  2.148492993340890e+00 
 6.656000000000003e-09  0.000000000000000e+00  1.073748508835336e+00  8.235291714937333e-01  9.859655000077896e-01  6.105027418681898e-01  3.453335144363151e-08  2.148492993340558e+00 
 6.856000000000003e-09  0.000000000000000e+00  1.073748508835361e+00  8.235291714931625e-01  9.859655000076963e-01  6.105027418684870e-01  3.453335379241800e-08  2.148492993340236e+00 
 7.056000000000003e-09  0.000000000000000e+00  1.073748508835384e+00  8.235291714926370e-01  9.859655000076010e-01  6.105027418682899e-01  3.453335221054644e-08  2.148492993339915e+00 
 7.256000000000003e-09  0.000000000000000e+00  1.073748508835412e+00  8.235291714921518e-01  9.859655000075072e-01  6.105027418684327e-01  3.453335146428482e-08  2.148492993339590e+00 
 7.456000000000002e-09  0.000000000000000e+00  1.073748508835441e+00  8.235291714917048e-01  9.859655000074131e-01  6.105027418683240e-01  3.453335266507327e-08  2.148492993339256e+00 
 7.656000000000003e-09  0.000000000000000e+00  1.073748508835469e+00  8.235291714912993e-01  9.859655000073181e-01  6.105027418683090e-01  3.453335288666442e-08  2.148492993338931e+00 
 7.856000000000003e-09  0.000000000000000e+00  1.073748508835489e+00  8.235291714909293e-01  9.859655000072235e-01  6.105027418682847e-01  3.453335229719979e-08  2.148492993338606e+00 
 8.056000000000003e-09  0.000000000000000e+00  1.073748508835499e+00  8.235291714905891e-01  9.859655000071313e-01  6.105027418683903e-01  3.453335238994646e-08  2.148492993338276e+00 
 8.256000000000003e-09  0.000000000000000e+00  1.073748508835504e+00  8.235291714902671e-01  9.859655000070396e-01  6.105027418683744e-01  3.453335371537239e-08  2.148492993337959e+00 
 8.456000000000003e-09  0.000000000000000e+00  1.073748508835506e+00  8.235291714899662e-01  9.859655000069460e-01  6.105027418682571e-01  3.453335178075615e-08  2.148492993337642e+00 
 8.656000000000003e-09  0.000000000000000e+00  1.073748508835499e+00  8.235291714896867e-01  9.859655000068541e-01  6.105027418685315e-01  3.453335242139634e-08  2.148492993337320e+00 
 8.856000000000003e-09  0.000000000000000e+00  1.073748508835496e+00  8.235291714894263e-01  9.859655000067741e-01  6.105027418684300e-01  3.453335362860919e-08  2.148492993336994e+00 
 9.056000000000003e-09  0.000000000000000e+00  1.073748508835496e+00  8.235291714891912e-01  9.859655000066967e-01  6.105027418683858e-01  3.453335305749995e-08  2.148492993336661e+00 
 9.256000000000004e-09  0.000000000000000e+00  1.073748508835495e+00  8.235291714889738e-01  9.859655000066186e-01  6.105027418683487e-01  3.453335156239476e-08  2.148492993336341e+00 
 9.456000000000004e-09  0.000000000000000e+00  1.073748508835493e+00  8.235291714887654e-01  9.859655000065407e-01  6.105027418683874e-01  3.453335161776592e-08  2.148492993336019e+00 
 9.656000000000004e-09  0.000000000000000e+00  1.073748508835490e+00  8.235291714885704e-01  9.859655000064725e-01  6.105027418682661e-01  3.453335314357102e-08  2.148492993335688e+00 
 9.856000000000004e-09  0.000000000000000e+00  1.073748508835486e+00  8.235291714883874e-01  9.859655000064048e-01  6.105027418683151e-01  3.453335237590876e-08  2.148492993335355e+00 
 1.005600000000000e-08  0.000000000000000e+00  1.073748508835481e+00  8.235291714882226e-01  9.859655000063390e-01  6.105027418683661e-01  3.453335160692974e-08  2.148492993335038e+00 
 1.025600000000000e-08  0.000000000000000e+00  1.073748508835476e+00  8.235291714880689e-01  9.859655000062754e-01  6.105027418683697e-01  3.453335417017511e-08  2.148492993334720e+00 
 1.045600000000000e-08  0.000000000000000e+00  1.073748508835483e+00  8.235291714875586e-01  9.859655000062133e-01  6.105027418682785e-01  3.453335264429621e-08  2.148492993334396e+00 
 1.065600000000000e-08  0.000000000000000e+00  1.073748508835477e+00  8.235291714869574e-01  9.859655000061517e-01  6.105027418683079e-01  3.453335212672922e-08  2.148492993334066e+00 
 1.085600000000000e-08  0.000000000000000e+00  1.073748508835466e+00  8.235291714863601e-01  9.859655000060924e-01  6.105027418682796e-01  3.453335333517016e-08  2.148492993333731e+00 
 1.105600000000000e-08  0.000000000000000e+00  1.073748508835468e+00  8.235291714858033e-01  9.859655000060317e-01  6.105027418683959e-01  3.453335082247715e-08  2.148492993333408e+00 
 1.125600000000000e-08  0.000000000000000e+00  1.073748508835476e+00  8.235291714852901e-01  9.859655000059726e-01  6.105027418682525e-01  3.453335520408314e-08  2.148492993333085e+00 
 1.145600000000001e-08  0.000000000000000e+00  1.073748508835483e+00  8.235291714848192e-01  9.859655000059159e-01  6.105027418685546e-01  3.453335090254805e-08  2.148492993332757e+00 
 1.165600000000001e-08  0.000000000000000e+00  1.073748508835471e+00  8.235291714843790e-01  9.859655000058617e-01  6.105027418683023e-01  3.453335260965987e-08  2.148492993332427e+00 
 1.185600000000001e-08  0.000000000000000e+00  1.073748508835455e+00  8.235291714839715e-01  9.859655000058077e-01  6.105027418684190e-01  3.453335295288670e-08  2.148492993332094e+00 
